% Asian,Avg Household Size,Latitude,Longitude,% Poverty,% Black,% Ed. Bachelors,% Ed. Grad. Degree,% Ed. HS Grad.,% Ed. < HS,% Ed. Some College,% Hawaiian/PI,% Hispanic/Latino,% Male,Median Age,Median Income,% Multi-race,% Native,% Other Race,MH Provider Count,MH Provider per 1000 Pop.,Population,tract,Unemployment,% White
0.6,2.6,,,25.0,37.6,10.0,6.5,34.0,25.1,24.3,0.0,5.8,52.0,43.0,17970.0,0.0,0.7,5.6,0,0,5580,28001000100,9.8,55.4
0.0,2.77,,,34.7,83.3,8.3,6.1,34.1,22.8,28.7,0.0,0.6,45.7,37.5,13644.0,0.0,0.0,0.1,0,0,4362,28001000200,12.3,16.6
0.0,2.51,,,45.1,98.3,10.6,6.6,39.8,21.0,22.0,0.0,0.0,51.2,42.0,10885.0,0.0,0.0,0.0,0,0,2444,28001000300,22.9,1.7
0.1,3.04,,,55.6,93.2,2.6,2.2,37.9,35.6,21.6,0.0,0.0,55.6,34.4,9915.0,0.0,0.0,0.0,0,0,3969,28001000400,18.7,6.7
0.0,2.85,31.576761,-91.34967,19.6,64.4,6.9,4.1,42.2,17.5,29.3,0.0,0.7,51.4,39.1,18407.0,0.0,0.4,0.0,1,0.255232261357836,3918,28001000500,7.0,35.2
0.0,2.11,,,20.3,31.4,15.2,14.6,26.1,7.2,37.0,0.0,1.7,44.9,46.5,27255.0,0.9,0.0,0.0,0,0,2063,28001000600,8.3,67.7
7.2,2.11,,,29.8,40.7,25.2,6.8,24.7,19.0,24.3,0.0,3.4,46.4,48.4,15734.0,0.0,0.0,0.6,0,0,1927,28001000700,5.9,51.5
0.0,2.76,,,35.1,62.4,9.6,8.4,37.6,20.0,24.4,0.0,0.0,49.5,35.3,17644.0,0.0,0.0,0.0,0,0,4131,28001000800,16.6,37.6
0.3,2.41,31.52116,-91.39710008,18.7,14.5,18.2,9.7,30.0,9.6,32.6,0.0,0.7,44.8,46.1,25160.0,0.0,0.7,0.0,1,0.24770869457518,4037,28001000900,7.8,84.4
0.0,2.5,,,14.2,3.1,11.6,4.4,40.1,15.6,28.3,0.0,3.0,46.4,43.3,18824.0,1.9,0.0,0.3,0,0,5518,28003950100,6.0,94.8
0.3,2.45,34.930744,-88.49608,13.0,16.4,19.4,6.3,28.6,13.9,31.6,0.0,2.4,47.7,40.3,22476.0,0.4,0.0,0.7,1,0.132555673382821,7544,28003950200,5.6,82.1
0.0,2.41,34.93519651,-88.54516923,24.5,8.1,13.7,6.7,32.2,24.6,22.8,0.0,6.8,48.6,37.7,14738.0,1.3,0.0,0.5,6,1.59193420005306,3769,28003950300,17.4,90.2
0.4,2.9,,,18.4,0.0,9.0,5.7,40.7,25.3,19.3,0.0,3.6,51.5,38.1,18655.0,0.0,0.0,0.0,0,0,5101,28003950400,7.3,99.6
0.2,2.61,34.93157572,-88.511343915,42.4,29.7,5.6,1.2,39.3,32.7,21.3,0.0,3.0,49.0,32.7,13242.0,2.3,0.4,0.1,2,0.312646553071752,6397,28003950500,20.9,67.3
1.0,2.92,,,15.0,0.0,7.8,2.3,39.0,24.6,26.3,0.0,0.0,48.9,37.7,21075.0,0.0,0.1,0.5,0,0,4372,28003950600,9.5,98.3
0.0,2.72,,,12.0,15.8,4.5,4.0,38.8,24.9,27.9,0.0,0.1,47.5,41.9,18027.0,0.0,0.0,0.0,0,0,4180,28003950700,9.6,84.2
0.0,2.47,,,20.8,45.4,6.6,4.8,39.7,30.3,18.6,0.0,0.2,49.2,49.5,16319.0,0.0,0.9,0.0,0,0,4485,28005950100,13.1,53.7
0.1,3.02,,,29.5,36.6,4.4,3.0,33.7,22.4,36.6,0.0,0.0,49.9,34.8,17129.0,0.2,0.0,0.0,0,0,4430,28005950200,11.4,63.1
0.0,2.47,,,23.0,45.0,4.6,4.5,37.9,20.9,32.1,0.0,0.7,45.6,45.8,16728.0,0.0,0.0,0.7,0,0,4298,28005950300,9.4,54.3
0.0,2.6,,,25.3,29.5,7.5,3.0,35.4,30.5,23.5,0.0,0.0,50.3,43.1,19133.0,0.0,0.0,0.0,0,0,2863,28007060100,18.0,70.5
0.0,2.71,,,22.0,19.8,7.6,10.4,25.2,28.4,28.3,0.0,1.0,46.3,40.8,20731.0,1.0,0.0,0.0,0,0,2351,28007060200,10.2,79.2
0.0,2.78,,,28.2,56.6,8.0,4.0,28.5,40.5,19.0,0.0,5.1,53.1,38.7,15654.0,0.1,0.0,5.1,0,0,3596,28007060300,11.3,38.2
0.0,2.45,,,17.4,34.2,7.3,5.0,32.0,24.5,31.3,0.0,0.0,50.8,43.7,21283.0,0.0,0.0,0.0,0,0,3319,28007060400,5.1,65.8
0.5,2.55,,,30.1,49.1,13.6,13.5,22.4,26.4,24.1,0.0,2.7,46.1,33.6,16240.0,1.3,0.0,1.0,0,0,3692,28007060500,20.6,48.2
0.0,2.71,,,35.1,53.0,13.9,4.2,25.8,26.7,29.5,0.0,0.1,39.6,33.4,14873.0,0.3,0.1,0.0,0,0,3731,28007060600,17.3,46.6
0.0,2.53,34.831696,-89.188576,25.4,48.2,4.4,3.4,38.6,30.3,23.3,0.0,0.7,49.5,42.6,15879.0,2.8,0.0,0.0,1,0.166195778627223,6017,28009950100,18.2,49.0
0.0,3.19,,,20.1,11.5,11.8,2.2,32.6,19.7,33.7,0.0,0.1,50.3,30.9,18408.0,0.2,0.0,0.0,0,0,2687,28009950200,16.3,88.4
0.0,2.74,,,43.8,81.0,10.5,2.7,25.1,41.6,20.0,0.0,1.3,47.0,34.6,12494.0,0.0,0.1,1.3,0,0,3817,28011950100,22.3,17.7
0.2,2.89,,,44.8,87.4,5.9,1.0,31.9,33.0,28.3,0.0,0.0,47.4,29.7,11180.0,0.0,0.0,0.2,0,0,3430,28011950200,24.8,12.1
0.0,2.72,,,35.0,90.4,13.0,6.6,26.6,24.8,29.0,0.0,0.0,43.5,34.6,15112.0,0.2,0.0,0.0,0,0,3244,28011950300,19.9,9.4
0.2,2.76,,,43.2,77.0,8.1,2.0,23.1,40.3,26.4,0.0,0.4,51.8,36.7,13102.0,0.4,0.2,0.3,0,0,4444,28011950400,19.7,21.9
1.5,2.68,,,25.1,46.6,15.4,9.2,27.2,17.8,30.4,0.0,0.2,46.6,35.0,22075.0,2.4,0.0,0.0,0,0,5595,28011950500,8.6,49.4
1.2,2.26,33.7427,-90.74569,7.0,11.2,23.0,22.4,20.1,9.1,25.4,0.0,0.2,45.6,30.4,23724.0,0.6,0.2,0.0,1,0.156372165754496,6395,28011950600,5.9,86.7
0.0,2.61,,,42.4,88.4,4.4,4.4,31.4,32.7,27.1,0.0,0.0,46.5,37.5,11572.0,0.3,0.0,0.0,0,0,4254,28011950701,25.3,11.3
