% Asian,Avg Household Size,Latitude,Longitude,% Poverty,% Black,% Ed. Bachelors,% Ed. Grad. Degree,% Ed. HS Grad.,% Ed. < HS,% Ed. Some College,% Hawaiian/PI,% Hispanic/Latino,% Male,Median Age,Median Income,% Multi-race,% Native,% Other Race,MH Provider Count,MH Provider per 1000 Pop.,Population,tract,Unemployment,% White
1.4,1.58,44.0975272771429,-70.2303923171429,25.6,1.9,8.5,3.1,46.4,23.0,19.1,0.0,0.6,56.1,40.5,16667.0,7.3,0.0,0.3,7,4.76514635806671,1469,23001010100,11.9,89.1
0.6,2.43,44.1324963933333,-70.2256343533333,15.4,2.9,17.2,6.8,38.0,12.6,25.4,0.0,2.5,49.6,38.1,23459.0,1.5,0.5,0.0,3,0.617156963587739,4861,23001010200,14.3,94.5
0.0,2.33,44.09821337,-70.23256299,42.1,14.1,12.3,3.3,36.1,14.9,33.4,0.0,3.2,46.0,29.9,18996.0,7.3,0.0,0.0,2,0.829875518672199,2410,23001010300,13.6,78.6
0.0,2.53,44.08514287,-70.24928675,2.2,0.7,20.2,6.9,33.2,9.4,30.3,0.0,0.0,50.8,40.4,29309.0,0.4,0.0,0.0,1,0.43535045711798,2297,23001010400,1.5,99.0
0.0,1.95,,,21.9,0.0,12.2,3.1,42.6,9.6,32.4,0.0,0.0,46.6,39.2,22806.0,1.8,0.0,0.0,0,0,1908,23001010500,9.0,98.2
2.5,2.31,44.04479921,-70.22417805,7.5,0.0,14.7,4.8,44.1,8.1,28.4,0.0,1.3,47.5,43.7,30763.0,2.2,0.1,0.0,2,0.659848234905972,3031,23001010600,2.0,95.1
1.3,2.24,44.0807123733333,-70.2617513833333,6.3,0.9,18.0,9.4,31.3,8.7,32.5,0.0,0.0,56.8,41.3,31210.0,1.0,0.0,0.0,3,0.949066751028156,3161,23001010700,10.2,96.9
1.4,2.26,44.11825,-70.28221,7.1,1.9,28.9,14.1,23.0,6.5,27.5,0.0,1.7,44.7,43.5,32096.0,1.5,0.1,1.5,1,0.247341083353945,4043,23001010800,5.3,93.7
2.0,1.7,,,53.1,15.1,1.8,1.3,46.8,33.0,17.1,0.0,1.3,55.4,37.9,11760.0,10.3,0.0,0.0,0,0,1278,23001020100,24.9,72.5
1.3,1.99,44.1042967427273,-70.21307072,14.9,0.0,13.5,2.5,38.0,19.1,26.9,0.0,3.9,46.0,41.9,20278.0,8.2,1.1,0.0,11,9.54861111111111,1152,23001020200,9.4,89.4
1.4,2.08,44.1020595434783,-70.1993987434783,39.8,4.0,6.8,5.0,35.5,26.3,26.4,0.0,4.2,48.6,27.0,11525.0,6.8,0.3,0.5,23,3.17460317460317,7245,23001020300,18.1,87.0
0.0,2.35,,,39.2,6.4,4.0,0.8,40.9,27.9,26.4,0.6,9.9,52.6,33.5,12031.0,5.9,0.0,2.5,0,0,2877,23001020400,19.0,84.6
0.0,2.22,,,20.0,2.8,12.8,3.6,34.1,16.4,33.1,0.0,0.9,42.6,37.3,20939.0,1.9,0.0,0.0,0,0,4109,23001020500,7.0,95.3
0.0,2.38,44.078377,-70.19059,14.2,0.0,12.1,5.7,39.2,12.4,30.5,0.0,0.0,51.2,45.2,26549.0,4.8,0.0,0.0,1,0.357909806728704,2794,23001020600,6.9,95.2
3.6,2.32,44.09145819,-70.16808162,6.7,0.0,10.9,5.9,39.4,12.3,31.4,0.0,0.0,49.0,46.7,24919.0,3.3,0.0,0.0,4,0.774893452150329,5162,23001020700,3.8,93.1
0.4,2.37,44.08795223,-70.16397643,8.3,1.9,10.6,4.7,45.0,9.7,30.0,0.0,0.0,47.6,44.1,26042.0,2.5,0.2,0.0,1,0.133422281521014,7495,23001020800,7.5,95.0
0.6,2.53,44.1176254225,-70.202460005,15.7,4.3,12.9,6.1,38.5,10.5,32.0,0.0,0.8,52.8,34.0,20802.0,6.5,0.2,0.3,4,0.885543502324552,4517,23001020900,8.7,88.1
0.0,2.29,,,10.9,0.3,9.6,5.6,40.9,12.0,31.9,0.0,1.0,51.8,43.4,23979.0,5.7,0.0,0.0,0,0,4302,23001030100,5.9,93.9
0.5,2.47,44.00858622,-70.05712015,9.1,0.0,9.3,3.9,46.0,5.8,34.9,0.0,1.1,47.6,37.7,26147.0,2.7,0.0,0.9,1,0.209951711106445,4763,23001030200,8.0,95.9
0.0,2.69,,,6.1,0.1,21.9,9.5,27.9,7.9,32.8,0.0,1.0,49.0,38.7,32912.0,1.5,0.2,0.0,0,0,3821,23001040000,6.6,98.3
0.7,2.38,,,7.4,0.2,11.8,10.0,34.0,12.8,31.3,0.0,1.5,45.6,42.6,29101.0,4.4,0.0,0.6,0,0,5346,23001041000,9.5,94.1
0.1,2.66,,,4.7,0.3,11.2,3.8,51.4,8.5,25.0,0.0,0.1,49.2,40.1,26820.0,2.2,0.0,0.1,0,0,5643,23001041500,9.1,97.2
0.0,2.55,,,15.3,0.0,13.1,8.3,32.8,13.2,32.6,0.0,5.8,51.5,42.5,29439.0,5.8,0.0,3.3,0,0,5684,23001042000,9.8,90.9
0.0,2.5,,,7.9,0.0,10.4,5.2,46.7,10.0,27.7,0.0,0.4,51.9,41.7,25739.0,1.7,0.0,0.0,0,0,2162,23001043000,10.7,98.3
