tract,PC#1,PC#2,PC#3,PC#4,PC#5,PC#6,PC#7,PC#8,PC#9,PC#10,PC#11,PC#12,PC#13,PC#14,PC#15,PC#16,PC#17,PC#18,PC#19
49049010103,37.65,75.90,98.71,67.84,13.46,27.53,12.95,37.14,11.23,91.85,44.85,57.72,80.53,37.14,25.47,64.24,81.56,59.43,48.11
49049010104,16.90,33.53,99.23,53.60,20.15,68.70,15.52,16.55,34.91,84.13,42.62,93.57,95.63,46.40,31.99,87.56,53.26,35.76,70.75
49049010105,6.43,32.33,95.63,35.76,23.41,82.08,24.44,30.79,28.04,93.57,46.40,76.76,92.02,63.21,13.81,51.20,35.08,62.69,44.51
49049010106,9.01,34.56,98.89,38.85,19.47,56.52,8.32,33.36,18.61,96.66,62.35,77.27,91.51,44.00,6.95,66.12,62.52,75.21,66.81
49049010107,37.99,78.82,95.97,56.35,21.87,47.26,10.89,23.58,48.11,83.28,9.18,56.52,61.66,9.01,37.65,99.06,24.79,26.16,95.63
49049010108,23.24,52.06,94.08,64.07,46.57,31.82,8.49,15.18,69.90,47.77,25.99,73.33,76.42,50.34,35.25,81.56,31.65,39.54,49.31
49049010109,30.45,46.05,94.77,66.64,47.26,51.20,2.66,83.79,14.67,21.87,88.77,86.88,92.54,8.32,12.44,35.08,85.51,57.38,22.04
49049010110,5.57,71.96,92.20,46.40,34.05,12.95,4.72,30.45,81.39,51.54,36.11,48.28,43.65,13.81,33.88,63.72,51.72,41.94,92.02
49049010111,13.46,34.91,97.34,65.27,36.62,59.26,21.36,15.52,39.54,75.73,29.42,73.84,89.11,27.19,19.13,9.18,58.58,71.10,72.47
49049010112,14.15,61.32,95.11,54.63,33.70,43.83,17.41,30.96,44.34,55.49,28.39,73.16,68.70,57.55,20.84,44.85,52.57,56.52,86.02
49049010113,4.55,60.46,96.31,37.14,26.67,39.37,5.40,26.16,64.75,50.17,41.77,94.08,86.88,46.91,29.07,50.86,73.16,66.98,66.47
49049010208,8.15,53.09,97.86,56.17,37.65,43.48,12.09,14.15,59.78,70.58,57.38,63.72,39.71,74.70,78.47,53.60,31.82,71.44,81.39
49049010209,13.81,69.90,88.25,80.02,50.51,57.55,44.00,76.42,37.14,38.85,64.41,67.15,23.41,66.30,79.67,36.45,60.46,95.28,60.12
49049010210,28.56,73.16,87.74,81.22,62.69,34.22,7.29,87.22,34.39,15.87,74.53,81.90,24.96,39.19,82.25,16.04,51.20,92.88,40.05
49049010211,5.92,60.12,93.05,69.55,47.94,65.78,41.08,51.03,26.16,57.03,18.61,91.85,45.03,69.90,83.62,40.91,42.45,91.85,42.80
49049010212,2.14,25.47,98.54,13.12,24.44,90.31,25.99,47.43,32.68,83.96,49.49,98.71,99.23,29.76,11.06,74.87,57.72,53.09,94.77
49049010213,16.38,45.88,99.40,86.19,56.17,71.44,17.07,24.10,11.41,28.90,70.41,66.98,49.66,65.95,71.44,72.47,35.93,69.21,31.13
49049010214,22.38,56.35,94.43,85.16,57.20,36.45,18.44,28.39,72.64,54.12,37.65,76.93,54.63,58.92,90.31,31.82,19.98,80.87,50.51
49049010215,29.25,62.69,98.20,89.45,47.08,29.42,24.27,31.48,38.51,77.10,61.66,50.34,22.56,49.49,76.42,56.52,37.82,78.99,26.67
49049010216,3.52,42.62,93.91,69.73,57.55,52.92,12.26,33.88,56.35,30.10,70.07,80.19,73.16,24.96,56.35,60.63,53.95,80.02,37.65
49049010217,0.94,21.87,82.93,14.67,66.64,81.22,4.55,63.89,43.14,44.17,76.76,97.86,97.34,68.01,7.80,89.62,67.50,70.93,76.24
49049010218,14.67,49.14,99.06,83.28,39.71,52.57,13.12,48.28,17.41,85.51,85.33,47.43,33.02,62.18,77.27,41.08,60.81,68.18,55.32
49049010219,11.23,50.69,81.05,66.81,68.52,62.35,17.58,34.05,46.23,19.30,50.17,62.86,27.19,78.99,71.10,40.57,39.37,82.76,63.04
49049010220,4.03,51.89,98.37,81.05,47.77,49.49,19.98,50.86,37.48,56.52,54.46,93.40,90.48,63.55,50.86,33.88,61.32,73.33,60.98
49049010303,17.58,73.84,84.31,51.89,44.17,51.89,33.19,79.16,41.08,52.23,74.87,91.68,28.56,70.07,50.69,57.03,49.31,40.05,28.39
49049010304,33.70,71.78,96.83,59.95,42.45,48.80,18.27,55.49,41.77,57.38,54.29,92.88,74.87,42.28,21.70,30.79,59.95,60.98,82.42
49049010305,25.99,80.70,83.10,78.13,59.78,34.39,15.35,81.39,37.99,25.99,63.55,69.21,0.60,81.39,92.54,1.97,29.76,74.87,32.85
49049010404,26.84,39.19,96.66,42.28,39.88,23.07,19.13,6.43,95.28,73.16,87.91,79.85,75.73,54.97,5.40,47.26,79.67,94.77,43.31
49049010405,33.19,46.57,93.57,66.12,55.66,20.33,16.90,16.21,90.48,72.13,90.31,79.16,55.32,8.49,21.36,61.49,60.12,51.03,35.25
49049010406,16.04,80.87,74.53,41.08,38.85,16.04,14.84,23.76,77.62,60.12,22.21,51.03,2.49,55.83,32.33,86.02,39.54,76.93,81.90
49049010407,25.47,71.10,61.15,55.66,46.23,38.85,29.07,27.36,43.83,89.11,24.10,45.54,1.97,80.87,54.97,56.35,26.84,11.75,82.08
49049010408,28.73,73.50,89.62,62.01,39.02,32.68,25.64,34.73,53.77,58.40,37.48,75.21,29.07,41.94,22.90,39.54,57.89,46.74,92.20
49049010409,34.56,82.42,98.03,69.38,19.30,35.93,20.84,37.48,14.15,80.19,59.61,71.78,37.99,42.80,51.72,85.51,61.66,28.22,85.51
49049010410,21.18,74.87,97.51,73.67,19.64,62.18,43.48,54.97,19.30,71.61,47.08,83.45,55.15,60.46,18.44,25.30,15.35,35.59,28.90
49049010411,13.12,81.73,86.02,69.04,42.62,46.91,16.04,80.87,45.03,17.07,65.09,92.20,23.07,55.32,56.52,59.09,38.51,54.97,48.80
49049010503,64.75,81.22,39.54,39.71,45.71,3.34,6.60,20.15,76.59,29.59,7.29,17.07,0.26,13.12,15.01,13.29,94.77,84.31,95.28
49049010504,35.59,84.82,53.60,56.86,27.70,54.80,70.93,82.25,29.07,40.05,35.08,68.87,11.75,54.63,66.12,77.10,16.90,36.45,34.05
49049010505,68.01,83.79,94.60,42.80,10.38,18.78,48.63,28.22,42.28,83.62,41.60,78.30,52.23,4.20,18.10,98.89,39.02,14.49,14.15
49049010506,89.11,83.28,72.81,5.06,7.80,1.46,11.58,1.80,93.74,34.56,4.89,63.38,4.89,81.90,17.24,21.36,99.23,85.16,98.20
49049010600,60.29,86.71,77.79,60.46,12.95,12.26,15.01,70.93,46.57,9.52,50.86,36.96,13.46,26.84,33.02,35.76,93.74,55.83,63.72
49049010700,29.42,70.58,82.25,55.83,38.51,79.50,68.35,75.56,38.68,81.22,58.58,48.63,27.87,73.84,48.80,73.33,33.36,77.10,73.33
49049010900,9.18,78.47,41.94,23.07,80.36,57.03,36.45,53.09,45.88,16.04,54.63,87.05,7.98,87.39,69.04,12.78,29.25,21.87,64.24
49051940500,70.58,67.67,44.17,37.65,88.59,14.32,92.54,7.46,97.34,39.19,99.23,94.60,80.02,40.74,88.77,88.25,87.74,26.84,6.78
49051960100,45.03,82.25,42.97,17.92,74.87,16.55,73.50,8.83,23.93,72.47,9.86,40.57,19.98,31.82,67.67,43.83,77.44,45.03,86.71
49051960200,34.39,81.05,73.16,38.68,79.16,22.90,63.04,19.64,20.50,47.60,51.37,57.89,69.38,58.75,44.51,26.84,68.01,85.68,24.79
49051960400,3.17,82.08,34.39,13.81,75.04,50.69,78.13,58.23,25.99,54.46,35.93,87.22,83.96,79.85,65.27,25.81,50.00,69.04,15.52
49053270100,65.09,95.63,49.14,94.77,2.83,91.17,10.55,69.90,42.97,10.03,77.10,92.37,44.51,11.92,11.41,99.23,50.17,90.48,69.38
49053270200,41.25,92.02,16.38,87.91,0.60,92.02,12.78,10.03,77.10,76.76,19.13,38.85,8.83,5.92,69.21,95.80,28.39,16.38,78.64
49053270300,72.81,89.62,6.60,93.22,0.26,94.77,5.23,35.93,80.53,67.84,18.44,71.44,12.26,69.04,58.58,51.54,30.62,20.67,35.76
49053270400,37.82,90.14,2.49,87.39,0.77,95.80,16.38,13.12,94.43,90.14,10.72,44.00,1.29,68.52,70.41,89.28,47.60,21.18,47.77
49053270500,31.65,88.77,31.65,95.80,1.80,96.48,3.69,42.62,62.18,15.69,68.52,80.87,24.10,3.52,53.77,30.62,52.74,88.08,45.37
49053270600,39.19,90.31,2.14,89.11,0.94,99.06,67.15,30.62,90.31,76.93,22.56,45.03,3.34,90.82,40.05,69.04,23.93,9.35,48.46
