county,PC#1,PC#2,PC#3,PC#4,PC#5,PC#6,PC#7,PC#8,PC#9,PC#10,PC#11,PC#12,PC#13,PC#14,PC#15,PC#16,PC#17
40107,96.75,79.87,52.60,75.97,82.47,91.56,14.94,39.61,0.65,40.91,79.87,5.84,31.82,99.35,9.74,77.27,12.34
40109,30.52,94.16,96.75,87.66,33.12,11.04,8.44,22.73,61.69,7.14,85.06,8.44,82.47,37.01,59.09,91.56,52.60
40111,74.68,37.01,82.47,78.57,52.60,48.70,5.84,17.53,4.55,86.36,13.64,52.60,42.21,46.10,11.04,18.83,13.64
40113,57.79,20.13,75.97,72.08,81.17,35.71,0.65,8.44,43.51,16.23,61.69,86.36,11.04,27.92,60.39,35.71,16.23
40115,73.38,47.40,73.38,20.13,87.66,16.23,88.96,34.42,3.25,22.73,3.25,57.79,68.18,81.17,22.73,7.14,61.69
40117,52.60,8.44,34.42,24.03,70.78,44.81,29.22,51.30,30.52,47.40,73.38,42.21,14.94,16.23,86.36,27.92,53.90
40119,39.61,66.88,99.35,90.26,85.06,56.49,99.35,33.12,21.43,13.64,64.29,82.47,34.42,40.91,8.44,70.78,20.13
40121,64.29,30.52,56.49,81.17,44.81,37.01,55.19,74.68,95.45,34.42,22.73,14.94,72.08,47.40,44.81,21.43,42.21
40123,53.90,38.31,83.77,53.90,22.73,55.19,90.26,44.81,92.86,83.77,14.94,11.04,43.51,79.87,48.70,4.55,9.74
40125,62.99,40.91,77.27,26.62,27.92,47.40,69.48,25.32,31.82,75.97,24.03,90.26,65.58,33.12,70.78,85.06,8.44
40127,90.26,34.42,21.43,77.27,16.23,13.64,87.66,88.96,26.62,50.00,47.40,48.70,64.29,26.62,18.83,68.18,29.22
40129,3.25,4.55,30.52,9.74,26.62,83.77,56.49,4.55,65.58,72.08,92.86,85.06,96.75,77.27,27.92,14.94,22.73
40131,22.73,3.25,85.06,11.04,74.68,34.42,11.04,87.66,81.17,70.78,20.13,35.71,50.00,72.08,33.12,50.00,82.47
40133,85.06,61.69,70.78,27.92,42.21,66.88,50.00,12.34,40.91,82.47,66.88,68.18,91.56,62.99,65.58,94.16,18.83
40135,95.45,62.99,65.58,21.43,69.48,42.21,77.27,56.49,22.73,29.22,59.09,43.51,56.49,86.36,43.51,25.32,74.68
40137,47.40,35.71,43.51,62.99,4.55,50.00,73.38,62.99,34.42,68.18,43.51,72.08,25.32,3.25,61.69,44.81,14.94
40139,12.34,99.35,29.22,4.55,95.45,22.73,35.71,91.56,20.13,31.82,53.90,39.61,16.23,43.51,40.91,20.13,1.95
40141,61.69,96.75,7.14,94.16,25.32,24.03,33.12,30.52,90.26,25.32,21.43,87.66,29.22,78.57,5.84,47.40,99.35
40143,29.22,78.57,94.16,74.68,53.90,5.84,20.13,60.39,53.90,17.53,55.19,1.95,81.17,44.81,38.31,64.29,87.66
40145,34.42,12.34,88.96,13.64,55.19,51.30,7.14,85.06,42.21,42.21,33.12,17.53,30.52,56.49,37.01,26.62,88.96
40147,38.31,5.84,86.36,44.81,73.38,4.55,57.79,61.69,59.09,21.43,81.17,44.81,74.68,13.64,83.77,24.03,98.05
40149,14.94,31.82,13.64,57.79,29.22,70.78,91.56,14.94,75.97,48.70,37.01,73.38,7.14,66.88,1.95,60.39,65.58
40151,13.64,42.21,60.39,83.77,94.16,88.96,98.05,21.43,47.40,26.62,5.84,56.49,61.69,65.58,99.35,82.47,39.61
40153,11.04,50.00,25.32,38.31,77.27,90.26,59.09,37.01,13.64,66.88,16.23,62.99,3.25,90.26,3.25,75.97,86.36
