tract,PC#1,PC#2,PC#3,PC#4,PC#5,PC#6,PC#7,PC#8,PC#9,PC#10,PC#11,PC#12,PC#13,PC#14,PC#15,PC#16,PC#17,PC#18,PC#19
21001970100,21.99,3.49,82.37,69.04,41.48,21.08,73.03,70.67,63.42,26.16,15.19,44.20,90.44,75.29,78.92,19.63,89.53,57.34,82.09
21001970200,41.21,0.86,46.10,79.56,26.70,12.10,54.53,38.67,75.29,17.36,25.25,34.50,89.35,54.17,29.06,30.78,49.73,59.52,60.34
21001970300,20.08,6.66,61.79,69.40,40.21,49.91,57.25,82.73,40.93,25.79,39.12,50.73,79.01,52.81,43.56,40.75,55.89,72.12,72.67
21001970401,30.78,25.97,32.05,82.28,19.36,11.83,25.43,21.26,51.18,14.28,21.17,34.41,72.39,77.92,59.43,24.98,36.85,94.42,47.10
21001970402,16.64,66.77,93.34,67.14,44.74,57.98,24.34,83.54,4.22,12.47,22.08,93.97,42.20,39.30,1.50,27.06,25.52,89.62,7.84
21001970500,27.24,10.65,64.14,83.18,46.01,94.33,55.53,45.83,74.66,13.74,9.20,24.16,90.98,65.50,90.71,63.24,81.91,27.79,58.52
21001970600,5.30,44.11,59.34,66.23,61.15,59.79,9.56,73.48,14.37,45.19,55.35,52.18,68.77,61.97,96.78,59.43,8.57,19.99,11.02
21003920100,61.24,0.59,46.92,91.89,15.28,21.35,43.20,58.16,75.11,11.02,33.23,37.76,85.54,50.45,28.33,18.99,65.96,45.65,66.23
21003920200,26.43,71.94,98.78,78.74,82.46,25.61,34.04,47.82,6.12,83.18,2.49,98.59,77.56,99.86,19.72,99.23,32.41,93.97,4.31
21003920300,33.68,4.85,49.73,87.90,36.58,32.14,40.57,60.52,44.74,37.58,56.44,45.29,84.72,76.38,34.13,63.06,10.56,97.87,26.25
21003920400,18.36,34.22,51.09,85.99,57.98,45.19,17.00,58.70,17.82,57.89,77.47,76.56,56.62,58.52,27.06,31.69,51.36,9.93,30.24
21003920500,9.56,56.35,97.87,80.73,64.23,18.00,77.38,94.51,79.56,44.65,32.77,82.28,94.51,79.65,20.90,55.08,60.34,33.77,96.42
21003920600,5.58,45.19,93.16,82.37,61.70,36.31,34.22,80.19,12.74,62.06,46.74,99.23,90.71,72.39,18.36,45.19,12.74,95.69,62.60
21005950100,62.87,39.30,34.13,38.03,78.11,36.85,32.50,38.21,23.44,38.21,44.83,70.22,31.96,26.25,29.15,57.52,33.32,14.37,11.47
21005950201,70.49,37.04,21.53,48.37,42.57,41.84,19.63,37.58,63.33,59.43,72.03,75.39,56.44,11.74,16.00,57.43,34.68,3.67,78.74
21005950202,72.67,2.95,53.90,43.47,45.01,40.03,84.36,65.32,66.95,13.46,65.32,20.44,56.35,30.78,82.46,72.67,57.62,40.39,84.36
21005950300,58.79,11.56,69.22,40.12,65.05,23.80,84.18,41.66,69.04,51.90,76.93,51.09,43.20,13.83,12.01,8.39,70.76,30.33,84.45
21005950400,56.80,10.74,45.29,51.09,84.09,13.28,38.21,24.98,71.94,59.52,50.27,38.49,66.32,33.68,35.68,32.05,84.63,35.49,36.58
21007950100,53.90,24.34,68.40,96.78,51.45,56.17,81.01,58.52,22.80,86.26,27.61,75.57,63.60,37.31,84.09,33.50,76.65,75.29,13.37
21007950200,57.07,18.72,60.79,98.32,42.48,91.52,90.34,51.90,23.98,68.31,41.12,12.92,52.99,7.75,86.45,72.39,37.58,17.45,39.85
21007950300,52.72,42.02,58.25,98.59,44.20,70.31,47.10,34.77,12.92,77.65,33.95,67.50,48.37,27.24,80.46,32.23,41.57,70.13,72.39
21009950100,65.32,10.02,51.27,84.81,35.86,42.20,20.90,63.06,46.83,25.61,37.76,18.90,52.09,58.88,17.09,85.90,65.87,19.08,29.33
21009950200,34.59,49.37,79.47,79.74,57.16,55.62,43.02,91.52,18.27,21.99,41.57,83.45,51.63,36.40,69.13,18.36,69.22,1.59,62.06
21009950300,26.97,58.79,36.40,79.65,85.99,80.55,11.29,72.12,5.12,27.61,45.38,39.39,25.61,40.03,20.99,53.90,13.46,43.74,76.47
21009950400,14.46,67.59,50.82,88.44,31.41,98.23,80.92,4.49,60.97,45.56,15.28,29.42,40.93,81.82,42.11,36.40,44.92,73.12,60.43
21009950500,45.38,32.32,42.38,83.54,14.01,46.19,78.29,75.57,60.43,42.29,52.36,7.57,23.25,70.85,18.27,16.00,54.71,29.42,33.50
21009950600,27.61,61.15,18.90,87.44,35.31,8.75,6.94,3.67,58.70,59.79,85.27,5.21,15.37,72.03,41.48,9.20,71.03,80.37,83.54
21009950700,55.44,8.11,67.41,81.28,73.12,79.28,54.35,85.18,46.28,50.36,86.72,49.73,60.52,67.23,12.28,75.29,42.20,25.61,27.33
21009950800,21.17,42.57,91.52,75.11,91.61,27.70,19.99,56.62,10.29,76.65,43.20,90.34,67.32,98.32,85.45,4.58,92.70,1.31,4.67
21009950900,30.15,29.51,92.97,82.46,49.55,13.83,55.44,58.07,20.72,34.86,7.84,36.49,72.21,96.78,54.90,14.55,79.92,9.75,35.31
21009951000,43.20,44.56,94.42,79.19,68.68,39.12,46.74,83.00,23.89,43.02,49.37,62.60,67.86,78.92,10.38,98.59,69.04,55.71,31.69
21011970100,9.75,49.82,60.34,10.47,68.59,28.24,60.24,49.73,78.56,66.41,23.89,8.30,46.10,47.19,95.42,32.68,44.65,87.90,58.34
21011970200,44.56,34.68,59.79,16.09,74.66,65.87,40.21,64.51,39.12,25.97,18.81,45.38,42.02,29.87,31.32,56.35,47.01,49.00,62.51
21011970300,10.65,45.83,59.70,10.29,73.66,28.15,27.97,25.52,62.78,90.89,42.20,81.10,41.93,70.22,63.24,27.97,68.13,79.56,53.54
21013960100,0.50,39.66,84.54,36.22,15.82,45.01,18.81,74.21,52.27,15.00,9.38,48.28,92.52,90.71,88.80,95.78,12.92,93.70,71.21
21013960200,3.76,15.00,13.01,56.71,26.07,68.22,3.58,58.25,57.43,12.92,79.28,5.30,76.02,44.20,70.31,79.01,37.40,62.51,55.26
21013960300,21.80,5.67,65.41,46.28,39.94,64.23,59.52,88.80,52.63,17.72,49.27,21.44,59.07,99.41,25.34,47.73,49.09,53.90,26.52
21013960400,13.37,22.53,58.79,41.66,44.11,38.21,36.13,44.92,53.26,77.02,22.44,26.61,28.60,99.95,8.39,29.33,34.22,35.58,23.25
21013960500,11.38,39.85,80.37,45.01,47.10,88.17,76.56,81.01,48.55,42.84,72.21,74.93,27.52,99.77,7.75,20.99,85.72,68.95,8.02
21013960600,1.31,70.94,7.12,62.96,21.62,57.16,0.68,24.80,62.15,76.29,61.42,3.22,6.12,99.14,89.71,71.85,12.19,15.28,52.27
21013960700,17.00,43.65,24.52,63.51,12.28,58.25,51.99,87.26,65.41,6.84,7.93,0.41,57.80,99.68,54.99,42.20,15.91,56.26,76.29
21013960800,18.63,27.06,20.44,64.96,36.49,50.63,8.75,41.21,43.47,26.70,41.84,5.03,37.04,99.59,24.43,52.63,48.10,85.18,75.75
21013961100,3.85,40.21,52.63,34.32,18.36,81.46,95.24,97.78,80.01,61.79,95.15,57.16,8.02,95.78,15.37,81.64,7.03,9.02,57.62
21015070100,63.42,77.29,71.76,6.21,38.30,25.79,49.00,14.28,25.70,91.25,43.56,22.98,60.88,8.30,9.56,13.74,18.00,92.16,39.66
