tract,State,County,Latitude,Longitude,RUCA Urbanicity,% Insured,Population,Population Density,Avg Household Size,Unemployment,Median Age,% Male,% White,% Black,% Native,% Asian,% Hawaiian/PI,% Other Race,% Multi-race,% Hispanic/Latino,% Ed. < HS,% Ed. HS Grad.,% Ed. College Grad.,Median Income,% Poverty,MH Provider Count,MH Provider per 1000 Pop.
20001952600,KS,Allen County,,,10,90.8,2039,7.52676264304171,2.55,3.6,42.7,50.2,99.0,0.1,0.0,0.0,0.0,0.1,0.8,1.6,8.7,40.8,50.5,24299.0,8.8,0,0
20001952700,KS,Allen County,,,8,84.4,2000,21.6216216216216,2.36,5.8,48.0,51.0,94.6,0.0,0.4,1.1,0.0,0.0,4.0,0.7,9.7,37.6,52.7,22279.0,11.7,0,0
20001952800,KS,Allen County,37.9247427,-95.4035548,7,90.2,3793,313.471074380165,2.31,3.5,41.3,48.9,92.4,4.4,0.1,0.0,0.3,0.3,2.6,0.7,8.7,33.8,57.6,19747.0,18.4,6,1.58186132349064
20001952900,KS,Allen County,,,7,87.2,2612,212.357723577236,2.37,7.3,35.4,48.0,93.2,1.9,0.0,0.0,0.1,0.0,4.8,5.1,10.7,17.6,71.7,20972.0,25.1,0,0
20001953000,KS,Allen County,37.7977537,-95.43937783,10,95.0,2507,22.2844444444444,2.31,6.6,46.1,50.5,90.5,1.1,0.9,0.0,0.0,2.1,5.4,8.6,10.4,34.3,55.3,26508.0,9.8,1,0.398883127243718
20003953600,KS,Anderson County,38.279747,-95.24607,7,85.9,4917,37.7070552147239,2.24,2.4,42.3,49.4,94.1,0.0,3.2,0.0,0.0,0.0,2.7,0.5,6.5,36.0,57.5,23549.0,17.5,1,0.203376042302217
20003953700,KS,Anderson County,,,10,90.6,2941,6.54719501335708,2.74,5.8,41.6,50.0,97.8,0.3,0.6,0.0,0.0,0.0,1.2,0.4,13.8,38.8,47.4,23933.0,11.2,0,0
20005081600,KS,Atchison County,,,5,92.9,4210,10.8673205988642,2.4,2.1,46.0,54.0,96.2,0.7,0.9,0.0,0.0,0.1,2.1,1.0,8.0,49.6,42.5,28620.0,12.5,0,0
20005081700,KS,Atchison County,39.576516004,-95.115235244,4,88.6,5844,200.13698630137,2.36,9.1,32.6,46.5,88.3,5.5,0.2,0.6,0.2,0.5,4.6,5.5,4.5,43.1,52.4,17361.0,15.3,5,0.855578370978782
20005081800,KS,Atchison County,,,4,91.3,2967,218.161764705882,2.75,5.0,37.3,45.9,93.3,3.4,0.8,0.0,0.0,0.2,2.3,1.6,2.2,34.0,63.9,21800.0,26.2,0,0
20005081900,KS,Atchison County,39.5625661533333,-95.1175375433333,4,88.1,3536,3928.88888888889,2.65,9.9,33.1,47.9,86.0,5.6,0.4,0.0,0.0,0.0,8.0,1.5,15.6,33.9,50.6,18988.0,26.6,3,0.84841628959276
20007968100,KS,Barber County,,,10,90.3,3127,6.59983115238497,2.43,3.0,43.4,49.9,96.4,0.4,0.0,0.9,0.0,0.1,2.3,4.2,6.1,37.0,56.9,25491.0,17.1,0,0
20007968200,KS,Barber County,,,10,87.6,1704,2.58064516129032,2.46,3.7,46.5,53.5,94.5,1.2,1.1,0.0,0.0,0.4,2.8,1.3,10.2,35.6,54.1,23304.0,8.8,0,0
20009971100,KS,Barton County,,,10,91.1,3986,10.9145673603505,2.34,2.7,43.4,50.4,96.8,0.5,0.3,0.0,0.0,0.3,2.1,4.5,8.9,34.4,56.8,28262.0,9.6,0,0
20009971200,KS,Barton County,,,5,90.5,1742,4.90842490842491,2.36,5.4,46.6,53.6,98.7,0.1,0.0,0.0,0.0,0.4,0.8,0.5,9.7,32.0,58.3,26657.0,12.7,0,0
20009971300,KS,Barton County,,,7,88.4,2878,80.6162464985994,2.52,6.6,35.2,50.3,94.6,1.6,1.1,0.0,0.0,0.9,1.8,4.2,12.6,32.1,55.3,25888.0,16.7,0,0
20009971400,KS,Barton County,38.37078,-98.76396,4,81.8,2697,1798.0,2.35,6.3,35.4,49.0,89.5,3.2,0.1,0.0,0.0,1.4,5.8,4.9,10.4,37.3,52.4,25147.0,6.9,1,0.370782350760104
20009971500,KS,Barton County,38.35285861,-98.79362307,4,90.3,3678,967.894736842105,2.18,4.5,42.6,46.2,91.5,3.2,0.1,1.1,1.5,1.6,1.0,7.3,8.2,25.9,65.9,25590.0,16.4,1,0.271886895051658
20009971600,KS,Barton County,38.3610621,-98.7817633,4,87.2,3791,2369.375,2.25,2.8,43.7,49.6,94.9,2.1,0.1,0.0,0.0,0.8,2.1,14.6,12.1,30.9,57.0,28169.0,10.9,1,0.263782643102084
20009971700,KS,Barton County,38.364616,-98.767914,4,75.5,3243,4053.75,2.84,11.7,30.7,49.5,82.1,0.2,0.6,0.0,0.0,14.4,2.6,44.3,27.6,25.6,46.9,19635.0,25.6,1,0.308356460067838
20009971800,KS,Barton County,38.3650873916667,-98.8126299416667,4,85.6,5199,39.4461305007587,2.34,6.1,43.1,51.1,91.7,0.0,0.0,0.2,0.0,6.6,1.5,22.2,17.2,37.3,45.6,23059.0,21.4,12,2.30813618003462
20011955600,KS,Bourbon County,,,8,87.8,2734,9.4536652835408,2.79,1.9,34.7,53.0,96.5,0.1,0.6,0.1,0.0,0.1,2.5,1.4,12.0,29.5,58.5,25597.0,19.7,0,0
20011955700,KS,Bourbon County,,,8,95.3,2090,7.29493891797557,2.78,2.1,39.0,49.5,93.2,0.0,3.3,0.2,0.0,0.1,3.2,0.4,6.5,30.1,63.5,29969.0,12.3,0,0
20011955800,KS,Bourbon County,37.8322331,-94.71488744,7,91.1,3626,148.606557377049,2.35,1.7,46.1,49.4,95.4,3.7,0.0,0.4,0.0,0.0,0.4,3.0,8.1,25.2,66.8,22565.0,12.5,1,0.275785990071704
20011955900,KS,Bourbon County,,,7,90.7,3729,109.676470588235,2.75,3.0,32.7,50.5,88.3,7.9,1.2,0.2,0.0,0.6,1.9,4.8,10.0,30.4,59.6,16732.0,24.3,0,0
20011956000,KS,Bourbon County,37.839653,-94.70386,7,91.1,2572,1837.14285714286,2.18,4.0,41.0,43.4,91.8,3.3,0.2,3.6,0.0,0.0,1.1,0.7,11.0,34.4,54.6,21794.0,15.3,2,0.777604976671851
20013480600,KS,Brown County,,,10,89.7,3143,9.22512474317582,2.68,3.9,39.6,50.6,76.3,2.1,17.5,1.5,0.1,0.2,2.4,3.1,8.7,39.7,51.6,25731.0,15.7,0,0
20013480700,KS,Brown County,39.8550021011111,-95.5286829377778,7,88.4,3443,136.086956521739,2.23,4.7,45.2,46.6,89.9,2.0,3.2,0.2,0.0,0.0,4.8,4.4,5.3,38.1,56.5,22664.0,13.9,9,2.61399941911124
20013480800,KS,Brown County,,,10,90.2,3224,15.734504636408,2.36,3.0,43.3,47.6,90.4,0.6,4.8,0.3,0.3,0.5,3.0,4.1,7.6,40.5,51.9,22648.0,14.0,0,0
20015020100,KS,Butler County,,,10,88.1,6483,8.54713249835201,2.6,6.3,39.2,62.6,87.4,9.0,1.4,0.4,0.0,0.3,1.5,4.3,15.0,37.1,47.9,27490.0,11.3,0,0
20015020201,KS,Butler County,37.662434,-96.97275802,2,89.8,7186,61.84165232358,2.63,7.7,38.0,50.3,94.6,2.4,0.2,0.4,0.2,0.1,2.0,4.9,6.6,20.6,72.7,30108.0,9.4,4,0.55663790704147
20015020202,KS,Butler County,37.71649665,-97.1368545,1,89.4,8497,1931.13636363636,2.85,4.1,33.6,48.3,92.9,2.4,0.2,0.8,0.0,0.0,3.7,5.5,3.9,12.2,83.9,35747.0,3.8,6,0.7061315758503
20015020203,KS,Butler County,,,1,92.9,6314,201.725239616613,2.88,3.8,38.6,47.8,93.7,0.2,1.0,4.7,0.0,0.2,0.3,3.7,3.8,19.3,76.8,40844.0,5.5,0,0
20015020300,KS,Butler County,,,4,92.2,3660,620.338983050847,2.37,4.1,42.4,50.2,96.0,0.7,1.2,0.0,0.0,0.5,1.6,3.9,6.8,27.6,65.7,27231.0,8.8,0,0
