tract,State,County,Latitude,Longitude,RUCA Urbanicity,% Insured,Population,Population Density,Avg Household Size,Unemployment,Median Age,% Male,% White,% Black,% Native,% Asian,% Hawaiian/PI,% Other Race,% Multi-race,% Hispanic/Latino,% Ed. < HS,% Ed. HS Grad.,% Ed. College Grad.,Median Income,% Poverty,MH Provider Count,MH Provider per 1000 Pop.
39035141700,OH,Cuyahoga County,,,1,97.1,1417,4723.33333333333,2.26,3.1,42.3,44.2,74.7,17.8,0.0,1.7,0.0,0.0,5.8,6.1,4.2,9.8,86.0,41544.0,3.5,0,0
39035150100,OH,Cuyahoga County,,,1,85.9,2157,7190.0,2.14,29.4,43.2,49.8,3.9,95.6,0.0,0.4,0.0,0.0,0.0,1.2,16.5,37.8,45.7,15137.0,30.1,0,0
39035150300,OH,Cuyahoga County,,,1,84.1,1566,7830.0,2.24,27.8,42.7,42.5,2.5,93.9,0.0,0.3,0.0,0.0,3.3,0.0,21.3,39.4,39.3,13929.0,44.8,0,0
39035150400,OH,Cuyahoga County,,,1,82.3,1660,8300.0,2.41,29.1,26.8,48.9,0.7,97.0,1.1,0.0,0.0,0.8,0.4,1.5,26.5,42.6,30.9,13724.0,49.9,0,0
39035151100,OH,Cuyahoga County,,,1,82.9,1386,6930.0,2.0,31.8,44.3,51.2,5.2,93.5,0.0,0.0,0.0,0.0,1.3,2.1,29.1,31.7,39.2,15851.0,47.2,0,0
39035151200,OH,Cuyahoga County,41.53858,-81.55891,1,94.2,1678,5593.33333333333,1.77,17.6,36.4,40.5,3.9,92.8,0.4,0.0,0.0,0.0,3.0,0.1,11.5,31.5,57.0,17000.0,46.0,1,0.595947556615018
39035151300,OH,Cuyahoga County,,,1,94.4,2104,4208.0,1.5,8.2,64.1,39.1,25.2,71.0,0.0,0.2,0.0,0.9,2.7,0.9,16.8,24.5,58.7,12942.0,43.0,0,0
39035151400,OH,Cuyahoga County,41.535457095,-81.5749435966667,1,91.0,1364,6820.0,2.4,20.0,44.9,53.2,11.9,85.1,2.3,0.0,0.0,0.0,0.7,0.1,9.0,41.6,49.5,17692.0,29.7,6,4.39882697947214
39035151500,OH,Cuyahoga County,,,1,91.7,1306,4353.33333333333,2.28,25.5,43.2,52.1,3.1,93.6,0.0,0.3,0.0,0.0,2.9,0.5,19.7,34.0,46.4,15144.0,41.2,0,0
39035151600,OH,Cuyahoga County,,,1,83.6,1391,4636.66666666667,2.05,25.5,29.5,47.8,3.6,94.5,0.7,0.6,0.0,0.6,0.0,0.6,15.1,33.5,51.4,16344.0,38.2,0,0
39035151700,OH,Cuyahoga County,,,1,92.0,1107,5535.0,2.47,22.5,38.0,50.3,7.0,80.6,0.0,0.5,0.0,0.0,11.9,3.6,15.0,36.4,48.6,15852.0,41.3,0,0
39035151800,OH,Cuyahoga County,,,1,91.1,1694,8470.0,2.37,31.8,41.1,39.5,0.5,96.8,0.0,0.0,0.0,0.0,2.8,0.0,19.1,42.4,38.6,12625.0,48.3,0,0
39035152101,OH,Cuyahoga County,41.59759805,-81.54867875,1,97.4,2493,6232.5,2.32,5.2,46.7,51.1,80.0,17.8,0.0,0.0,0.0,0.9,1.3,1.4,2.4,15.4,82.2,47981.0,9.4,4,1.60449257922182
39035152102,OH,Cuyahoga County,,,1,87.8,4267,7111.66666666667,2.49,7.6,36.7,41.4,43.4,52.8,0.1,0.6,0.0,0.4,2.8,1.4,11.0,33.0,56.1,25694.0,21.7,0,0
39035152201,OH,Cuyahoga County,,,1,87.0,2910,9700.0,1.62,17.1,44.4,44.0,27.6,68.5,0.0,1.6,0.0,1.3,1.0,3.1,9.1,23.7,67.1,21875.0,17.8,0,0
39035152202,OH,Cuyahoga County,,,1,91.5,4221,4690.0,2.23,8.7,38.0,45.7,43.3,55.5,0.0,0.4,0.0,0.5,0.3,1.3,10.5,40.7,48.7,25391.0,21.7,0,0
39035152301,OH,Cuyahoga County,,,1,87.7,2797,13985.0,1.79,11.7,38.5,46.4,37.5,58.2,0.0,0.0,0.0,0.0,4.3,0.7,7.5,26.3,66.2,27028.0,12.9,0,0
39035152302,OH,Cuyahoga County,,,1,90.6,4474,6391.42857142857,2.63,11.1,38.6,48.7,50.3,45.6,0.0,0.7,0.1,0.3,3.0,2.6,7.2,35.8,57.0,29444.0,17.4,0,0
39035152303,OH,Cuyahoga County,,,1,86.7,3529,2714.61538461538,2.14,11.2,43.0,49.5,53.8,42.8,0.0,1.8,0.0,0.0,1.6,0.7,10.8,39.2,49.9,26502.0,17.3,0,0
39035152400,OH,Cuyahoga County,,,1,90.7,1739,8695.0,2.23,15.7,41.0,47.7,46.2,53.1,0.0,0.0,0.0,0.0,0.6,1.1,7.0,36.3,56.7,26067.0,12.3,0,0
39035152501,OH,Cuyahoga County,,,1,87.5,3528,5880.0,2.31,3.2,41.9,42.8,43.4,53.6,0.0,0.0,0.1,0.0,2.9,1.2,8.6,37.9,53.5,28938.0,15.1,0,0
39035152502,OH,Cuyahoga County,41.597259334,-81.525861742,1,95.4,2397,1712.14285714286,2.29,10.8,32.9,47.0,30.5,64.7,0.7,0.0,0.0,0.1,4.0,2.1,9.6,24.6,65.8,22664.0,29.1,10,4.17188151856487
39035152603,OH,Cuyahoga County,,,1,82.3,1094,1562.85714285714,2.36,5.0,36.1,54.9,16.4,79.2,0.0,0.0,0.0,0.5,3.9,1.1,9.2,37.0,53.8,23295.0,29.5,0,0
39035152604,OH,Cuyahoga County,,,1,89.1,3928,4364.44444444444,1.76,16.1,48.4,48.3,36.6,59.8,0.0,2.0,0.0,0.0,1.6,1.8,16.4,32.0,51.7,22308.0,30.9,0,0
39035152701,OH,Cuyahoga County,,,1,93.4,2225,7416.66666666667,1.36,12.3,60.4,42.5,7.9,91.1,0.0,0.0,0.0,0.0,1.0,1.0,31.8,41.2,27.0,12867.0,36.0,0,0
39035152702,OH,Cuyahoga County,,,1,88.4,2299,2873.75,2.33,8.3,40.5,46.4,16.5,76.9,0.0,1.0,0.0,0.0,5.7,1.3,3.8,22.5,73.7,25931.0,16.1,0,0
39035152703,OH,Cuyahoga County,,,1,93.5,1914,2734.28571428571,2.22,5.9,41.0,42.9,37.3,58.5,0.0,1.7,0.0,0.0,2.5,0.5,4.5,32.1,63.3,30186.0,8.3,0,0
39035153103,OH,Cuyahoga County,41.4270286,-81.8611309,1,95.3,2380,2380.0,2.22,8.8,51.6,50.7,97.8,0.9,0.0,0.3,0.0,0.4,0.6,0.9,2.9,32.4,64.6,32188.0,4.6,1,0.420168067226891
39035153104,OH,Cuyahoga County,41.4406367033333,-81.8680619066667,1,90.6,3101,5168.33333333333,2.47,8.3,39.7,48.7,94.8,1.2,0.5,0.9,0.0,2.0,0.6,5.2,3.6,28.1,68.3,30271.0,11.7,3,0.967429861335053
