tract,State,County,Latitude,Longitude,RUCA Urbanicity,% Insured,Population,Population Density,Avg Household Size,Unemployment,Median Age,% Male,% White,% Black,% Native,% Asian,% Hawaiian/PI,% Other Race,% Multi-race,% Hispanic/Latino,% Ed. < HS,% Ed. HS Grad.,% Ed. College Grad.,Median Income,% Poverty,MH Provider Count,MH Provider per 1000 Pop.
44001030100,RI,Bristol County,41.744427,-71.335045,1,97.1,4642,2730.58823529412,2.45,2.2,46.7,49.1,92.3,0.6,0.0,3.9,0.0,0.0,3.2,2.3,5.7,11.3,83.0,43804.0,3.1,1,0.2154243860405
44001030200,RI,Bristol County,41.7380654285714,-71.3119256285714,1,96.1,3023,1679.44444444444,2.49,5.0,46.9,48.9,93.2,0.5,0.0,2.4,0.0,0.0,3.9,2.4,6.3,17.6,76.1,35855.0,3.0,7,2.31558054912339
44001030300,RI,Bristol County,41.7420765,-71.29336,1,98.4,4516,1963.47826086957,2.65,2.7,46.5,48.6,93.4,1.1,0.0,3.7,0.0,0.0,1.8,1.2,2.8,11.8,85.5,55662.0,2.5,4,0.885739592559787
44001030400,RI,Bristol County,41.73424037,-71.31929371,1,99.2,4123,1717.91666666667,2.96,4.1,44.5,49.0,95.9,0.1,0.0,2.8,0.0,0.3,0.9,3.1,2.8,3.3,93.9,70568.0,0.7,1,0.242541838467136
44001030500,RI,Bristol County,41.73088715,-71.28310465,1,87.3,3136,5226.66666666667,2.02,8.3,34.7,46.9,96.1,0.7,0.0,1.0,0.0,0.3,2.0,4.5,13.3,29.0,57.7,23981.0,13.6,2,0.637755102040816
44001030601,RI,Bristol County,,,1,93.8,3483,810.0,2.44,4.4,44.0,48.5,99.0,0.0,0.0,0.5,0.0,0.1,0.3,2.3,8.9,32.5,58.6,36652.0,9.1,0,0
44001030602,RI,Bristol County,,,1,93.8,3929,3022.30769230769,2.11,6.9,49.5,46.6,98.7,0.3,0.0,0.0,0.0,0.2,0.8,1.0,9.7,26.9,63.5,26279.0,11.6,0,0
44001030700,RI,Bristol County,41.672935,-71.27254,1,88.3,3961,9902.5,2.04,4.9,43.5,41.5,97.8,0.5,0.0,0.1,0.0,1.7,0.0,2.9,17.9,17.1,65.0,26569.0,19.0,1,0.252461499621308
44001030800,RI,Bristol County,,,1,93.6,5921,2574.34782608696,2.25,5.9,22.0,50.3,89.6,5.7,0.5,2.0,0.2,0.7,1.2,2.8,14.2,17.4,68.4,9135.0,13.8,0,0
44001030901,RI,Bristol County,41.71103,-71.26709,1,94.4,5990,2396.0,2.63,8.3,47.5,51.3,98.1,0.1,0.0,0.8,0.0,0.0,1.0,5.0,13.1,34.5,52.4,35500.0,4.6,1,0.166944908180301
44001030902,RI,Bristol County,41.7005159,-71.2801912,1,96.5,6504,1413.91304347826,2.21,1.9,51.8,47.5,93.9,3.1,0.0,2.5,0.0,0.0,0.5,0.7,9.9,22.1,68.0,33651.0,3.4,1,0.153751537515375
44003020101,RI,Kent County,,,1,96.4,6236,2494.4,2.29,4.9,43.3,48.1,93.8,2.9,0.3,1.7,0.0,0.0,1.3,3.7,7.3,24.1,68.7,37359.0,7.2,0,0
44003020102,RI,Kent County,41.6881085,-71.5041775,1,91.7,4954,4954.0,2.41,6.1,40.0,50.2,93.9,2.5,0.0,0.6,0.0,1.1,1.8,8.2,10.2,32.7,56.9,26299.0,19.6,2,0.40371417036738
44003020200,RI,Kent County,41.71447,-71.51577,1,93.0,4569,4153.63636363636,2.07,6.5,36.2,49.4,82.4,1.6,0.0,5.7,0.0,1.9,8.4,2.5,10.5,29.1,60.4,26114.0,15.1,1,0.218866272707376
44003020300,RI,Kent County,41.7104484,-71.5232155,1,89.7,5993,7491.25,2.36,13.4,34.6,47.2,90.9,2.5,0.0,1.5,0.0,2.0,3.1,7.5,17.0,38.6,44.4,20015.0,32.2,1,0.166861338227933
44003020400,RI,Kent County,,,1,91.9,2756,4593.33333333333,2.43,12.9,36.6,49.7,92.1,3.4,0.0,1.3,0.0,0.7,2.4,2.4,14.0,31.9,54.1,30023.0,8.2,0,0
