% Asian,Avg Household Size,Latitude,Longitude,% Poverty,% Black,% Ed. Bachelors,% Ed. Grad. Degree,% Ed. HS Grad.,% Ed. < HS,% Ed. Some College,% Hawaiian/PI,% Hispanic/Latino,% Male,Median Age,Median Income,% Multi-race,% Native,% Other Race,MH Provider Count,MH Provider per 1000 Pop.,Population,tract,Unemployment,% White
0.0,2.19,,,10.4,0.3,18.1,10.3,31.9,4.7,34.9,0.0,2.0,52.3,54.6,28345.0,0.7,0.5,0.0,0,0,2606,41001950100,3.6,98.5
0.0,2.51,44.77456422,-117.8298835,26.1,0.9,19.7,2.6,27.0,15.1,35.5,0.0,6.9,51.2,39.7,19789.0,0.0,3.7,0.6,2,0.589970501474926,3390,41001950200,17.8,94.8
0.7,2.29,,,16.8,0.0,8.9,3.2,36.7,19.8,31.4,0.0,1.0,52.3,49.7,18862.0,1.9,0.1,0.0,0,0,2388,41001950300,8.7,97.3
1.0,2.1,44.77922,-117.82187,23.9,0.0,11.9,4.0,31.8,10.0,42.3,0.0,4.4,44.1,48.0,18742.0,2.0,0.1,0.0,1,0.342114266164899,2923,41001950400,10.8,97.0
0.5,2.35,,,21.4,1.1,13.6,4.8,41.9,12.4,27.3,0.1,2.8,52.9,42.1,17906.0,4.9,0.5,0.8,0,0,2997,41001950500,11.6,92.1
0.0,1.92,,,18.9,0.0,12.4,7.8,32.4,7.8,39.6,0.2,0.7,52.2,56.0,17734.0,1.8,0.7,0.0,0,0,1822,41001950600,15.4,97.4
2.9,2.59,,,22.6,2.6,24.7,15.1,22.4,7.4,30.5,0.3,10.4,49.7,29.2,19976.0,3.3,0.0,0.7,0,0,7045,41003000100,5.8,90.2
7.2,2.27,,,16.3,0.6,26.8,30.1,12.3,1.2,29.7,0.0,5.0,47.4,36.3,31392.0,1.1,0.4,0.3,0,0,5169,41003000202,9.5,90.3
6.6,2.49,44.59097525,-123.27660825,14.5,0.0,28.5,35.4,9.0,1.8,25.3,0.0,4.4,48.1,40.5,35911.0,1.4,2.2,1.2,4,0.509424350483953,7852,41003000400,5.6,88.6
1.9,2.33,44.6013359361539,-123.250371521538,9.0,0.0,27.4,28.0,12.7,5.3,26.6,0.0,2.1,49.4,52.1,33409.0,2.6,0.4,1.1,65,21.1657440573103,3071,41003000500,7.3,94.1
3.2,2.37,44.6125098073077,-123.215390296154,20.7,1.4,17.6,12.3,21.4,12.5,36.2,0.0,7.9,45.9,35.2,20953.0,2.0,1.7,2.1,26,4.98657460682777,5214,41003000600,3.4,89.6
10.1,2.33,,,18.9,0.0,25.4,38.6,9.9,2.2,23.9,0.0,4.4,45.5,36.3,26271.0,2.0,1.0,0.8,0,0,5570,41003000900,7.3,86.1
4.7,2.52,44.579645,-123.261057,31.8,4.4,21.4,13.2,16.5,16.4,32.5,0.0,25.0,52.3,26.0,17598.0,5.3,1.2,9.1,2,0.459770114942529,4350,41003001001,7.1,75.4
7.1,2.19,44.578613,-123.27627,28.0,0.0,30.1,29.7,10.3,1.3,28.6,2.9,1.1,48.1,31.3,18504.0,1.5,0.5,2.4,1,0.367917586460633,2718,41003001002,4.7,85.6
13.4,1.95,44.5730465633333,-123.2811993,66.5,2.9,30.2,12.9,11.1,5.6,40.2,0.1,2.4,45.9,22.1,5423.0,1.0,0.7,0.2,6,1.78731009830206,3357,41003001101,4.2,81.8
9.0,2.06,44.569482355,-123.26714648,52.4,0.5,24.0,22.3,17.1,2.4,34.1,0.5,4.1,58.7,22.9,10848.0,3.3,1.1,0.3,10,2.30308613542146,4342,41003001102,5.8,85.3
3.2,2.67,44.64861018,-123.127980166667,2.7,0.0,25.8,15.2,18.4,5.1,35.5,0.0,2.1,48.6,46.4,33955.0,2.4,0.0,0.5,3,0.364785992217899,8224,41003010100,11.5,93.9
1.7,2.63,,,8.3,0.3,32.4,16.6,15.0,4.3,31.7,0.0,2.6,51.9,46.0,35539.0,3.2,1.8,1.7,0,0,4166,41003010200,8.7,91.2
0.9,2.4,,,10.2,0.0,24.6,16.9,23.2,6.2,29.0,0.0,0.6,50.4,51.0,24731.0,2.6,0.6,0.3,0,0,3249,41003010300,5.8,95.6
1.4,2.48,,,14.1,0.0,13.0,8.5,34.0,11.7,32.8,0.0,5.8,52.7,46.4,25752.0,2.1,0.6,1.5,0,0,3819,41003010400,10.1,94.3
9.0,1.75,44.562793287,-123.26242508,55.9,2.5,23.3,21.3,12.8,13.9,28.7,1.3,8.3,60.2,21.2,7228.0,3.1,0.6,2.8,10,1.84740439682246,5413,41003010600,9.9,80.7
15.2,2.29,44.56460429,-123.2804188,48.0,4.4,13.5,40.6,9.2,7.9,28.8,0.3,1.5,47.0,20.8,4660.0,3.5,1.0,0.0,2,0.591366055588409,3382,41003010702,12.9,75.7
0.0,2.7,44.54004715,-123.3573322,10.8,0.5,26.2,10.3,20.0,7.6,35.9,0.0,17.5,51.0,32.6,25275.0,3.5,0.0,4.5,1,0.283929585462805,3522,41003010800,8.2,91.5
3.0,2.56,44.558704,-123.312584,6.6,1.8,32.1,31.3,12.2,2.4,22.1,0.0,6.7,52.2,38.1,38226.0,6.0,0.0,0.5,1,0.223214285714286,4480,41003010900,3.7,88.7
0.5,2.44,45.4223045157143,-122.667134071429,7.0,0.6,43.7,26.7,8.9,5.1,15.6,0.0,7.0,48.6,47.0,51061.0,1.7,0.0,4.1,7,1.81206316334455,3863,41005020100,7.0,93.1
7.9,2.19,45.4161697141667,-122.692832675,7.2,0.0,39.3,28.9,10.4,0.8,20.6,0.2,1.3,44.4,50.1,40222.0,1.1,0.0,0.5,12,2.0063534525999,5981,41005020200,7.3,90.4
8.4,2.36,45.41485913625,-122.7228574375,6.0,1.1,32.5,15.2,12.9,2.2,37.3,0.0,7.5,45.8,41.0,38095.0,3.6,0.0,0.9,16,4.34428455063807,3683,41005020302,9.4,86.1
6.0,2.18,45.43204513375,-122.70667845,6.8,0.7,42.0,26.9,6.7,1.2,23.2,0.0,3.0,45.2,40.0,37229.0,3.0,0.0,0.2,8,1.45533927596871,5497,41005020303,8.0,90.0
12.5,2.5,45.4225681814286,-122.735968042857,5.0,0.9,35.5,30.7,9.9,0.6,23.2,0.0,2.4,48.3,38.1,49302.0,1.9,0.0,0.0,14,2.48535416296822,5633,41005020304,5.6,84.6
2.0,2.41,,,9.3,0.2,29.5,19.1,20.5,3.0,28.0,0.3,9.9,49.0,40.3,33176.0,2.4,0.5,1.8,0,0,4911,41005020401,11.3,92.8
1.8,2.89,,,8.6,0.6,41.0,31.4,7.0,2.2,18.4,0.0,1.6,47.3,41.3,63726.0,3.4,0.7,0.0,0,0,3732,41005020403,8.5,93.4
2.3,2.36,,,0.9,0.6,36.8,25.3,7.9,1.9,28.0,0.0,6.5,47.3,47.3,51227.0,1.0,0.0,3.5,0,0,3243,41005020404,5.1,92.6
