tract,PC#1,PC#2,PC#3,PC#4,PC#5,PC#6,PC#7,PC#8,PC#9,PC#10,PC#11,PC#12,PC#13,PC#14,PC#15,PC#16,PC#17,PC#18,PC#19
41001950100,59.09,8.79,25.15,95.09,3.70,0.55,21.64,79.45,70.48,10.85,33.27,32.91,0.42,52.42,97.15,61.15,23.70,39.82,56.06
41001950200,22.61,13.88,20.42,98.00,4.42,3.45,28.55,87.45,2.00,35.33,40.55,71.82,76.42,72.91,20.18,14.73,72.42,74.61,30.12
41001950300,54.12,2.61,50.36,98.12,3.33,4.18,44.42,92.30,2.12,46.85,14.36,25.03,49.88,60.91,38.61,81.03,88.91,14.12,76.79
41001950400,37.52,6.48,51.33,96.91,3.21,1.27,22.61,91.58,4.91,46.12,18.24,19.33,28.42,60.30,24.91,37.64,42.48,85.03,85.52
41001950500,52.06,11.21,19.82,99.45,0.42,56.18,89.39,84.91,38.24,15.21,59.94,52.55,79.21,63.21,19.82,58.61,62.12,19.45,78.12
41001950600,33.76,1.52,30.36,98.97,0.67,4.79,12.91,91.94,18.73,45.64,48.42,80.18,61.39,94.36,93.39,30.24,24.42,42.73,78.48
41003000100,59.94,58.85,65.27,14.24,30.12,67.82,93.52,73.03,63.58,35.09,90.97,24.91,68.79,15.45,54.97,22.36,96.30,26.36,13.52
41003000202,11.70,70.61,78.24,60.91,77.39,74.73,15.45,84.42,29.27,34.12,37.76,31.70,88.30,11.94,48.55,12.18,80.30,16.67,65.64
41003000400,9.03,71.58,66.61,50.85,91.70,49.15,43.58,94.12,49.64,50.97,29.64,33.39,56.42,8.06,84.30,42.97,68.55,38.97,19.94
41003000500,6.36,51.58,40.18,50.48,45.76,91.58,29.39,62.61,75.70,29.64,36.06,47.33,92.91,70.85,98.00,57.64,45.76,5.15,74.48
41003000600,57.15,49.39,91.58,13.76,41.64,10.73,17.88,16.42,83.82,17.52,73.15,2.85,90.61,5.03,53.15,38.61,32.18,31.33,40.30
41003000900,14.00,66.97,80.06,68.18,44.67,96.06,86.61,89.15,21.03,63.70,72.79,51.45,92.79,5.15,83.94,9.03,93.15,26.24,46.24
41003001001,85.52,74.85,85.88,7.58,38.12,16.67,56.67,58.73,71.70,30.36,84.67,48.18,57.88,10.36,53.76,8.67,96.79,88.79,9.88
41003001002,56.79,70.24,92.30,78.36,18.00,98.85,98.73,95.45,55.58,54.97,93.03,27.45,50.24,22.00,80.42,2.36,90.73,12.42,51.09
41003001101,85.88,84.91,99.45,59.21,9.39,85.52,99.82,98.24,11.70,93.52,99.94,71.58,92.42,74.97,99.70,2.12,69.52,2.85,37.39
41003001102,77.15,68.55,98.24,37.64,11.09,67.21,99.58,97.52,49.03,64.55,99.82,11.45,76.55,40.55,97.64,10.12,8.91,79.94,2.12
41003010100,4.06,54.24,20.18,32.55,81.39,75.94,75.33,29.52,18.97,56.79,33.88,69.76,69.03,33.39,60.91,30.36,86.12,15.09,59.33
41003010200,17.76,42.00,29.76,39.09,80.91,73.64,52.67,10.24,55.45,26.24,87.58,30.00,49.76,66.12,78.12,14.12,71.09,4.18,84.30
41003010300,12.67,33.39,45.03,25.64,71.70,77.15,46.97,29.15,57.15,46.36,51.70,29.03,45.88,43.70,74.00,20.42,43.33,42.85,47.45
41003010400,59.82,15.33,22.85,72.67,90.00,25.39,7.21,29.64,40.42,92.55,94.00,96.91,13.76,4.42,25.52,85.88,73.76,54.73,41.52
41003010600,74.12,75.70,98.48,49.39,14.24,55.45,96.55,98.61,39.45,74.24,99.58,15.58,99.94,26.36,57.27,8.55,96.55,74.97,19.33
