county,PC#1,PC#2,PC#3,PC#4,PC#5,PC#6,PC#7,PC#8,PC#9,PC#10,PC#11,PC#12,PC#13,PC#14,PC#15,PC#16,PC#17
13001,40.57,80.19,79.56,12.26,36.16,67.61,67.61,46.23,60.69,46.23,55.66,3.46,38.68,94.03,83.33,86.48,78.30
13003,18.55,98.43,92.14,16.04,30.50,27.99,34.91,11.64,61.95,81.45,20.44,62.58,72.64,34.91,68.87,74.53,76.42
13005,57.55,72.64,73.27,5.35,45.60,8.49,39.94,41.19,24.21,33.65,40.57,31.76,77.67,98.43,77.67,29.87,16.04
13007,50.63,35.53,65.72,57.55,9.75,17.92,80.19,0.31,16.67,79.56,61.95,59.43,0.31,70.75,80.82,98.43,34.28
13009,38.68,41.19,22.33,36.79,73.90,28.62,68.87,95.91,29.87,95.91,68.87,39.31,80.19,36.79,20.44,64.47,53.14
13011,66.98,71.38,94.03,46.86,82.08,33.02,16.04,78.30,87.74,53.77,92.14,16.04,24.84,84.59,51.89,35.53,54.40
13013,86.48,87.11,52.52,44.34,66.98,44.34,7.86,77.04,81.45,66.35,94.65,34.28,33.02,73.27,53.77,65.09,28.62
13015,82.08,68.24,80.82,68.87,83.33,71.38,33.65,54.40,39.31,88.99,33.02,66.35,11.01,49.37,55.66,80.19,26.73
13017,15.41,53.14,42.45,25.47,12.89,39.94,42.45,58.81,13.52,58.81,72.01,92.14,95.28,10.38,4.09,95.28,64.47
13019,37.42,77.04,77.67,21.07,43.08,94.65,56.92,31.76,16.04,14.15,95.28,43.08,49.37,34.28,14.78,31.76,83.96
13021,39.94,40.57,5.97,65.72,20.44,64.47,58.81,85.85,41.19,76.42,38.05,63.21,56.29,42.45,34.28,38.05,81.45
13023,60.69,12.26,44.34,20.44,33.02,38.68,28.62,70.13,28.62,93.40,17.30,26.73,94.65,82.70,7.86,72.64,50.63
13025,41.19,63.84,85.85,2.83,40.57,79.56,12.26,43.71,56.92,3.46,98.43,64.47,41.19,88.36,41.19,48.74,80.82
13027,12.26,43.71,26.73,59.43,41.19,95.91,47.48,21.07,57.55,0.31,19.18,0.94,66.98,80.82,61.32,87.74,88.36
13029,92.77,68.87,24.21,2.20,70.75,86.48,84.59,44.34,79.56,33.02,21.70,18.55,25.47,2.83,56.92,55.66,75.79
13031,54.40,61.95,15.41,5.97,52.52,73.90,87.11,99.06,2.20,66.98,48.11,48.74,77.04,38.68,60.06,14.15,65.09
13033,22.96,44.34,26.10,18.55,15.41,7.86,44.34,93.40,83.96,94.65,53.14,72.64,64.47,5.97,44.97,39.31,48.11
13035,41.82,43.08,68.24,47.48,94.65,17.30,30.50,53.14,58.18,75.79,80.82,50.63,19.81,69.50,29.87,70.13,62.58
13037,2.20,70.13,13.52,86.48,98.43,38.05,76.42,22.96,27.99,11.01,73.90,93.40,51.89,38.05,51.26,75.16,26.10
13039,83.33,66.35,21.07,0.94,90.88,83.33,89.62,53.77,21.70,27.99,11.64,16.67,34.91,89.62,63.21,43.71,38.68
