% Asian,Avg Household Size,Latitude,Longitude,% Poverty,% Black,% Ed. Bachelors,% Ed. Grad. Degree,% Ed. HS Grad.,% Ed. < HS,% Ed. Some College,% Hawaiian/PI,% Hispanic/Latino,% Male,Median Age,Median Income,% Multi-race,% Native,% Other Race,MH Provider Count,MH Provider per 1000 Pop.,Population,tract,Unemployment,% White
1.0,2.47,,,10.5,0.0,22.1,12.9,29.0,8.2,27.8,0.0,1.0,47.1,45.6,28697.0,1.9,0.0,0.0,0,0,3247,33001965100,4.6,97.0
0.4,1.92,,,14.2,0.0,23.8,11.9,26.5,9.1,28.7,0.0,0.4,50.4,49.8,32360.0,0.0,0.0,0.0,0,0,2512,33001965200,6.3,99.6
1.1,2.35,,,7.2,0.5,19.9,11.0,29.4,8.7,31.1,0.0,0.7,53.3,44.1,31327.0,0.0,0.0,0.0,0,0,3744,33001965300,5.6,98.5
0.0,2.55,43.483826,-71.60302,1.2,0.0,24.4,9.0,25.2,8.2,33.2,0.0,2.5,45.9,46.1,32139.0,0.0,0.6,0.0,1,0.340251786321878,2939,33001965400,2.2,99.4
0.7,2.28,,,9.5,0.0,18.4,7.1,35.0,10.1,29.5,0.0,0.8,49.3,46.8,28216.0,1.1,0.0,0.0,0,0,3581,33001965598,3.1,98.2
1.9,2.76,,,8.0,0.0,17.5,8.1,27.8,10.6,36.0,0.5,0.2,49.8,39.6,31801.0,3.2,0.0,0.0,0,0,3739,33001965600,6.7,94.3
0.0,2.72,,,2.9,0.0,20.1,8.1,33.7,7.0,31.0,0.0,0.9,51.0,38.4,30951.0,2.8,0.0,0.0,0,0,4564,33001965700,4.0,97.2
0.8,2.54,,,6.9,2.8,16.0,3.9,40.3,14.2,25.6,0.0,2.5,50.6,41.1,30292.0,1.2,0.1,0.4,0,0,7350,33001965800,4.4,94.7
1.4,2.04,43.5301621846154,-71.4660605846154,10.4,0.0,17.9,3.7,38.0,15.8,24.6,0.0,1.4,45.3,45.7,28067.0,4.5,0.6,0.0,13,3.95979287237283,3283,33001965900,5.8,93.5
0.5,2.31,43.53037645,-71.4724042,11.2,0.4,15.9,6.7,35.9,11.9,29.5,0.0,0.7,50.4,40.8,27720.0,1.6,0.0,0.8,2,0.37397157816006,5348,33001966000,10.1,96.8
