% Asian,Avg Household Size,Latitude,Longitude,% Poverty,% Black,% Ed. Bachelors,% Ed. Grad. Degree,% Ed. HS Grad.,% Ed. < HS,% Ed. Some College,% Hawaiian/PI,% Hispanic/Latino,% Male,Median Age,Median Income,% Multi-race,% Native,% Other Race,MH Provider Count,MH Provider per 1000 Pop.,Population,tract,Unemployment,% White
0.0,4.22,,,46.6,0.0,2.3,0.3,42.6,37.9,16.9,0.0,0.0,57.0,29.5,9855.0,0.0,100.0,0.0,0,0,1587,04001942600,10.0,0.0
0.0,3.84,,,34.8,0.0,3.1,2.3,36.8,36.3,21.5,0.0,0.4,46.1,34.4,13935.0,0.0,99.0,0.0,0,0,5087,04001942700,16.5,0.9
0.3,4.67,35.9314709,-109.1364535,35.9,0.0,4.8,3.6,34.2,30.1,27.3,0.2,1.0,50.1,29.8,17764.0,1.6,95.4,0.0,7,1.1441647597254,6118,04001944000,6.2,2.4
1.3,4.33,,,50.3,0.2,7.6,3.5,26.4,32.2,30.3,0.1,2.3,47.2,21.3,12161.0,0.8,92.4,0.1,0,0,5117,04001944100,23.6,5.2
1.0,3.79,36.17066037,-109.642125,31.1,1.2,12.9,7.4,35.4,19.1,25.2,0.0,0.3,46.5,23.7,20903.0,0.0,89.9,0.0,8,1.98757763975155,4025,04001944201,27.0,7.9
0.0,3.39,,,40.9,0.2,1.7,0.0,28.2,31.2,38.9,0.0,1.0,55.1,40.0,13440.0,0.0,95.2,0.7,0,0,3367,04001944202,38.0,3.8
0.1,3.91,,,41.6,0.0,3.4,2.0,29.5,40.5,24.6,0.1,0.9,48.2,25.1,11095.0,0.5,98.1,0.0,0,0,6719,04001944300,29.3,1.2
0.1,4.14,,,40.8,0.6,3.9,3.8,31.6,36.5,24.3,0.1,0.7,49.2,27.0,11764.0,0.7,96.0,0.0,0,0,3729,04001944901,24.7,2.5
0.4,4.29,35.62443891,-109.714354,41.7,0.0,5.3,1.2,35.2,31.8,26.5,0.0,1.1,49.9,30.2,11492.0,0.6,96.9,0.3,5,0.824130542277897,6067,04001944902,32.1,1.9
0.9,3.93,,,35.4,0.1,8.6,7.7,29.0,13.9,40.9,0.0,0.8,50.0,32.0,21463.0,0.0,95.3,0.4,0,0,4665,04001945001,13.4,3.3
0.0,3.81,,,44.4,0.2,1.9,1.5,40.8,32.5,23.4,0.0,3.3,49.3,32.4,11962.0,5.1,91.5,0.1,0,0,4221,04001945002,15.2,3.2
0.0,4.72,,,27.4,0.5,1.2,1.6,33.8,31.8,31.6,0.2,9.7,48.4,25.4,16226.0,1.6,85.3,0.0,0,0,2579,04001945100,22.9,12.4
0.0,2.93,34.51282069,-109.3841925,24.0,1.3,12.0,6.0,35.7,16.6,29.7,0.4,14.2,51.8,46.6,18286.0,2.1,2.2,0.2,1,0.202388180530257,4941,04001970200,15.2,93.8
0.0,2.75,,,18.8,2.9,11.4,3.3,27.5,18.5,39.4,0.0,30.9,57.6,34.3,19228.0,2.2,8.4,13.2,0,0,3728,04001970300,15.0,73.3
0.0,2.92,34.10910862,-109.2850474,18.7,0.0,6.4,3.5,30.9,19.2,39.9,0.0,22.2,50.5,35.9,20632.0,2.0,1.6,2.8,1,0.197706603400554,5058,04001970501,2.0,93.6
