county,PC#1,PC#2,PC#3,PC#4,PC#5,PC#6,PC#7,PC#8,PC#9,PC#10,PC#11,PC#12,PC#13,PC#14,PC#15,PC#16,PC#17
18001,89.67,95.11,94.02,70.11,3.80,49.46,58.15,70.11,65.76,73.37,0.54,95.11,13.59,15.76,91.85,17.93,75.54
18003,92.93,13.59,41.85,27.72,11.41,59.24,59.24,80.98,23.37,59.24,66.85,45.11,63.59,70.11,46.20,23.37,37.50
18005,84.24,8.15,79.89,87.50,24.46,89.67,62.50,46.20,8.15,3.80,99.46,62.50,94.02,86.41,99.46,80.98,94.02
18007,47.28,50.54,80.98,66.85,75.54,1.63,83.15,12.50,50.54,77.72,4.89,87.50,59.24,65.76,97.28,83.15,7.07
18009,33.15,89.67,19.02,9.24,22.28,27.72,88.59,69.02,48.37,49.46,95.11,2.72,27.72,51.63,98.37,35.33,16.85
18011,36.41,1.63,97.28,54.89,41.85,73.37,53.80,57.07,54.89,89.67,60.33,77.72,51.63,26.63,3.80,86.41,61.41
18013,4.89,32.07,52.72,44.02,51.63,20.11,44.02,75.54,37.50,52.72,92.93,99.46,2.72,99.46,23.37,95.11,10.33
18015,44.02,60.33,62.50,19.02,70.11,46.20,65.76,42.93,83.15,60.33,75.54,55.98,29.89,57.07,69.02,69.02,51.63
18017,90.76,73.37,60.33,36.41,95.11,69.02,76.63,11.41,4.89,1.63,98.37,75.54,1.63,42.93,2.72,5.98,99.46
18019,71.20,21.20,69.02,45.11,33.15,24.46,4.89,83.15,40.76,20.11,28.80,3.80,12.50,74.46,52.72,96.20,64.67
18021,27.72,46.20,34.24,71.20,46.20,10.33,37.50,9.24,88.59,53.80,22.28,92.93,45.11,1.63,67.93,4.89,89.67
18023,88.59,67.93,88.59,23.37,92.93,44.02,49.46,3.80,25.54,0.54,3.80,72.28,0.54,36.41,66.85,42.93,2.72
18025,16.85,91.85,9.24,79.89,89.67,98.37,1.63,7.07,20.11,48.37,34.24,96.20,85.33,62.50,10.33,45.11,27.72
18027,85.33,98.37,95.11,95.11,66.85,15.76,5.98,65.76,79.89,57.07,37.50,5.98,75.54,24.46,29.89,99.46,83.15
18029,13.59,26.63,75.54,13.59,23.37,86.41,41.85,91.85,84.24,14.67,59.24,49.46,5.98,47.28,45.11,10.33,45.11
18031,41.85,35.33,66.85,65.76,17.93,85.33,39.67,54.89,34.24,42.93,20.11,59.24,62.50,37.50,94.02,39.67,53.80
18033,57.07,59.24,74.46,12.50,10.33,64.67,95.11,74.46,66.85,63.59,2.72,60.33,49.46,63.59,64.67,25.54,86.41
18035,86.41,42.93,0.54,53.80,1.63,37.50,57.07,29.89,92.93,64.67,7.07,12.50,7.07,22.28,27.72,30.98,91.85
18037,25.54,20.11,91.85,78.80,83.15,23.37,26.63,30.98,0.54,5.98,27.72,24.46,44.02,34.24,1.63,13.59,42.93
18039,95.11,90.76,92.93,22.28,77.72,60.33,55.98,24.46,26.63,9.24,19.02,67.93,37.50,58.15,32.07,91.85,4.89
18041,60.33,96.20,14.67,37.50,7.07,16.85,40.76,82.07,89.67,26.63,89.67,78.80,74.46,19.02,13.59,92.93,17.93
18043,62.50,16.85,44.02,48.37,29.89,79.89,2.72,63.59,58.15,38.59,48.37,29.89,4.89,69.02,12.50,74.46,48.37
18045,23.37,62.50,21.20,52.72,82.07,50.54,73.37,21.20,86.41,62.50,91.85,13.59,25.54,3.80,54.89,11.41,8.15
18047,14.67,54.89,67.93,42.93,16.85,67.93,52.72,84.24,55.98,12.50,38.59,42.93,80.98,84.24,11.41,20.11,23.37
18049,65.76,72.28,54.89,32.07,63.59,62.50,67.93,10.33,29.89,74.46,57.07,69.02,77.72,83.15,19.02,54.89,87.50
18051,11.41,22.28,61.41,90.76,74.46,8.15,20.11,40.76,30.98,78.80,11.41,25.54,22.28,54.89,49.46,36.41,92.93
18053,79.89,65.76,2.72,16.85,15.76,38.59,34.24,22.28,41.85,67.93,23.37,51.63,72.28,73.37,48.37,73.37,38.59
18055,22.28,70.11,42.93,77.72,52.72,5.98,35.33,41.85,85.33,41.85,62.50,76.63,69.02,96.20,24.46,82.07,41.85
18057,73.37,0.54,98.37,57.07,9.24,83.15,51.63,78.80,78.80,69.02,96.20,94.02,92.93,2.72,15.76,90.76,66.85
18059,26.63,7.07,90.76,11.41,32.07,84.24,25.54,73.37,71.20,83.15,5.98,70.11,8.15,50.54,70.11,53.80,63.59
18061,19.02,40.76,40.76,67.93,61.41,96.20,7.07,51.63,77.72,13.59,44.02,74.46,24.46,97.28,72.28,24.46,15.76
