% Asian,Avg Household Size,Latitude,Longitude,% Poverty,% Black,% Ed. Bachelors,% Ed. Grad. Degree,% Ed. HS Grad.,% Ed. < HS,% Ed. Some College,% Hawaiian/PI,% Hispanic/Latino,% Male,Median Age,Median Income,% Multi-race,% Native,% Other Race,MH Provider Count,MH Provider per 1000 Pop.,Population,tract,Unemployment,% White
1.4,1.97,,,8.0,0.0,9.0,4.8,40.8,9.3,36.1,0.0,0.3,53.8,55.9,23683.0,1.9,1.5,0.0,0,0,2296,27001770100,8.6,95.2
0.1,2.2,,,16.1,0.0,7.7,1.6,38.2,9.3,43.1,0.0,0.9,50.3,47.0,20125.0,3.9,0.5,0.0,0,0,2219,27001770200,10.9,95.5
0.0,2.11,,,17.1,0.4,15.0,5.5,36.8,13.0,29.8,0.0,1.0,48.8,43.7,21482.0,0.9,0.5,0.5,0,0,3855,27001770300,7.4,97.7
0.2,1.96,46.5436822,-93.2835306,15.5,0.1,9.1,4.2,41.4,14.6,30.7,0.0,2.4,51.3,53.6,19673.0,3.2,8.0,0.0,1,0.363372093023256,2752,27001770400,12.2,88.6
0.1,1.96,46.257153,-93.38856,12.1,0.0,6.9,2.8,48.7,10.1,31.4,0.0,0.2,49.3,53.4,21094.0,1.5,2.3,0.1,1,0.493827160493827,2025,27001790501,12.2,96.0
0.2,2.13,46.4774563,-93.662737,4.2,0.2,13.2,5.7,40.8,6.7,33.7,0.0,0.4,52.2,55.7,25713.0,0.4,0.0,0.1,2,0.633713561470216,3156,27001790502,5.1,99.0
0.4,2.78,,,13.6,1.7,6.1,1.5,41.6,14.2,36.6,0.0,1.0,48.8,33.4,28989.0,1.8,0.0,0.2,0,0,3024,27003050107,8.1,95.9
0.6,2.68,,,10.0,0.2,12.1,4.4,40.4,4.7,38.4,0.0,1.4,53.6,32.0,35136.0,0.3,0.5,0.0,0,0,4472,27003050108,9.8,98.4
0.4,2.83,,,4.7,0.2,8.9,3.0,36.6,6.1,45.3,0.0,0.7,50.7,36.9,37995.0,1.5,0.4,0.0,0,0,5134,27003050109,8.6,97.5
6.2,2.81,,,10.2,0.0,13.4,0.0,29.4,5.6,51.6,0.0,0.8,55.3,40.1,39655.0,0.0,0.7,0.0,0,0,2758,27003050110,4.2,93.1
