% Asian,Avg Household Size,Latitude,Longitude,% Poverty,% Black,% Ed. Bachelors,% Ed. Grad. Degree,% Ed. HS Grad.,% Ed. < HS,% Ed. Some College,% Hawaiian/PI,% Hispanic/Latino,% Male,Median Age,Median Income,% Multi-race,% Native,% Other Race,MH Provider Count,MH Provider per 1000 Pop.,Population,tract,Unemployment,% White
0.0,2.46,,,7.9,0.7,9.8,4.1,43.9,10.8,31.3,0.0,1.5,48.6,42.4,24452.0,1.1,1.2,0.0,0,0,2722,46003973600,2.4,97.0
0.0,2.56,44.34131,-98.1425,7.0,0.0,18.8,2.7,31.9,19.6,27.1,0.0,1.0,52.0,42.5,27228.0,0.1,0.1,0.0,1,0.574052812858783,1742,46005956600,1.7,99.8
0.0,2.25,,,7.5,0.0,15.8,2.0,49.0,7.0,26.1,0.0,0.8,51.7,47.1,26250.0,0.0,0.2,0.3,0,0,1777,46005956700,2.3,99.5
3.3,2.13,,,11.1,12.6,9.9,8.2,35.6,22.7,23.5,0.0,11.7,54.7,43.2,21546.0,0.7,0.3,4.6,0,0,1864,46005956800,2.2,78.5
0.0,2.08,44.362316,-98.21245,16.3,0.9,18.4,5.1,31.7,13.6,31.2,1.4,12.6,50.3,37.7,20438.0,0.3,2.6,5.0,3,1.07142857142857,2800,46005956900,2.4,89.8
4.9,2.38,44.3375809,-98.2223427,18.9,0.0,12.1,5.6,31.9,19.5,31.0,0.0,6.5,47.2,39.9,21885.0,3.3,0.5,0.0,1,0.171144959780934,5843,46005957000,5.9,91.3
5.0,2.22,,,6.1,0.0,15.4,4.0,37.7,12.3,30.6,0.0,5.7,51.8,39.3,31210.0,0.0,0.0,0.0,0,0,3085,46005957100,3.5,95.0
0.0,2.43,,,36.0,0.0,9.8,5.9,24.7,19.7,40.0,0.0,1.4,50.0,36.1,17154.0,5.4,64.5,0.0,0,0,1477,46007941000,25.0,30.1
0.5,3.5,,,35.1,0.0,12.5,3.0,26.5,18.9,39.1,0.0,3.5,50.4,26.5,15833.0,0.2,61.7,0.0,0,0,1958,46007941200,16.8,37.6
0.7,2.34,,,11.6,0.2,14.9,4.2,36.6,14.8,29.6,0.0,1.9,48.6,47.6,23610.0,1.4,2.2,0.0,0,0,3507,46009967600,2.4,95.5
0.0,2.19,,,12.7,1.4,12.3,3.7,40.9,14.4,28.7,0.0,4.1,64.8,41.6,17549.0,1.4,9.5,2.1,0,0,3532,46009967700,1.2,85.6
0.0,2.6,,,8.5,0.0,16.6,6.9,39.9,9.4,27.2,0.0,3.0,54.4,36.0,28094.0,1.4,0.5,2.2,0,0,3810,46011958600,2.5,95.9
0.2,2.44,,,9.1,0.3,20.6,6.4,35.4,9.4,28.1,0.0,3.3,50.6,41.9,28384.0,0.6,0.1,2.3,0,0,4982,46011958700,2.9,96.5
1.7,2.13,44.30665915,-96.8033601625,28.5,0.2,29.1,11.2,24.6,10.0,25.2,0.5,1.7,51.7,23.4,15161.0,0.4,1.1,0.9,8,1.23724095267553,6466,46011958802,6.6,95.2
5.0,2.71,,,6.0,2.1,28.4,19.1,19.2,8.1,25.3,0.0,3.9,47.2,31.8,29225.0,3.1,1.1,0.0,0,0,4225,46011958803,2.5,88.7
2.9,2.41,44.3008248,-96.7672304,38.5,1.5,23.6,21.9,22.9,6.6,24.9,0.0,1.0,51.0,21.1,7902.0,1.4,1.7,0.0,1,0.131752305665349,7590,46011958900,7.9,92.5
4.7,2.32,,,15.8,0.2,34.7,13.3,25.3,1.8,24.9,0.0,0.1,50.6,30.0,25930.0,2.7,0.0,0.4,0,0,4566,46011959000,0.9,91.9
2.4,2.15,45.4737999,-98.4817685,6.5,0.7,22.2,8.2,28.5,8.2,32.9,0.0,3.9,49.6,44.5,28835.0,2.5,2.6,0.0,4,0.684462696783025,5844,46013951300,0.0,91.8
0.0,2.31,45.459213,-98.467186,7.1,0.0,23.0,5.7,36.4,4.8,30.1,0.0,2.0,46.1,39.6,28018.0,1.0,7.0,0.0,1,0.1657824933687,6032,46013951400,1.8,92.0
2.0,2.17,45.461797176875,-98.483446779375,24.5,0.0,18.4,3.0,22.3,17.1,39.3,0.0,0.2,53.9,30.3,16890.0,0.4,6.0,0.0,16,6.27697136131816,2549,46013951500,6.6,91.6
3.2,2.22,,,11.2,0.5,20.9,9.5,29.8,4.0,35.7,0.0,0.4,49.8,27.5,20962.0,2.4,2.3,0.0,0,0,4525,46013951600,3.5,91.6
0.0,2.49,,,10.3,1.0,12.0,5.4,39.1,8.2,35.4,0.0,0.6,48.5,32.6,27936.0,0.6,4.8,0.0,0,0,4401,46013951700,3.8,93.6
0.0,2.03,,,14.4,1.8,16.0,5.2,32.5,17.9,28.3,0.0,0.0,44.6,45.1,21478.0,0.5,1.0,0.0,0,0,5058,46013951800,3.0,96.7
