tract,PC#1,PC#2,PC#3,PC#4,PC#5,PC#6,PC#7,PC#8,PC#9,PC#10,PC#11,PC#12,PC#13,PC#14,PC#15,PC#16,PC#17,PC#18,PC#19
11001000100,5.93,25.14,63.56,75.99,25.14,71.47,67.51,68.08,89.55,94.07,42.66,12.15,72.03,60.73,16.10,77.68,79.38,9.89,50.00
11001000202,23.45,29.10,9.89,75.42,28.53,96.89,35.88,74.86,35.88,48.87,17.23,86.16,40.40,62.43,62.43,87.29,46.05,42.09,50.00
11001000300,17.23,26.27,30.79,60.17,19.49,95.20,42.66,53.39,65.25,25.14,74.29,78.25,20.62,85.59,59.04,89.55,74.86,61.86,50.00
11001000400,7.06,74.29,76.55,92.37,26.84,73.73,94.63,10.45,84.46,79.94,98.02,23.45,11.58,69.77,78.81,9.32,77.68,11.58,50.00
11001000501,11.02,28.53,66.38,7.06,69.77,92.94,51.13,72.60,45.48,77.12,3.67,14.97,46.61,11.02,68.64,2.54,58.47,50.56,50.00
11001000502,3.67,37.57,65.25,25.14,23.45,69.77,51.69,35.31,77.68,66.95,44.92,32.49,54.52,21.75,62.99,52.82,72.03,18.36,50.00
11001000600,0.28,40.40,88.42,52.82,5.93,56.78,71.47,15.54,95.76,72.03,70.34,3.67,33.05,64.12,49.44,1.41,41.53,3.11,50.00
11001000701,12.15,14.97,70.34,2.54,27.97,30.79,85.59,25.14,99.15,8.76,12.15,92.94,27.40,66.38,96.89,98.59,83.90,98.02,50.00
11001000702,14.97,65.25,8.76,14.97,57.34,70.34,58.47,20.62,72.03,19.49,5.37,76.55,61.30,18.93,4.24,88.42,94.07,66.95,50.00
11001000801,13.84,30.23,74.86,85.03,36.44,88.42,83.90,27.40,95.20,34.75,26.27,72.60,37.01,31.36,63.56,37.01,63.56,89.55,50.00
11001000802,14.41,58.47,42.66,90.11,12.71,94.63,87.29,11.02,68.08,58.47,83.90,90.11,39.83,49.44,72.60,34.18,69.77,10.45,50.00
11001000901,27.40,66.95,16.10,68.08,0.28,99.15,8.76,89.55,16.10,16.10,64.69,94.63,91.24,0.28,87.29,96.33,89.55,24.58,50.00
11001000902,2.54,62.43,89.55,98.02,22.88,86.72,53.39,69.77,99.72,66.38,82.20,42.09,10.45,26.84,41.53,6.50,75.99,19.49,50.00
11001001001,3.11,56.78,80.51,95.76,13.84,86.16,47.74,30.23,88.42,20.06,78.81,55.08,14.97,43.79,57.91,40.96,75.42,78.25,50.00
11001001002,16.67,49.44,14.97,24.58,1.41,94.07,79.38,19.49,38.70,22.88,25.14,24.01,18.36,53.95,74.86,21.75,44.92,14.41,50.00
11001001100,1.41,34.18,91.81,51.13,57.91,90.68,64.69,31.92,86.16,9.32,71.47,20.06,8.19,61.86,15.54,18.93,87.85,52.82,50.00
11001001200,5.37,27.97,65.82,68.64,16.10,74.86,57.91,33.62,57.91,37.57,9.32,44.35,35.88,17.80,10.45,57.91,96.89,81.64,50.00
11001001301,10.45,16.67,68.64,56.78,6.50,80.51,70.90,63.56,25.71,36.44,18.36,21.19,47.18,38.14,11.58,84.46,72.60,13.84,50.00
