% Asian,Avg Household Size,Latitude,Longitude,% Poverty,% Black,% Ed. Bachelors,% Ed. Grad. Degree,% Ed. HS Grad.,% Ed. < HS,% Ed. Some College,% Hawaiian/PI,% Hispanic/Latino,% Male,Median Age,Median Income,% Multi-race,% Native,% Other Race,MH Provider Count,MH Provider per 1000 Pop.,Population,tract,Unemployment,% White
4.0,2.98,,,20.2,21.5,5.0,2.1,40.2,31.0,21.7,0.0,39.8,49.6,32.2,23416.0,1.0,2.7,17.2,0,0,2710,34001000100,9.8,53.5
31.1,2.19,39.3464436,-74.4598368,14.6,7.8,18.9,10.2,35.8,19.7,15.3,0.0,12.9,49.2,50.8,26259.0,2.0,0.0,1.7,1,0.308356460067838,3243,34001000200,14.5,57.3
32.6,2.84,39.3526082125,-74.4539548875,22.3,8.7,8.8,2.9,30.8,36.6,20.8,0.0,40.4,49.5,35.2,21570.0,3.6,1.0,18.3,8,2.01867272268483,3963,34001000300,16.9,35.8
14.7,2.18,39.3513477,-74.4479998,31.7,19.4,17.4,6.1,31.5,30.2,14.8,0.0,24.7,48.3,36.4,21661.0,1.5,0.2,21.3,1,0.302480338777979,3306,34001000400,9.6,43.0
35.3,3.34,,,32.5,8.6,14.5,5.2,24.0,40.1,16.3,0.5,36.7,58.0,30.8,15321.0,3.2,0.9,24.4,0,0,3478,34001000500,12.4,27.2
3.7,1.75,,,28.2,81.3,9.2,6.2,33.2,32.1,19.3,0.0,7.4,44.9,36.6,16837.0,0.9,0.0,2.2,0,0,2072,34001001100,24.0,11.8
3.5,2.27,39.3673624,-74.4390241,14.3,70.1,9.3,2.3,43.3,18.7,26.4,0.0,25.9,49.4,36.0,27041.0,1.3,0.6,3.8,1,0.351123595505618,2848,34001001200,6.2,20.7
5.8,2.63,,,22.6,79.3,10.9,3.3,47.4,13.5,25.0,0.0,6.2,40.6,31.9,26393.0,2.8,0.0,2.5,0,0,2117,34001001300,29.3,9.7
1.2,2.65,,,44.6,66.0,8.3,5.7,25.5,33.4,27.1,0.0,26.2,45.2,21.6,16273.0,4.0,7.3,3.6,0,0,4045,34001001400,33.8,17.8
6.1,1.42,,,48.5,61.3,11.9,0.0,35.6,28.0,24.5,0.0,18.1,36.2,54.7,11919.0,4.2,0.6,3.7,0,0,979,34001001500,21.8,24.1
7.3,1.79,,,8.9,57.2,10.5,2.7,35.5,18.4,32.9,0.0,18.3,59.9,45.0,21871.0,0.0,1.0,11.3,0,0,1440,34001001900,14.7,23.3
