county,PC#1,PC#2,PC#3,PC#4,PC#5,PC#6,PC#7,PC#8,PC#9,PC#10,PC#11,PC#12,PC#13,PC#14,PC#15,PC#16,PC#17
46003,31.06,91.67,65.91,94.70,81.06,34.09,94.70,2.27,84.09,31.06,11.36,38.64,49.24,32.58,17.42,96.21,8.33
46005,79.55,99.24,99.24,43.18,62.88,40.15,9.85,56.82,8.33,93.18,46.21,58.33,85.61,70.45,53.79,9.85,11.36
46007,91.67,76.52,38.64,26.52,61.36,0.76,96.21,41.67,88.64,38.64,58.33,11.36,99.24,88.64,38.64,64.39,99.24
46009,26.52,75.00,18.94,99.24,94.70,84.09,12.88,28.03,37.12,76.52,35.61,55.30,94.70,94.70,40.15,97.73,67.42
46011,49.24,96.21,6.82,28.03,21.97,94.70,2.27,97.73,90.15,87.12,43.18,81.06,50.76,34.09,50.76,70.45,46.21
46013,23.48,90.15,73.48,9.85,2.27,87.12,85.61,76.52,40.15,73.48,73.48,28.03,37.12,28.03,88.64,49.24,23.48
46015,76.52,40.15,44.70,50.76,52.27,9.85,38.64,32.58,70.45,34.09,90.15,90.15,93.18,11.36,68.94,65.91,28.03
46017,97.73,26.52,53.79,93.18,6.82,37.12,91.67,64.39,21.97,99.24,97.73,94.70,5.30,58.33,23.48,12.88,65.91
46019,75.00,29.55,56.82,12.88,87.12,49.24,93.18,37.12,81.06,96.21,38.64,82.58,58.33,17.42,2.27,2.27,68.94
46021,20.45,0.76,94.70,8.33,11.36,47.73,84.09,87.12,32.58,64.39,40.15,46.21,75.00,78.03,71.97,93.18,17.42
46023,84.09,49.24,28.03,71.97,56.82,8.33,32.58,53.79,68.94,91.67,52.27,47.73,11.36,46.21,34.09,62.88,47.73
46025,56.82,62.88,71.97,79.55,35.61,81.06,88.64,85.61,34.09,18.94,15.91,73.48,32.58,6.82,79.55,20.45,85.61
46027,78.03,94.70,2.27,40.15,58.33,43.18,0.76,99.24,99.24,59.85,44.70,61.36,46.21,3.79,18.94,37.12,56.82
46029,32.58,46.21,58.33,49.24,9.85,64.39,41.67,44.70,85.61,84.09,32.58,20.45,78.03,47.73,43.18,29.55,75.00
46031,94.70,17.42,55.30,47.73,53.79,99.24,31.06,71.97,53.79,2.27,20.45,3.79,97.73,50.76,47.73,3.79,41.67
46033,12.88,52.27,49.24,5.30,96.21,18.94,40.15,11.36,11.36,5.30,55.30,31.06,0.76,43.18,35.61,6.82,71.97
46035,43.18,59.85,12.88,44.70,50.76,26.52,29.55,49.24,79.55,9.85,65.91,68.94,55.30,2.27,31.06,76.52,31.06
46037,62.88,21.97,93.18,76.52,55.30,73.48,37.12,81.06,87.12,43.18,75.00,23.48,18.94,82.58,93.18,23.48,84.09
46039,6.82,14.39,67.42,78.03,8.33,62.88,26.52,26.52,46.21,62.88,14.39,41.67,73.48,65.91,85.61,8.33,82.58
46041,90.15,9.85,32.58,25.00,17.42,91.67,46.21,12.88,31.06,68.94,84.09,0.76,20.45,26.52,0.76,91.67,5.30
46043,58.33,18.94,78.03,75.00,41.67,2.27,56.82,84.09,17.42,50.76,91.67,91.67,67.42,12.88,3.79,79.55,25.00
46045,29.55,23.48,84.09,23.48,25.00,67.42,53.79,35.61,55.30,29.55,85.61,85.61,88.64,52.27,78.03,46.21,37.12
46047,47.73,73.48,41.67,21.97,99.24,20.45,50.76,65.91,6.82,23.48,29.55,14.39,8.33,91.67,76.52,52.27,38.64
46049,28.03,20.45,70.45,32.58,68.94,52.27,34.09,90.15,93.18,32.58,78.03,50.76,6.82,96.21,59.85,75.00,12.88
46051,17.42,47.73,91.67,88.64,15.91,70.45,75.00,23.48,82.58,35.61,3.79,43.18,31.06,20.45,25.00,78.03,40.15
46053,65.91,31.06,50.76,90.15,78.03,15.91,18.94,88.64,28.03,55.30,59.85,65.91,70.45,35.61,65.91,73.48,81.06
46055,73.48,5.30,61.36,18.94,79.55,21.97,52.27,94.70,56.82,53.79,12.88,75.00,68.94,64.39,70.45,68.94,58.33
