county,perc_insured,avg_household_size,unemployment_rate,median_age,male,white_race,black_race,native_race,asian_race,hispanic_latino,poor_english,ed_hs_plus,ed_college_plus,median_income,below_poverty,lat,lon,prov_density
48175,88.9,2.63,9.8,45.7,50.3,72.6,5.5,0,0.2,35.3,3.3,88.8,51.2,24689,16.9,28.6607,-97.430415,0
48177,77.4,3.03,6.5,37.3,50.5,56.7,6.2,0.2,0.1,49.6,13.4,72.6,38.7,22521,17.2,29.461912,-97.49192,0.098183603
48179,81.2,2.61,5.3,36.8,52.7,84.7,4.6,1.5,0.6,27.4,8.3,80.2,47.9,25278,15.7,35.402542,-100.812374,0
48181,82.5,2.58,7.5,40.2,48.9,86.8,5.8,1.1,1.2,12.4,4.2,87.6,56.7,25631,15.6,33.624524,-96.675693,0.346129388
48183,80,2.62,5.8,35.2,49,74.4,20.1,0.4,1.4,17.9,7.1,83.8,55.3,23475,18.2,32.486397,-94.816276,0.267676809
48185,82.6,2.64,5.9,40.4,55,75.3,16.1,1.3,0.1,23,7.3,77.8,42.7,24830,20.3,30.543231,-95.988082,0.036845984
48187,85.5,2.91,5.2,36.7,49.4,75.3,7.1,0.4,1.7,36.9,6.9,88.2,58.3,30598,10.5,29.583532,-97.946771,0.135765343
48189,79.7,2.88,6.5,32.7,51.9,85,4.4,0.7,0.4,58.4,10.5,75.4,41.6,22794,20.7,34.068436,-101.822888,0.057131431
48191,75.4,2.5,9.1,44.2,50.1,82,7,0.3,0.5,34,8.8,72.2,44.7,15574,28.7,34.655623,-100.763893,0
48193,82.6,2.46,4.9,48.3,48.8,96.2,0.7,0.6,0.3,11.5,3.4,82.2,48.4,21741,14.8,31.707342,-98.111756,0.121477162
48195,81.1,2.77,2.5,35.7,49.7,91.9,0.2,0.6,0.3,45.6,22.2,74,44.9,25712,20,36.272847,-101.35693,0
48197,79.4,2.46,5.7,43.3,48.9,84.1,8.3,0,0.4,23.1,7.6,75.7,42.8,18236,15.5,34.289904,-99.745697,0
48199,82.4,2.7,4.8,39.1,49.4,92.1,5.6,0.1,0.6,5.2,1.5,86.9,48.9,27967,11.8,30.329648,-94.393178,0
48201,77.8,2.86,7,32.9,49.7,63.3,18.9,0.4,6.7,41.8,20.3,80.2,56.9,28330,17.4,29.857273,-95.393037,0.468624169
48203,82,2.77,8.3,37.7,49,73.1,21.4,0.4,0.5,12.3,4.6,82.8,48.6,25092,17.7,32.547991,-94.374434,0.045159639
48205,86.5,2.45,1.6,39.5,60.3,84.5,8.3,0,0.5,25.4,8.3,82.1,45.2,30938,7.3,35.840244,-102.610047,0
48207,80.6,2.22,9.6,42.7,55.7,90.4,3.1,0.5,1.1,26.5,17.9,68.5,36,20456,20.6,33.175964,-99.730774,0
48209,85.4,2.78,6.1,31.1,49.7,87.4,3.7,0.3,1.4,37.1,7.1,89,67.1,26759,16.2,30.061225,-98.029267,0.177719376
48211,73.7,2.99,4.5,33.4,47.8,88.8,1.2,0.7,0.2,34.8,10.3,78.7,52.6,31109,11.8,35.815956,-100.27921,0
48213,80,2.62,6.9,43.7,48.7,89.4,6.8,0.8,0.7,11.8,4.4,83,49.2,21882,18.8,32.211633,-95.853418,0.088369333
48215,67.1,3.6,9,28.8,48.8,89.9,0.6,0.3,1,91.5,31.7,63.3,40,17188,32.8,26.396384,-98.18099,0.111066309
48217,80.3,2.65,8.9,42.5,49.3,89,7,0.9,0.4,19.6,5.9,80.3,46.8,21784,19.1,31.982681,-97.130668,0.028652474
48219,79.8,2.8,7.2,33,49.3,87.7,3.8,1,0.3,46.4,10,78.1,49.5,24791,15.7,33.605932,-102.343398,0.042777089
48221,83.2,2.54,3.2,46.8,49.3,95.1,0.7,0.8,0.7,11.6,4.3,88.3,58.4,29017,12.1,32.430149,-97.831677,0.092221997
48223,78.7,2.67,6,39.2,49.1,84.2,6.8,0.4,0.7,16,5.5,82.5,45.7,23130,19.5,33.148959,-95.565194,0.111594688
