tract,PC#1,PC#2,PC#3,PC#4,PC#5,PC#6,PC#7,PC#8,PC#9,PC#10,PC#11,PC#12,PC#13,PC#14,PC#15,PC#16,PC#17,PC#18,PC#19
25001010100,35.76,2.25,94.37,33.07,0.59,98.03,0.86,88.91,4.39,12.34,98.03,1.97,82.27,2.59,48.41,16.76,87.80,83.72,37.42
25001010206,11.16,0.66,98.31,24.02,5.15,98.72,0.38,99.83,3.97,88.84,99.55,0.10,97.75,9.30,36.11,5.49,70.32,65.55,85.66
25001010208,7.43,0.93,94.16,45.85,0.31,99.41,0.59,98.51,1.00,78.40,98.79,1.83,99.41,2.45,80.48,62.02,47.93,58.91,95.82
25001010304,3.63,23.26,88.77,1.07,16.14,20.49,59.26,80.89,34.93,4.87,94.02,38.80,58.09,21.67,1.42,33.14,82.07,91.95,87.25
25001010306,29.47,17.52,74.95,1.76,12.61,18.35,33.69,63.27,34.52,5.56,83.17,10.54,40.19,29.54,2.94,29.89,83.45,80.13,68.11
25001010400,9.16,25.47,90.43,0.17,22.70,28.99,60.92,91.60,24.29,11.64,57.95,47.37,46.34,10.26,1.62,63.48,87.60,76.61,92.43
25001010500,2.87,23.74,84.42,0.86,6.81,31.20,49.31,85.94,21.94,6.32,58.98,57.19,50.69,6.74,0.45,96.58,90.01,97.13,86.01
25001010600,19.32,21.53,73.70,0.73,12.34,38.53,23.32,45.09,35.83,8.33,94.51,45.85,45.78,7.84,0.52,74.40,65.13,90.29,93.19
25001010700,28.71,14.89,74.81,0.24,3.97,24.50,22.56,73.50,33.41,14.34,34.93,22.08,8.53,11.92,4.11,97.27,91.12,76.47,80.75
25001010800,10.95,23.60,73.15,1.55,7.29,29.47,34.93,66.86,27.13,16.28,61.89,18.69,7.22,17.80,4.94,57.74,74.19,88.56,84.55
25001010900,5.56,32.93,59.26,1.90,14.96,35.83,47.79,62.99,34.04,40.39,61.20,60.71,84.14,9.99,3.90,60.44,83.59,41.98,81.38
25001011002,29.75,21.11,55.53,2.18,8.19,17.73,34.66,51.38,40.67,48.06,44.68,19.94,45.99,18.76,11.71,44.68,76.61,82.07,80.96
25001011100,9.99,33.07,77.51,1.49,13.10,53.73,75.02,65.41,55.25,33.14,83.10,65.69,75.22,15.93,25.54,54.28,88.22,77.09,90.08
25001011200,13.72,23.32,80.13,0.45,10.95,34.52,33.90,72.11,28.51,13.30,76.19,54.35,21.18,11.16,4.73,90.91,76.47,63.27,78.40
25001011300,27.95,8.67,58.43,1.62,2.73,90.15,90.22,49.79,50.69,2.80,61.06,20.56,6.39,50.21,1.21,59.05,87.73,89.25,89.12
25001011400,21.87,9.36,83.72,0.93,5.08,21.04,41.09,90.43,24.08,3.01,55.67,32.10,5.22,16.28,0.86,97.62,91.33,89.60,81.51
25001011500,47.65,12.75,90.01,0.38,24.22,11.37,37.15,84.97,59.81,10.61,80.34,24.98,36.25,48.96,20.97,49.10,81.31,18.69,70.80
25001011600,34.93,15.38,90.84,0.59,12.82,16.62,38.25,71.01,28.44,8.67,59.95,54.63,37.56,11.85,10.61,14.89,78.68,1.35,85.25
25001011700,26.57,12.89,76.26,2.11,3.70,15.72,23.26,32.45,37.08,10.88,73.08,28.16,20.56,12.47,2.45,61.20,85.04,64.65,79.58
25001011801,0.93,32.58,94.09,0.52,20.15,41.36,55.60,95.20,70.04,2.38,95.68,94.71,56.77,16.90,0.17,71.42,73.77,88.42,80.62
25001011802,15.45,26.85,77.92,1.28,26.64,21.39,59.61,83.03,46.68,50.90,55.11,54.08,71.84,18.21,7.01,72.32,76.26,38.18,48.69
25001012001,26.92,17.73,89.60,0.66,24.98,9.99,71.01,92.57,46.41,36.80,66.10,28.51,29.89,45.09,14.69,42.47,56.57,37.08,75.02
25001012002,62.16,15.51,86.97,1.97,7.22,6.67,21.53,67.00,89.60,13.37,90.22,15.17,27.68,36.80,17.93,31.82,47.24,9.02,43.92
25001012101,51.11,29.27,44.47,2.52,6.32,68.24,58.02,60.99,75.09,51.11,13.30,35.21,58.98,30.86,41.09,28.92,76.05,43.92,95.06
25001012102,34.66,27.33,88.42,1.00,22.15,19.04,29.82,65.83,83.31,23.88,93.19,47.51,50.21,28.92,9.16,14.55,35.63,64.79,20.21
25001012200,3.35,32.38,61.13,3.35,21.04,38.18,42.88,26.92,45.02,60.16,91.74,72.18,65.62,7.77,5.63,97.41,52.42,82.96,58.91
25001012502,63.20,13.79,63.89,2.04,2.66,17.10,20.15,87.46,29.41,25.40,3.28,23.60,3.56,7.64,16.62,60.85,92.78,32.31,93.75
25001012601,72.94,13.44,13.51,2.25,6.60,84.76,73.50,67.35,63.41,79.16,1.07,0.86,2.80,63.68,37.01,78.68,84.90,49.59,46.27
25001012602,78.61,25.26,58.78,1.83,30.03,12.89,16.83,63.41,63.48,78.61,15.17,24.78,66.03,13.93,92.57,92.16,8.88,0.17,77.85
