tract,State,County,Latitude,Longitude,RUCA Urbanicity,% Insured,Population,Population Density,Avg Household Size,Unemployment,Median Age,% Male,% White,% Black,% Native,% Asian,% Hawaiian/PI,% Other Race,% Multi-race,% Hispanic/Latino,% Ed. < HS,% Ed. HS Grad.,% Ed. College Grad.,Median Income,% Poverty,MH Provider Count,MH Provider per 1000 Pop.
34001000100,NJ,Atlantic County,,,1,82.5,2323,3318.57142857143,2.85,15.1,31.1,50.6,44.5,26.4,0.2,18.5,0.0,6.4,4.1,29.6,22.9,37.1,39.9,17159.0,37.7,0,0
34001000200,NJ,Atlantic County,39.3464436,-74.4598368,1,90.1,3065,15325.0,2.23,8.5,45.4,49.4,62.3,9.2,0.0,20.8,0.0,3.9,3.8,22.3,21.5,28.6,49.8,27512.0,13.7,1,0.32626427406199
34001000300,NJ,Atlantic County,39.3526082125,-74.4539548875,1,65.6,4297,42970.0,3.3,14.6,31.7,50.8,43.7,10.7,1.2,33.4,0.0,8.2,2.7,39.7,31.8,23.4,44.7,17674.0,32.1,8,1.86176402141029
34001000400,NJ,Atlantic County,39.3513477,-74.4479998,1,76.0,2903,9676.66666666667,2.32,15.7,46.9,49.2,58.9,6.1,0.1,23.3,0.0,8.2,3.3,38.0,12.9,39.8,47.3,20458.0,30.9,1,0.34447123665174
34001000500,NJ,Atlantic County,,,1,64.8,3381,33810.0,3.7,10.1,30.8,52.6,38.9,4.1,0.0,38.5,0.0,14.2,4.3,41.1,43.4,30.5,26.1,18608.0,35.7,0,0
34001001100,NJ,Atlantic County,,,1,90.8,1884,18840.0,1.93,19.1,36.2,45.3,8.8,86.5,0.4,0.8,0.0,0.5,3.0,7.4,38.5,29.5,32.0,13777.0,44.7,0,0
34001001200,NJ,Atlantic County,39.3673624,-74.4390241,1,88.0,3193,6386.0,2.41,17.9,34.9,44.4,12.6,76.4,0.6,1.6,0.0,2.8,6.1,20.8,25.6,38.7,35.7,15245.0,36.7,1,0.313185092389602
34001001300,NJ,Atlantic County,,,1,79.3,1653,254.307692307692,2.4,21.7,35.9,37.3,6.5,76.8,0.7,5.5,0.0,6.4,4.1,15.2,9.4,33.8,56.8,19922.0,21.1,0,0
34001001400,NJ,Atlantic County,,,1,85.7,3890,4862.5,2.6,30.0,25.8,47.6,20.7,70.1,0.7,1.0,0.0,2.7,4.8,25.9,34.5,29.4,36.1,16559.0,56.0,0,0
34001001500,NJ,Atlantic County,,,1,95.7,1772,17720.0,2.32,18.3,35.2,43.6,9.1,80.8,1.0,2.5,0.0,1.0,5.7,10.7,30.5,42.0,27.5,13795.0,39.8,0,0
