tract,State,County,Latitude,Longitude,RUCA Urbanicity,% Insured,Population,Population Density,Avg Household Size,Unemployment,Median Age,% Male,% White,% Black,% Native,% Asian,% Hawaiian/PI,% Other Race,% Multi-race,% Hispanic/Latino,% Ed. < HS,% Ed. HS Grad.,% Ed. College Grad.,Median Income,% Poverty,MH Provider Count,MH Provider per 1000 Pop.
45001950100,SC,Abbeville County,,,6,86.8,3135,64.7727272727273,2.43,9.4,45.8,48.7,79.0,15.8,0.5,0.0,0.0,0.9,3.7,3.5,24.3,34.6,41.1,18551.0,16.1,0,0
45001950200,SC,Abbeville County,,,6,85.8,4044,54.722598105548,2.83,5.2,36.4,49.3,74.8,17.3,0.6,1.9,0.0,1.0,4.5,1.9,21.7,29.6,48.7,17077.0,15.6,0,0
45001950300,SC,Abbeville County,,,2,88.0,3137,32.848167539267,2.28,7.4,48.9,48.4,95.6,4.4,0.0,0.0,0.0,0.0,0.0,2.4,25.3,34.7,39.9,19763.0,14.8,0,0
45001950400,SC,Abbeville County,,,4,91.2,6195,79.8324742268041,2.63,10.4,39.7,48.5,70.9,28.5,0.0,0.0,0.0,0.0,0.6,0.9,16.4,32.6,51.0,21398.0,24.5,0,0
45001950500,SC,Abbeville County,,,4,89.6,5368,48.7114337568058,2.31,9.8,48.3,51.7,54.1,45.2,0.0,0.0,0.0,0.1,0.5,0.1,20.7,42.0,37.3,18532.0,24.3,0,0
45001950600,SC,Abbeville County,,,5,83.0,3072,36.1837455830389,2.91,15.1,41.0,45.3,53.3,40.8,0.0,0.0,0.0,0.0,5.9,0.1,26.4,34.6,39.0,16894.0,30.5,0,0
45003020100,SC,Aiken County,,,3,79.3,4950,36.9127516778523,2.54,12.6,40.6,46.1,65.2,32.1,0.8,0.1,0.0,1.2,0.7,7.1,15.3,37.8,47.0,21336.0,23.5,0,0
45003020200,SC,Aiken County,,,2,90.2,5438,56.5868886576483,2.57,5.0,44.0,50.3,68.7,27.6,1.8,0.0,0.0,1.8,0.0,2.3,16.8,38.7,44.5,23391.0,8.8,0,0
45003020301,SC,Aiken County,,,2,86.9,2336,63.6512261580381,2.69,9.1,40.7,49.1,88.5,7.4,0.0,0.6,0.3,2.1,1.1,6.5,28.2,32.5,39.3,20938.0,16.6,0,0
45003020302,SC,Aiken County,,,1,74.5,6281,238.821292775665,2.62,15.0,34.0,46.0,48.5,47.2,0.0,3.5,0.0,0.0,0.8,3.7,16.4,39.9,43.8,16842.0,14.5,0,0
45003020400,SC,Aiken County,,,1,84.1,8459,467.348066298343,2.99,11.5,32.5,49.1,75.8,22.7,0.0,0.6,0.0,0.2,0.7,9.6,24.7,27.2,48.1,25175.0,19.5,0,0
45003020500,SC,Aiken County,33.576637,-81.953384,1,88.7,8366,629.022556390977,2.72,4.0,39.5,48.2,81.3,14.1,0.1,0.3,0.0,3.1,1.1,3.8,15.4,18.9,65.7,33202.0,8.0,1,0.11953143676787
45003020601,SC,Aiken County,,,1,97.1,3759,387.525773195876,2.69,5.1,38.1,49.2,75.0,21.4,0.0,1.7,0.0,0.3,1.6,1.3,5.2,20.6,74.2,40610.0,1.9,0,0
45003020602,SC,Aiken County,,,1,85.3,6304,1313.33333333333,2.68,9.0,36.5,47.6,47.9,34.5,0.0,0.8,0.0,8.8,8.1,10.5,18.9,34.4,46.8,17941.0,27.7,0,0
45003020701,SC,Aiken County,,,1,86.7,5800,1450.0,2.45,13.2,42.0,47.7,73.4,20.9,0.0,0.9,0.0,0.0,4.7,3.8,18.4,26.5,55.0,25968.0,17.9,0,0
45003020702,SC,Aiken County,,,1,79.0,5378,1920.71428571429,2.69,11.7,33.6,47.1,56.2,34.7,0.0,0.2,0.0,2.6,6.4,23.4,15.8,40.6,43.6,20279.0,27.7,0,0
45003020801,SC,Aiken County,33.52261,-81.98286,1,94.2,2787,995.357142857143,2.48,2.6,46.1,51.2,90.0,7.9,0.2,1.5,0.0,0.0,0.4,1.4,1.7,19.0,79.3,39085.0,3.3,1,0.35880875493362
45003020802,SC,Aiken County,,,1,86.4,5270,1817.24137931034,2.2,15.4,39.8,46.4,75.3,19.9,0.0,0.0,0.0,0.5,4.3,3.3,5.0,25.2,69.7,31291.0,12.8,0,0
45003020901,SC,Aiken County,,,2,83.3,2612,83.4504792332268,2.5,7.2,37.9,51.0,72.4,24.0,0.0,0.0,0.0,0.0,3.6,3.3,9.4,42.3,48.2,22553.0,15.2,0,0
45003020902,SC,Aiken County,,,2,86.0,5720,158.448753462604,2.64,9.0,45.6,50.6,70.9,24.7,0.3,0.5,0.0,1.7,1.9,1.7,14.8,38.0,47.1,22734.0,19.6,0,0
45003021001,SC,Aiken County,,,1,84.7,4637,483.020833333333,2.56,11.3,37.8,52.9,74.1,18.3,1.1,0.2,0.0,4.2,2.1,8.0,24.3,40.4,35.4,22132.0,24.0,0,0
45003021002,SC,Aiken County,,,1,74.8,5591,822.205882352941,2.59,12.4,36.8,47.9,74.6,20.9,0.0,0.4,0.0,3.8,0.3,17.5,15.9,46.1,37.9,17522.0,33.8,0,0
45003021101,SC,Aiken County,,,1,84.5,2877,542.830188679245,2.32,27.3,40.7,47.1,88.3,10.7,0.4,0.0,0.0,0.0,0.6,0.0,29.0,50.9,20.2,16103.0,34.6,0,0
45003021102,SC,Aiken County,,,1,82.4,3415,632.407407407407,2.37,14.5,43.9,49.5,91.3,7.0,0.0,0.0,0.0,0.7,1.0,0.0,23.1,34.5,42.4,22973.0,14.9,0,0
