% Asian,Avg Household Size,Latitude,Longitude,% Poverty,% Black,% Ed. Bachelors,% Ed. Grad. Degree,% Ed. HS Grad.,% Ed. < HS,% Ed. Some College,% Hawaiian/PI,% Hispanic/Latino,% Male,Median Age,Median Income,% Multi-race,% Native,% Other Race,MH Provider Count,MH Provider per 1000 Pop.,Population,tract,Unemployment,% White
1.0,2.21,35.11714,-106.49297,5.6,2.3,27.0,27.7,8.5,5.8,31.1,0.0,24.3,46.2,50.7,35631.0,3.5,0.0,9.1,1,0.365764447695684,2734,35001000107,5.3,84.1
3.3,2.22,35.1258355333333,-106.515495933333,5.5,3.4,26.3,13.2,22.2,2.6,35.6,0.0,26.0,49.5,43.0,26347.0,3.0,3.2,3.8,3,1.04384133611691,2874,35001000108,9.0,83.3
2.5,2.58,35.1288176666667,-106.525272,5.5,3.4,23.0,17.3,19.8,3.9,36.0,0.0,16.6,45.5,40.7,31548.0,4.3,7.1,2.9,3,1.18906064209275,2523,35001000109,9.8,79.9
0.5,2.03,,,19.8,4.1,15.9,12.1,22.7,6.0,43.4,0.0,28.4,51.3,41.4,25266.0,2.8,2.6,10.1,0,0,3557,35001000110,10.7,79.9
9.0,2.64,,,7.2,1.3,25.2,15.9,15.1,7.0,36.8,0.0,19.5,47.0,41.3,37591.0,3.1,2.0,3.4,0,0,2976,35001000111,3.0,81.3
5.4,2.29,,,3.1,2.7,24.7,30.6,13.2,3.2,28.2,0.0,16.2,49.6,45.7,41934.0,3.2,2.8,5.7,0,0,2043,35001000112,6.3,80.2
4.0,2.26,,,13.4,6.6,15.4,11.8,28.3,8.8,35.7,0.0,30.7,44.4,39.6,26958.0,3.6,4.8,16.8,0,0,3000,35001000113,9.9,64.1
0.0,2.63,35.113797,-106.52137,6.8,1.0,19.0,8.6,30.3,7.0,35.1,0.0,39.3,48.8,37.1,23707.0,5.2,7.9,6.6,2,0.605877006967586,3301,35001000114,11.9,79.2
2.6,2.12,,,21.4,3.4,12.2,11.5,29.1,11.6,35.7,0.0,36.9,45.1,34.7,23636.0,3.2,4.4,6.7,0,0,3190,35001000115,6.1,79.7
2.5,2.45,35.1078063,-106.49960235,6.3,2.1,18.7,14.2,19.3,4.1,43.8,0.0,35.6,51.5,42.3,24947.0,7.5,0.4,8.2,2,0.632511068943707,3162,35001000116,10.3,79.3
2.8,2.38,35.12870525,-106.538174175,7.0,2.5,32.3,14.5,20.7,5.6,26.8,0.0,20.7,44.7,46.4,34623.0,3.1,1.6,1.5,4,1.74443959877889,2293,35001000117,5.7,88.4
1.4,2.48,35.12838675,-106.5596985,11.1,0.0,21.8,20.4,17.8,6.7,33.3,0.0,30.9,48.9,34.1,30566.0,2.4,5.3,11.8,4,1.42298114549982,2811,35001000118,4.4,79.1
1.8,2.43,,,4.8,3.5,19.3,23.5,21.4,4.4,31.4,0.0,31.8,49.8,45.6,36324.0,2.8,0.1,6.7,0,0,1801,35001000119,6.5,85.1
1.2,2.13,35.117313,-106.54379,3.2,3.3,22.4,12.3,24.4,6.4,34.4,0.0,36.4,48.1,41.7,26553.0,4.6,4.2,14.8,1,0.327868852459016,3050,35001000120,8.3,71.8
10.2,2.1,35.10924,-106.549093333333,18.1,2.6,15.1,11.6,30.0,14.8,28.6,0.0,31.8,47.0,42.2,23210.0,6.5,2.6,6.1,3,0.487408610885459,6155,35001000121,5.1,72.0
2.8,2.06,35.108086185,-106.56377414,10.5,3.3,23.3,14.8,18.8,5.9,37.2,0.0,27.4,49.5,46.7,31222.0,4.0,2.3,10.6,10,2.55754475703325,3910,35001000122,3.3,77.0
0.9,2.66,35.10048538,-106.54023657,11.6,2.2,16.7,6.9,26.5,13.7,36.1,0.0,41.1,47.5,35.0,26301.0,2.7,9.3,16.5,20,3.53857041755131,5652,35001000123,4.7,68.4
1.1,1.77,35.0947875956757,-106.555387610811,33.8,5.5,14.6,8.6,28.1,14.0,34.6,0.0,28.2,46.9,38.6,20704.0,3.2,5.1,13.7,37,9.11105639005171,4061,35001000124,4.7,71.4
8.1,2.34,,,3.5,2.1,24.9,28.2,13.5,6.0,27.4,0.0,20.8,51.5,50.0,44159.0,2.4,1.8,2.2,0,0,4196,35001000125,2.1,83.4
2.7,2.13,35.096447,-106.50173,19.1,2.9,28.1,17.0,16.2,7.2,31.4,0.0,32.1,46.0,43.3,29744.0,0.9,2.3,8.5,1,0.359971202303816,2778,35001000126,10.9,82.6
2.2,2.46,35.1009002685714,-106.516431085714,12.9,5.2,11.7,9.5,33.7,6.6,38.4,0.5,34.7,47.5,42.2,28305.0,5.5,4.8,5.3,7,2.53899165759884,2757,35001000127,9.8,76.5
1.6,2.56,35.0913454,-106.52987592,12.4,2.7,6.6,6.5,38.7,9.8,38.3,0.0,47.7,46.2,33.5,18802.0,8.3,3.2,13.0,5,1.49209191286183,3351,35001000128,6.1,71.1
1.2,1.77,,,29.4,8.0,15.0,8.8,26.5,5.3,44.4,0.0,32.4,47.8,41.3,21498.0,4.6,9.2,6.7,0,0,3912,35001000129,8.7,70.3
0.7,1.86,35.1291451133333,-106.5785879,19.2,15.8,26.8,22.0,18.4,2.2,30.6,0.0,26.6,55.0,37.6,26190.0,5.3,4.3,9.3,3,1.67785234899329,1788,35001000203,7.7,64.6
0.0,2.38,35.129622548,-106.60117576,14.4,3.1,13.9,9.8,41.4,9.7,25.2,0.0,48.3,49.4,40.4,25424.0,1.9,9.0,15.7,5,1.62760416666667,3072,35001000204,7.5,70.3
0.5,2.27,35.118225,-106.6041,11.2,3.3,20.1,7.5,40.1,6.9,25.3,0.0,41.5,50.4,37.9,25298.0,5.0,8.9,15.2,4,1.1685655857435,3423,35001000205,7.9,67.1
0.6,2.39,35.116512,-106.56892,13.4,3.2,19.8,8.8,22.4,9.1,39.9,0.0,41.4,47.1,40.8,24315.0,9.2,5.4,17.6,1,0.327868852459016,3050,35001000206,9.4,63.9
4.0,2.32,35.10676433875,-106.5800574125,16.3,3.8,17.0,13.8,24.5,7.6,37.0,0.0,43.6,45.5,39.7,27408.0,0.8,8.2,10.6,8,2.34466588511137,3412,35001000207,4.6,72.5
1.9,2.08,35.108983695,-106.59208935,9.2,2.4,15.9,9.2,30.6,13.9,30.3,0.0,59.9,44.6,41.3,29375.0,8.2,3.3,24.4,4,1.64880461665293,2426,35001000208,7.7,59.6
3.8,2.07,35.0992251722727,-106.616587813636,12.7,2.0,25.9,41.4,9.0,3.7,19.9,0.0,19.4,47.9,37.9,36076.0,2.1,7.6,4.9,22,3.6813922356091,5976,35001000300,6.9,79.5
5.1,2.13,35.0957158220635,-106.603260560317,15.8,5.6,28.0,25.4,18.1,3.8,24.8,0.0,23.8,48.0,38.3,33005.0,1.8,2.3,7.0,126,27.0212309671885,4663,35001000401,2.0,78.1
1.3,2.12,35.0913593742857,-106.590485571429,10.6,0.8,27.6,25.9,12.5,3.8,30.2,0.0,24.9,47.5,46.1,34042.0,5.6,0.6,10.5,7,1.97294250281849,3548,35001000402,4.0,81.1
3.9,1.81,35.0773691428571,-106.582694285714,25.4,4.4,13.7,5.9,33.0,11.9,35.5,0.0,41.4,43.7,45.4,18577.0,8.0,11.0,15.5,7,2.38095238095238,2940,35001000501,2.1,57.2
0.6,1.74,35.0801556490909,-106.592945409091,20.4,3.2,25.2,28.0,17.8,5.0,24.0,0.0,19.0,53.4,41.2,28023.0,2.5,7.3,11.3,11,2.4559053360125,4479,35001000502,5.2,75.0
1.7,2.03,35.0937076666667,-106.574765,10.3,5.5,16.1,14.9,25.4,8.2,35.4,0.0,27.6,50.5,48.3,25961.0,4.5,4.5,8.1,6,1.69014084507042,3550,35001000601,7.5,75.6
0.3,2.69,35.07449,-106.555916,32.9,3.1,3.2,2.8,31.9,39.1,22.9,0.0,77.3,52.9,27.7,18436.0,2.6,8.1,54.2,2,0.424088210347752,4716,35001000603,8.6,31.6
3.9,2.24,35.07844204,-106.5627545,48.9,2.7,6.9,2.0,31.7,31.4,28.1,0.0,62.9,52.3,34.4,15299.0,5.3,7.9,37.6,1,0.252525252525253,3960,35001000604,7.4,42.7
3.3,2.48,35.082346,-106.5184775,13.2,4.6,12.7,4.0,38.9,13.5,30.9,0.0,44.7,50.3,42.1,24449.0,4.0,2.9,14.6,2,0.550660792951542,3632,35001000704,6.3,70.5
2.1,2.61,,,27.5,3.3,7.6,2.3,22.5,34.3,33.3,0.0,60.3,49.9,35.9,17449.0,0.9,6.8,23.2,0,0,5792,35001000707,6.4,63.7
5.6,2.2,35.077442,-106.525116,22.1,4.1,12.8,10.0,28.5,21.6,27.1,0.0,42.5,49.0,34.4,18446.0,2.9,7.1,17.2,1,0.174641983932937,5726,35001000708,9.1,63.1
3.8,2.35,35.04361,-106.51615,5.8,2.1,30.6,23.4,16.4,3.1,26.4,0.0,26.3,46.2,48.4,35504.0,1.6,0.9,7.4,1,0.188040616773223,5318,35001000710,5.0,84.2
3.7,2.46,35.077076,-106.49181,8.4,1.6,20.5,20.3,16.7,5.9,36.6,0.0,28.4,51.8,40.7,31642.0,7.5,3.3,4.0,1,0.202922077922078,4928,35001000711,11.4,79.8
6.9,2.43,35.083633,-106.502268,31.5,6.5,13.0,5.5,29.2,14.2,38.0,0.0,38.0,48.3,29.6,22135.0,4.0,5.9,6.2,2,0.468603561387067,4268,35001000712,10.0,70.5
