tract,PC#1,PC#2,PC#3,PC#4,PC#5,PC#6,PC#7,PC#8,PC#9,PC#10,PC#11,PC#12,PC#13,PC#14,PC#15,PC#16,PC#17,PC#18,PC#19
20001952600,29.84,15.09,62.38,53.43,64.76,34.32,53.03,18.12,36.43,95.85,7.44,95.59,33.66,15.22,15.61,25.10,74.64,60.28,21.15
20001952700,45.78,17.06,81.36,46.84,62.12,58.04,55.40,41.96,6.26,95.06,35.24,86.63,55.01,17.98,58.04,82.94,57.77,19.70,77.40
20001952800,46.97,26.02,87.81,42.89,39.20,47.50,52.64,15.35,40.65,90.45,7.18,66.07,26.94,65.15,22.86,62.12,42.36,48.29,63.18
20001952900,58.83,35.11,86.23,56.85,28.39,48.95,51.32,3.36,64.36,92.69,58.83,65.15,1.38,53.69,58.56,72.27,5.99,2.96,78.72
20001953000,34.19,16.27,79.91,61.73,60.41,39.33,60.41,54.87,19.30,87.81,48.42,90.18,8.89,28.52,1.25,5.20,85.84,12.32,86.23
20003953600,41.57,23.12,90.84,79.38,51.19,92.56,26.81,75.56,54.08,84.65,8.23,60.94,17.85,48.29,81.49,77.54,65.94,69.10,53.56
20003953700,48.55,14.30,62.12,66.21,78.46,33.53,44.20,24.84,56.32,96.77,24.97,97.69,50.26,23.52,19.30,10.34,20.09,69.76,27.73
20005081600,27.60,28.79,71.08,19.83,97.43,87.42,49.60,58.56,39.06,71.08,15.61,35.77,89.53,89.00,58.70,17.46,89.79,94.93,50.00
20005081700,63.04,50.00,93.61,23.52,78.59,48.68,25.10,13.90,95.19,87.68,70.82,5.86,62.65,4.28,34.32,69.50,83.47,65.15,74.64
20005081800,50.40,53.16,88.87,48.68,78.72,52.24,13.50,15.88,97.69,88.60,47.76,44.33,50.79,96.77,75.82,97.43,74.11,60.54,55.67
20005081900,73.85,56.46,92.29,21.41,76.09,74.90,14.95,7.31,94.80,70.55,78.19,93.61,94.66,67.39,60.67,7.05,4.68,45.65,94.14
20007968100,33.40,7.05,48.42,55.01,14.16,17.59,85.05,33.40,47.10,79.12,30.50,88.21,28.79,70.69,64.89,61.07,91.90,77.93,42.49
20007968200,39.20,2.31,43.68,76.09,31.69,44.47,88.47,51.71,12.58,61.33,25.76,95.06,56.59,24.57,44.73,73.72,39.72,76.88,60.28
20009971100,22.33,9.29,50.53,25.63,49.60,30.11,76.88,66.73,70.03,57.77,37.75,76.75,33.14,31.82,71.08,30.24,59.49,61.99,44.20
20009971200,30.11,15.61,51.84,28.26,63.31,53.03,83.60,36.82,24.44,31.95,87.81,37.48,89.79,80.17,81.09,74.64,13.50,68.31,46.18
20009971300,57.38,16.53,55.01,61.33,52.24,46.84,73.45,31.95,89.26,48.02,79.78,45.78,52.90,34.06,91.63,19.43,9.95,76.48,46.97
20009971400,61.86,30.50,55.80,33.00,31.16,31.69,53.29,27.21,59.49,19.96,58.70,34.58,93.61,0.86,96.90,53.56,28.79,76.35,91.77
20009971500,46.57,36.17,73.19,24.70,11.92,16.40,48.81,58.96,63.18,36.56,75.30,16.40,58.56,77.14,73.32,82.67,32.48,41.30,65.28
20009971600,54.74,27.47,35.24,13.37,23.25,42.49,36.03,65.15,31.42,10.47,47.63,46.97,73.58,53.29,71.87,66.07,49.08,74.37,13.64
20009971700,89.13,23.65,15.48,33.14,35.38,50.13,10.34,18.91,82.02,16.01,96.77,82.54,58.43,24.31,80.30,39.46,61.33,0.33,90.18
20009971800,70.42,10.74,37.48,19.57,47.50,37.35,48.02,47.89,28.79,45.52,83.20,7.58,62.78,92.16,67.65,67.79,74.51,49.74,65.68
20011955600,52.64,25.36,39.20,74.11,74.64,80.70,67.92,4.28,62.12,93.21,1.65,89.13,13.90,72.66,81.36,32.74,13.77,40.51,54.08
20011955700,23.52,32.87,54.48,96.64,61.99,78.59,38.54,53.03,75.43,86.36,5.07,92.16,11.79,72.27,12.98,23.91,55.80,72.53,56.32
20011955800,23.78,30.76,75.43,43.68,43.94,44.86,45.92,28.92,15.61,91.50,3.75,76.09,16.53,69.10,8.10,89.13,24.57,7.71,14.30
20011955900,63.44,32.21,75.03,85.31,57.25,72.13,65.94,4.41,82.81,92.16,0.99,75.30,14.43,86.36,12.32,64.36,33.00,19.17,19.04
20011956000,51.05,44.07,91.11,35.51,8.63,24.84,17.19,50.13,46.57,97.96,8.37,77.40,49.60,28.66,11.00,8.63,43.02,48.02,22.73
20013480600,60.94,14.69,96.64,99.80,97.96,99.80,5.60,99.93,99.80,13.90,27.47,92.29,24.84,53.95,54.61,9.68,69.76,58.56,4.81
20013480700,38.27,34.32,94.93,41.70,81.23,85.05,10.08,94.40,92.03,77.67,49.47,46.31,44.99,36.17,63.18,83.07,79.25,14.56,71.21
20013480800,38.41,20.22,94.14,73.32,85.05,93.87,12.19,98.22,97.30,83.07,19.17,78.19,28.26,38.67,46.44,39.20,77.40,27.34,48.16
20015020100,61.07,6.39,36.43,77.80,95.19,92.29,98.09,19.83,5.73,46.31,20.88,96.51,25.63,17.06,37.88,2.57,42.49,60.80,14.16
20015020201,47.36,46.18,36.69,81.09,46.18,25.23,59.49,8.23,27.60,49.34,86.76,23.25,37.75,27.60,53.29,92.69,7.84,70.16,37.75
20015020202,33.53,69.10,15.74,86.23,24.44,19.70,43.41,7.18,56.72,18.38,46.05,56.59,45.52,12.85,84.26,94.40,6.52,26.94,62.65
20015020203,19.04,67.65,14.82,93.35,31.29,14.56,57.51,41.83,45.78,69.50,67.26,25.89,67.39,63.31,89.66,75.16,44.20,34.19,16.53
20015020300,28.52,35.51,56.72,73.06,35.24,61.46,49.47,36.03,27.21,43.81,42.75,39.59,52.64,43.68,23.39,71.08,31.69,55.14,32.74
20015020400,63.18,33.79,95.32,64.36,2.57,50.66,5.34,40.12,50.00,73.06,91.77,43.94,70.16,7.71,64.76,41.96,5.20,56.72,69.10
20015020500,57.64,42.62,75.82,76.35,4.81,56.98,9.03,31.03,85.05,62.91,48.81,45.13,38.14,62.38,56.19,26.42,71.48,81.36,5.73
20015020600,31.29,45.92,24.31,84.65,64.10,41.57,77.27,4.94,40.78,34.45,39.59,30.50,67.52,73.19,44.99,94.93,23.65,53.69,35.38
20015020700,55.93,42.89,71.74,89.92,20.22,16.27,6.26,32.21,54.61,58.04,78.06,32.35,89.13,49.08,55.53,9.82,31.55,87.02,69.89
20015020800,67.26,37.35,67.26,59.88,26.02,73.06,66.07,0.86,34.06,40.78,75.69,10.21,67.13,16.93,39.59,19.30,66.21,82.28,43.02
20015020901,11.13,47.76,33.93,86.36,34.45,11.13,35.38,29.84,25.49,43.28,42.89,38.27,54.61,93.21,29.45,96.51,51.58,39.72,85.97
20015020902,27.34,44.73,13.50,83.07,49.74,36.82,70.55,8.37,28.39,37.88,6.39,37.75,90.18,48.16,51.58,59.09,9.16,77.27,20.36
20015020903,50.53,32.61,51.71,97.43,58.96,63.57,31.95,43.68,20.62,46.57,85.31,39.06,95.59,19.96,75.30,56.06,78.85,94.27,35.11
20017960600,29.58,26.81,68.31,67.26,60.01,64.10,42.62,63.57,32.21,60.67,50.40,43.68,53.43,87.02,18.51,57.38,24.97,51.84,22.60
20019964600,53.56,3.10,93.74,99.01,36.96,95.98,37.88,97.56,21.81,75.43,36.82,97.56,26.28,39.99,16.27,28.92,65.28,43.68,69.76
