tract,PC#1,PC#2,PC#3,PC#4,PC#5,PC#6,PC#7,PC#8,PC#9,PC#10,PC#11,PC#12,PC#13,PC#14,PC#15,PC#16,PC#17,PC#18,PC#19
22001960100,75.85,21.57,85.63,37.23,43.91,76.38,62.50,11.52,93.02,27.18,35.28,34.48,26.56,21.22,24.69,88.12,82.70,11.61,58.67
22001960200,23.80,10.63,74.69,56.27,53.60,40.88,93.19,32.43,89.99,35.63,60.01,56.01,75.67,0.31,42.93,51.02,90.08,20.95,78.69
22001960300,39.10,3.96,89.72,30.47,42.66,89.99,51.38,8.32,97.91,16.95,1.56,31.98,24.33,2.36,36.52,53.78,45.06,12.59,68.91
22001960400,31.01,9.65,74.33,56.09,71.13,65.88,64.55,17.13,90.44,19.26,21.13,54.14,30.12,7.43,15.70,54.85,66.15,22.46,42.93
22001960500,41.33,18.37,72.11,43.02,78.78,67.13,79.14,19.88,27.54,10.28,71.13,71.66,9.39,39.55,35.99,63.83,40.79,78.69,79.49
22001960600,65.88,30.83,65.79,51.02,74.42,58.67,53.16,9.83,33.32,35.72,79.49,81.18,59.56,2.71,8.67,24.24,30.29,84.65,43.99
22001960700,77.71,35.99,48.98,54.94,75.04,57.52,54.23,21.31,53.43,21.49,85.19,42.39,25.40,12.68,44.17,74.15,71.84,66.95,78.96
22001960800,68.55,23.53,68.10,16.15,42.13,92.13,5.65,8.05,80.47,6.81,58.59,53.60,7.78,33.14,44.97,94.80,67.66,95.33,74.51
22001960900,86.43,34.21,46.22,38.21,57.07,60.19,81.54,49.07,81.98,41.15,88.03,11.79,14.55,7.87,45.24,79.05,57.16,89.55,86.61
22001961000,85.54,63.03,96.22,65.97,51.91,62.77,35.36,0.76,66.24,13.30,49.51,43.55,4.40,44.44,83.76,97.82,45.86,99.07,61.97
22001961100,55.12,16.86,93.28,66.50,80.03,56.45,89.72,7.78,82.61,7.25,14.90,77.80,26.11,5.65,43.55,75.13,76.82,81.01,31.81
22001961200,49.78,10.36,88.83,34.65,90.79,93.28,39.64,7.70,74.07,16.24,18.73,73.18,3.16,5.74,66.41,18.28,71.66,96.84,14.37
22003950100,57.07,12.32,82.70,56.01,77.98,37.86,73.71,17.57,37.06,23.98,96.66,92.04,10.36,10.10,38.83,52.09,56.90,74.96,30.29
22003950200,52.18,35.81,99.15,55.83,12.06,9.92,99.42,91.06,44.97,89.90,42.48,1.20,21.75,75.58,2.00,92.13,94.88,12.86,44.80
22003950300,61.79,13.75,77.62,9.83,13.39,93.82,23.35,78.87,89.55,63.48,22.82,10.36,4.31,70.60,5.03,92.04,11.08,69.08,87.41
22003950400,48.27,15.88,72.91,46.22,66.77,28.07,32.07,56.45,58.67,51.02,86.08,39.46,24.60,9.92,14.37,19.62,66.86,18.46,94.53
22003950500,39.64,17.13,87.86,50.31,90.52,9.21,84.48,97.20,7.87,43.28,60.54,19.26,14.46,8.41,81.63,21.66,80.92,58.14,53.16
22005030101,20.60,45.51,47.91,68.99,86.61,31.09,76.11,15.61,38.75,14.19,33.50,59.39,83.05,51.56,92.84,76.82,54.49,6.18,53.69
22005030102,17.66,34.39,45.15,30.65,76.73,71.04,22.02,7.34,34.56,12.06,31.81,58.67,59.92,44.35,64.81,8.67,38.57,11.08,17.13
22005030103,20.42,32.43,57.96,49.15,96.04,64.81,58.50,4.58,42.57,26.20,64.19,66.24,30.20,50.76,94.17,16.68,43.99,19.44,19.08
22005030203,4.31,49.24,26.47,79.85,86.34,74.51,64.72,68.46,66.86,47.73,67.66,41.15,73.44,28.16,96.84,80.12,71.04,23.09,79.58
22005030204,12.59,47.46,26.91,80.56,92.93,17.22,87.50,18.55,65.08,60.99,69.88,59.56,71.49,31.90,94.80,80.74,55.74,37.50,94.26
22005030205,9.74,53.25,31.63,77.00,87.86,42.93,63.03,29.40,52.36,56.54,27.62,31.45,62.32,45.42,78.96,50.04,33.05,31.63,84.21
22005030206,20.15,62.32,73.53,71.84,80.29,16.33,79.94,4.49,27.27,59.92,54.23,29.67,81.54,17.48,97.29,29.49,14.37,7.52,25.76
22005030300,14.37,53.60,38.48,69.97,82.87,38.92,87.59,43.37,41.59,70.24,73.35,24.69,95.60,10.81,94.35,74.42,19.08,16.24,49.07
22005030401,45.60,57.87,55.74,43.55,65.26,42.48,53.60,10.28,31.54,38.57,71.66,28.87,83.32,22.55,79.94,27.00,32.70,16.41,59.83
22005030402,44.97,71.49,54.58,57.70,53.43,45.86,67.57,29.05,18.02,71.22,29.40,16.41,91.06,32.16,22.73,50.93,73.98,19.71,96.49
22005030500,19.97,36.88,60.36,51.47,89.28,61.70,87.06,27.09,31.45,24.78,67.39,64.46,65.26,70.06,36.88,32.61,43.19,5.47,44.71
22005030600,43.82,50.49,50.85,43.28,84.56,62.59,39.10,7.96,43.99,51.56,75.58,34.12,49.42,72.02,56.09,68.82,17.39,56.98,92.66
22005030900,87.14,44.44,71.75,35.19,94.62,79.94,86.25,10.99,77.98,80.74,82.52,30.03,36.88,9.65,96.57,37.77,12.86,96.40,7.34
22005031000,71.22,38.92,37.68,43.46,84.12,64.72,92.48,74.15,67.39,57.70,9.30,13.21,74.87,51.11,12.59,73.71,64.19,22.20,21.13
22007050100,75.76,40.17,65.44,40.17,93.02,84.12,76.29,16.06,73.44,56.09,25.85,12.06,30.38,19.97,64.28,4.49,42.93,96.31,14.81
22007050200,33.76,30.03,91.24,1.73,58.59,95.33,3.96,44.26,8.50,5.38,21.49,63.21,20.86,54.67,66.95,73.00,99.24,49.24,20.60
22007050300,64.81,30.20,72.64,10.10,73.62,94.71,66.24,43.99,35.36,44.35,8.23,47.73,73.53,16.50,26.82,36.61,55.47,82.96,19.80
22007050400,45.51,39.46,41.33,27.62,88.92,78.34,40.61,24.78,30.38,34.39,67.13,39.64,58.32,24.15,44.80,33.50,74.07,83.32,33.67
22007050500,81.54,52.71,63.48,42.57,95.60,44.88,85.72,33.14,18.73,6.45,50.31,26.65,37.50,63.39,85.28,56.81,9.39,85.99,63.12
22007050600,52.80,48.27,80.74,26.38,90.35,41.15,89.99,24.87,46.04,34.56,98.27,26.91,9.03,70.86,38.48,51.29,14.81,23.80,53.96
22009030100,46.22,4.05,92.04,11.88,29.40,89.64,88.83,49.15,89.46,4.40,6.45,37.50,14.37,47.82,94.62,30.83,92.13,50.93,15.35
