% Asian,Avg Household Size,Latitude,Longitude,% Poverty,% Black,% Ed. Bachelors,% Ed. Grad. Degree,% Ed. HS Grad.,% Ed. < HS,% Ed. Some College,% Hawaiian/PI,% Hispanic/Latino,% Male,Median Age,Median Income,% Multi-race,% Native,% Other Race,MH Provider Count,MH Provider per 1000 Pop.,Population,tract,Unemployment,% White
0.0,2.7,,,6.9,0.8,18.6,9.7,29.8,5.0,36.9,0.1,0.4,51.7,41.6,28373.0,0.2,0.3,0.0,0,0,4032,31001965400,2.5,98.6
1.2,2.43,,,10.2,0.0,15.9,12.0,29.2,6.3,36.7,0.0,7.2,49.9,41.3,28327.0,0.5,1.1,4.0,0,0,3964,31001965500,6.7,93.3
0.6,2.22,40.595334525,-98.37805462,9.7,0.8,19.4,8.7,24.5,3.1,44.3,0.0,3.0,50.4,33.5,21375.0,0.0,0.6,0.0,2,0.379650721336371,5268,31001965600,6.7,97.9
1.6,2.23,40.5886702633333,-98.38585219,24.8,1.5,15.4,4.6,24.3,14.0,41.8,0.0,25.0,55.8,30.7,16913.0,1.8,0.1,0.2,3,2.4,1250,31001965700,12.4,94.8
1.5,2.74,40.585274,-98.41957,15.0,0.0,11.6,4.5,33.3,18.9,31.7,0.0,13.4,50.6,28.7,22675.0,2.4,1.4,7.3,1,0.334001336005344,2994,31001965800,3.3,87.4
3.3,2.48,40.58532,-98.43819,5.1,0.0,18.0,10.5,26.9,6.4,38.3,0.0,2.7,48.2,43.9,29179.0,0.5,0.0,1.4,1,0.227738556137554,4391,31001965900,4.0,94.8
3.1,2.33,40.57008269,-98.3999789728571,23.6,2.4,8.6,4.1,31.4,18.8,37.1,0.0,10.7,50.2,33.5,20130.0,3.6,0.7,1.2,7,1.53239929947461,4568,31001966000,3.5,89.1
0.0,1.83,,,33.7,0.6,5.0,1.5,47.5,27.5,18.5,0.0,22.2,44.8,40.9,14724.0,0.4,0.0,0.2,0,0,2464,31001966100,13.8,98.8
0.5,2.45,,,3.8,0.4,16.3,5.5,40.2,6.6,31.4,0.0,1.3,48.2,41.4,27813.0,0.5,0.0,0.6,0,0,2250,31001966200,2.2,98.0
0.0,2.48,,,11.2,0.0,9.7,3.8,44.3,6.5,35.7,0.0,0.6,53.2,46.4,20396.0,0.1,0.1,0.3,0,0,2176,31003979600,1.4,99.4
0.0,2.1,,,15.5,0.6,15.2,5.4,36.0,8.1,35.4,0.0,4.2,48.3,49.2,22780.0,2.4,0.0,0.1,0,0,1714,31003979700,2.5,97.0
0.0,2.43,,,10.8,0.7,10.5,3.5,41.3,10.4,34.3,0.0,2.9,47.9,42.5,22606.0,0.6,0.0,0.0,0,0,2807,31003979800,4.5,98.6
0.0,2.53,,,5.1,0.0,17.1,4.8,24.3,4.8,49.0,0.0,1.1,53.6,37.7,25476.0,1.6,0.0,0.0,0,0,448,31005958300,0.0,98.4
0.0,2.22,,,17.8,0.0,16.8,6.7,28.3,7.7,40.5,0.0,1.6,48.2,48.3,19297.0,1.0,0.0,0.4,0,0,703,31007954000,1.8,98.6
0.0,2.37,,,17.1,0.0,14.3,0.0,48.1,3.3,34.3,0.0,0.0,51.1,45.2,20417.0,5.5,0.0,0.0,0,0,585,31009972400,1.0,94.5
0.1,2.29,,,8.4,0.0,8.1,2.7,44.3,9.5,35.5,0.0,1.6,50.4,44.5,22156.0,0.5,0.0,0.0,0,0,3455,31011960100,2.6,99.4
0.7,2.25,,,7.4,0.1,9.1,7.0,41.6,5.3,36.9,0.0,1.1,48.8,46.1,21504.0,0.0,0.0,0.0,0,0,2057,31011960200,4.4,99.1
0.1,2.44,,,10.0,0.2,18.1,3.7,41.1,6.2,30.9,0.0,1.2,49.4,43.2,25254.0,1.2,0.6,0.1,0,0,2170,31013951100,1.0,97.8
0.4,2.25,42.110523,-102.878456,11.1,0.0,18.7,7.5,32.5,9.9,31.4,0.0,3.3,45.9,44.3,27745.0,1.4,3.1,2.4,1,0.212630236019562,4703,31013951200,2.8,92.7
0.5,2.35,,,25.4,0.2,12.7,1.6,37.6,14.6,33.5,0.0,20.9,52.4,34.4,19854.0,4.6,5.8,6.2,0,0,4510,31013951300,8.6,82.7
0.0,2.27,,,6.9,0.0,10.8,2.9,43.5,11.0,31.9,0.0,3.4,52.5,49.0,19695.0,0.0,0.3,3.0,0,0,2095,31015975800,1.8,96.7
0.1,2.23,,,14.1,0.2,13.1,4.7,38.8,9.9,33.5,0.0,0.1,46.7,46.9,19278.0,1.3,0.1,0.0,0,0,3153,31017975000,2.6,98.3
0.5,2.38,,,8.3,0.0,14.5,4.5,34.7,7.6,38.7,0.0,1.6,45.8,44.0,24298.0,0.8,0.1,0.3,0,0,3438,31019968900,2.1,98.3
0.3,2.66,,,6.4,0.1,17.6,6.1,33.9,7.4,35.1,0.0,1.8,47.9,38.5,27144.0,0.8,0.1,0.1,0,0,3934,31019969000,1.5,98.7
0.0,2.63,,,6.8,0.5,15.0,5.5,35.6,10.6,33.3,0.0,12.5,49.2,37.2,25732.0,1.0,0.0,6.9,0,0,4428,31019969100,2.8,91.5
1.0,2.55,40.70825148,-99.095054665,12.5,2.3,28.1,25.2,20.3,1.1,25.3,0.0,3.4,48.9,31.9,25241.0,3.2,0.0,0.0,2,0.531914893617021,3760,31019969202,4.6,93.5
0.0,2.56,,,8.2,0.0,29.7,14.2,19.7,3.3,33.1,0.0,2.9,51.4,39.1,32273.0,0.1,0.2,2.0,0,0,5068,31019969203,3.4,97.7
