tract,PC#1,PC#2,PC#3,PC#4,PC#5,PC#6,PC#7,PC#8,PC#9,PC#10,PC#11,PC#12,PC#13,PC#14,PC#15,PC#16,PC#17,PC#18,PC#19
33001965100,41.27,35.10,87.16,60.10,51.88,66.27,29.97,27.91,72.77,25.17,19.35,38.53,41.95,69.69,33.73,19.35,17.64,30.31,86.82
33001965200,51.20,19.35,67.98,83.39,74.83,87.16,22.43,36.13,85.45,3.25,90.92,77.57,22.77,64.90,84.76,96.75,81.34,8.39,89.55
33001965300,15.92,28.94,77.91,31.68,59.76,26.54,25.51,80.31,68.66,16.27,27.23,77.91,52.23,62.16,17.29,48.80,8.73,91.27,13.87
33001965400,14.55,31.68,57.36,37.84,46.40,47.77,26.54,56.34,58.73,19.69,51.54,85.45,56.68,57.02,65.24,2.57,24.49,83.05,50.51
33001965598,69.69,13.87,67.29,10.45,37.16,49.83,86.47,69.01,27.23,78.94,58.73,13.53,11.47,74.83,11.82,7.36,29.62,10.10,69.35
33001965600,30.31,42.29,72.77,55.31,45.38,81.68,67.98,25.17,86.47,40.92,49.49,74.83,53.60,89.55,78.94,19.01,93.32,15.58,83.05
33001965700,41.61,30.99,14.55,54.97,63.18,71.06,40.58,25.51,82.71,66.61,61.47,4.28,21.06,24.83,80.65,21.06,57.36,80.31,30.31
33001965800,58.39,17.98,12.50,77.91,62.16,15.92,42.98,47.43,91.27,83.05,12.84,60.79,31.68,35.10,48.80,93.32,4.62,41.95,14.21
33001965900,82.02,14.21,23.12,81.34,94.01,14.90,48.46,50.86,48.80,64.55,57.71,89.21,91.61,59.42,23.46,71.06,62.50,48.46,78.94
33001966000,89.21,7.36,6.34,65.24,81.34,95.38,65.58,9.42,25.86,89.21,92.98,3.60,76.88,21.06,2.91,94.35,10.79,87.16,14.55
33001966100,39.21,27.23,72.09,30.31,79.28,11.47,27.23,40.58,35.10,36.82,74.49,61.82,59.76,33.39,12.16,30.99,31.34,23.80,70.38
33001966200,60.79,23.12,74.83,53.94,69.69,50.86,71.40,69.35,59.76,35.10,3.94,48.80,54.62,89.90,8.39,65.24,19.35,47.43,9.42
