tract,State,County,Latitude,Longitude,RUCA Urbanicity,% Insured,Population,Population Density,Avg Household Size,Unemployment,Median Age,% Male,% White,% Black,% Native,% Asian,% Hawaiian/PI,% Other Race,% Multi-race,% Hispanic/Latino,% Ed. < HS,% Ed. HS Grad.,% Ed. College Grad.,Median Income,% Poverty,MH Provider Count,MH Provider per 1000 Pop.
21111011601,KY,Jefferson County,,,1,98.5,6547,399.207317073171,2.71,3.9,44.7,52.1,89.0,6.0,0.0,3.2,0.0,0.2,1.7,0.6,1.7,13.3,85.1,47252.0,2.8,0,0
21111011603,KY,Jefferson County,,,1,98.0,4615,339.338235294118,2.39,0.4,51.1,48.3,93.2,3.3,0.0,1.1,0.0,0.2,2.3,0.5,4.4,32.6,63.1,38273.0,4.5,0,0
21111011604,KY,Jefferson County,,,2,94.2,2674,92.8472222222222,2.64,3.7,48.9,52.4,98.1,0.3,0.0,0.1,0.0,0.6,0.9,4.6,4.5,23.5,72.0,38310.0,3.1,0,0
21111011706,KY,Jefferson County,,,1,97.8,3832,2254.11764705882,2.44,3.3,48.0,51.0,91.0,4.9,0.0,0.9,0.0,0.0,3.2,2.6,11.0,35.7,53.4,31184.0,3.9,0,0
21111011707,KY,Jefferson County,,,1,94.6,5986,2494.16666666667,2.96,7.1,34.6,46.6,81.9,15.0,0.4,0.2,0.0,0.0,2.5,3.1,10.4,32.9,56.6,31000.0,15.6,0,0
21111011708,KY,Jefferson County,,,1,93.5,5326,1566.47058823529,2.8,2.9,37.3,49.6,85.0,11.7,0.0,1.8,0.1,0.0,1.4,11.7,5.1,22.2,72.7,38554.0,4.4,0,0
21111011709,KY,Jefferson County,38.093643,-85.56266,1,91.6,4273,440.515463917526,2.64,5.0,45.1,47.8,93.7,4.7,0.0,1.4,0.0,0.1,0.0,1.3,9.3,37.0,53.8,34028.0,5.8,1,0.234027615258601
21111011710,KY,Jefferson County,,,1,87.7,2969,4241.42857142857,2.63,10.6,34.5,51.6,83.4,11.4,0.0,1.3,0.0,0.0,3.9,1.7,13.9,43.0,43.1,22871.0,15.0,0,0
21111011711,KY,Jefferson County,38.08904782,-85.65495236,1,93.0,5477,2738.5,2.61,3.7,34.1,53.0,87.5,11.2,0.0,0.0,0.0,0.5,0.8,2.5,7.0,26.8,66.2,31622.0,4.0,1,0.182581705313128
21111011712,KY,Jefferson County,,,1,86.3,4711,2355.5,2.6,5.7,33.2,53.1,83.0,8.2,0.0,4.1,0.0,1.0,3.8,2.7,12.7,41.0,46.3,25898.0,17.3,0,0
21111011713,KY,Jefferson County,,,1,89.9,2775,2775.0,2.65,3.8,30.5,46.3,87.0,9.8,0.0,0.4,0.0,0.0,2.7,3.6,14.2,46.4,39.4,25046.0,19.2,0,0
