county,PC#1,PC#2,PC#3,PC#4,PC#5,PC#6,PC#7,PC#8,PC#9,PC#10,PC#11,PC#12,PC#13,PC#14,PC#15,PC#16,PC#17
51105,1.13,52.26,95.11,37.97,83.83,95.86,1.88,88.35,92.86,54.51,96.62,77.82,95.11,16.17,91.35,36.47,53.01
51107,99.62,65.79,71.05,35.71,83.08,80.83,32.71,98.12,91.35,98.87,10.15,57.52,50.00,28.95,46.24,3.38,22.18
51109,48.50,53.76,52.26,82.33,19.92,37.97,21.43,27.44,85.34,71.80,76.32,80.83,38.72,59.77,65.04,75.56,92.86
51111,19.17,81.58,64.29,87.59,84.59,10.90,71.80,73.31,15.41,95.86,65.04,68.80,70.30,81.58,85.34,19.17,88.35
51113,55.26,37.22,73.31,81.58,17.67,8.65,58.27,5.64,71.05,89.10,80.83,79.32,15.41,12.41,76.32,59.02,99.62
51115,65.04,4.14,7.14,71.80,9.40,76.32,89.85,39.47,1.88,37.97,30.45,92.86,71.05,47.74,60.53,31.95,91.35
51117,20.68,64.29,30.45,62.78,34.21,16.17,40.98,68.80,4.14,87.59,34.96,22.18,69.55,40.98,92.86,13.16,79.32
51119,53.76,25.94,10.90,77.82,26.69,13.16,80.08,50.75,37.22,27.44,37.97,93.61,82.33,4.14,86.84,45.49,68.80
51121,71.80,42.48,75.56,2.63,96.62,98.12,79.32,32.71,17.67,92.86,67.29,68.05,84.59,10.15,37.97,69.55,31.20
51125,50.00,22.18,48.50,68.80,22.93,23.68,83.08,43.23,22.93,61.28,59.02,23.68,79.32,22.18,51.50,7.14,46.24
51127,79.32,19.17,4.14,68.05,82.33,87.59,28.20,44.74,49.25,22.93,62.03,77.07,65.04,79.32,17.67,34.96,80.83
51131,27.44,85.34,50.00,79.32,8.65,1.88,86.09,49.25,7.14,40.98,31.20,90.60,89.10,75.56,96.62,7.89,4.89
51133,53.01,36.47,1.13,65.79,11.65,6.39,87.59,78.57,84.59,3.38,20.68,87.59,89.85,2.63,70.30,39.47,0.38
51135,15.41,83.08,43.98,76.32,94.36,20.68,52.26,56.77,68.80,74.06,2.63,45.49,83.08,86.84,71.05,71.05,52.26
51137,72.56,44.74,46.24,59.02,31.20,40.98,26.69,25.94,89.10,16.17,68.05,76.32,41.73,24.44,20.68,88.35,40.23
51139,28.20,37.97,86.09,86.09,22.18,28.20,40.23,9.40,98.87,76.32,7.14,95.11,29.70,89.10,43.98,18.42,20.68
51141,10.15,40.23,84.59,50.00,33.46,62.03,54.51,87.59,20.68,41.73,75.56,86.09,94.36,68.80,74.06,53.01,68.05
51143,25.19,46.99,44.74,45.49,62.03,31.95,49.25,83.08,16.92,42.48,26.69,40.23,26.69,58.27,28.95,54.51,86.84
51145,74.06,14.66,19.92,74.06,92.86,43.23,27.44,40.23,59.77,33.46,93.61,54.51,75.56,41.73,66.54,74.81,10.15
51147,38.72,77.07,42.48,28.95,86.84,92.86,53.76,7.89,23.68,79.32,42.48,33.46,2.63,59.02,31.95,97.37,9.40
51149,73.31,82.33,18.42,62.03,95.11,88.35,0.38,40.98,71.80,29.70,78.57,82.33,68.05,7.14,24.44,10.90,53.76
51153,95.11,90.60,89.85,83.83,73.31,56.02,7.89,55.26,35.71,50.00,27.44,8.65,48.50,7.89,52.26,8.65,85.34
51155,31.20,11.65,60.53,32.71,74.06,50.00,39.47,84.59,58.27,25.19,50.00,38.72,43.23,57.52,38.72,73.31,69.55
51157,71.05,12.41,65.79,91.35,12.41,7.14,95.11,22.93,61.28,65.79,97.37,41.73,63.53,19.92,98.12,96.62,65.04
51159,45.49,71.05,56.02,93.61,95.86,21.43,94.36,50.00,70.30,18.42,6.39,97.37,61.28,45.49,9.40,98.87,94.36
51161,74.81,4.89,34.21,15.41,51.50,69.55,50.75,86.84,31.20,31.20,45.49,19.92,18.42,13.16,39.47,80.08,19.92
51163,46.24,8.65,63.53,65.04,40.23,36.47,68.80,41.73,56.77,74.81,53.01,71.05,80.83,15.41,30.45,25.19,89.85
51165,62.78,34.21,83.08,85.34,39.47,71.80,48.50,13.91,74.81,40.23,11.65,46.99,21.43,85.34,72.56,86.84,33.46
51167,13.91,19.92,92.11,46.24,54.51,84.59,12.41,67.29,28.95,82.33,52.26,18.42,19.92,62.78,82.33,77.82,67.29
51169,7.14,16.92,90.60,34.96,77.07,90.60,18.42,90.60,51.50,58.27,48.50,40.98,68.80,48.50,33.46,37.22,26.69
51171,65.79,22.93,78.57,83.08,32.71,19.17,69.55,12.41,83.08,13.16,4.14,69.55,20.68,28.20,14.66,43.23,50.75
51173,19.92,18.42,80.83,31.95,71.05,81.58,25.19,77.82,42.48,39.47,60.53,52.26,55.26,53.01,12.41,48.50,42.48
51175,29.70,62.78,16.92,78.57,87.59,9.40,44.74,53.01,9.40,83.83,77.82,61.28,72.56,67.29,75.56,40.23,82.33
51177,86.84,56.02,46.99,63.53,59.02,77.82,3.38,11.65,52.26,75.56,40.98,25.94,56.77,42.48,25.94,15.41,93.61
51179,92.86,54.51,31.95,53.76,85.34,72.56,2.63,13.16,62.78,53.01,50.75,3.38,73.31,21.43,58.27,4.89,98.12
51181,37.97,73.31,3.38,72.56,28.95,2.63,33.46,69.55,60.53,80.08,77.07,39.47,56.02,30.45,89.10,64.29,3.38
51183,2.63,86.09,10.15,97.37,99.62,10.15,99.62,89.10,86.09,9.40,16.92,48.50,16.17,80.83,69.55,26.69,90.60
51185,12.41,27.44,87.59,38.72,56.77,79.32,22.93,71.80,76.32,63.53,61.28,49.25,27.44,66.54,80.83,68.80,60.53
51187,69.55,33.46,68.05,80.83,45.49,46.24,25.94,3.38,95.86,72.56,23.68,66.54,50.75,72.56,28.20,24.44,35.71
51191,26.69,6.39,76.32,28.20,68.80,80.08,29.70,89.85,29.70,44.74,82.33,20.68,34.96,33.46,59.02,47.74,51.50
51193,59.02,58.27,31.20,89.10,24.44,12.41,71.05,36.47,72.56,19.17,34.21,56.77,59.02,56.02,49.25,29.70,21.43
51195,3.38,43.98,92.86,29.70,89.10,89.10,7.14,82.33,92.11,57.52,59.77,30.45,53.01,78.57,89.85,81.58,41.73
51197,22.18,25.19,80.08,34.21,41.73,75.56,22.18,72.56,45.49,65.04,79.32,65.79,16.92,64.29,29.70,66.54,17.67
51199,92.11,46.24,15.41,17.67,77.82,57.52,10.90,77.07,26.69,49.25,54.51,89.10,71.80,68.05,80.08,84.59,45.49
51510,94.36,80.08,74.06,52.26,16.17,5.64,98.12,93.61,77.07,4.14,98.12,0.38,85.34,98.12,32.71,99.62,76.32
51520,11.65,34.96,81.58,7.89,14.66,85.34,41.73,85.34,46.24,26.69,94.36,16.92,31.20,56.77,18.42,22.18,92.11
51530,25.94,56.77,95.86,10.15,2.63,78.57,93.61,19.17,54.51,99.62,69.55,98.12,4.89,98.87,4.89,0.38,6.39
51540,80.83,66.54,68.80,4.89,74.81,94.36,95.86,19.92,32.71,95.11,32.71,43.23,96.62,22.93,27.44,94.36,29.70
51550,81.58,65.04,5.64,19.17,78.57,41.73,8.65,51.50,6.39,69.55,74.81,70.30,45.49,89.85,40.98,22.93,48.50
51570,67.29,55.26,36.47,26.69,10.15,83.83,45.49,74.06,53.76,11.65,40.23,95.86,14.66,94.36,1.13,91.35,62.78
51580,23.68,38.72,72.56,50.75,80.83,37.22,86.84,22.18,65.04,84.59,71.80,37.97,80.08,9.40,2.63,4.14,71.05
51590,9.40,87.59,26.69,6.39,13.91,29.70,55.26,94.36,66.54,15.41,13.91,4.14,10.90,32.71,63.53,43.98,58.27
51595,0.38,99.62,53.76,14.66,1.88,1.13,11.65,66.54,98.12,31.95,95.86,91.35,92.11,37.97,15.41,95.86,22.93
51600,97.37,80.83,91.35,55.26,44.74,74.81,84.59,98.87,78.57,91.35,18.42,98.87,7.14,1.13,54.51,92.11,96.62
