% Asian,Avg Household Size,Latitude,Longitude,% Poverty,% Black,% Ed. Bachelors,% Ed. Grad. Degree,% Ed. HS Grad.,% Ed. < HS,% Ed. Some College,% Hawaiian/PI,% Hispanic/Latino,% Male,Median Age,Median Income,% Multi-race,% Native,% Other Race,MH Provider Count,MH Provider per 1000 Pop.,Population,tract,Unemployment,% White
0.0,2.63,,,17.3,3.1,5.4,2.3,41.3,33.1,17.8,0.0,53.2,48.7,33.9,16277.0,7.4,0.0,32.9,0,0,1504,26005032401,11.6,56.5
0.0,2.8,,,9.4,1.3,13.3,9.5,43.4,8.9,24.9,0.0,6.4,48.1,40.2,25331.0,1.4,0.0,3.2,0,0,3677,26005032402,5.2,94.1
2.9,2.04,,,1.7,0.0,17.5,11.6,41.3,6.6,23.1,0.0,2.2,47.8,59.0,29333.0,0.0,0.0,2.2,0,0,1336,26005032600,10.1,94.9
,,,,,,,,,,,,,,,,,,,0,0,0,26005990000,,
0.4,2.36,,,13.4,0.2,4.1,2.9,42.1,16.8,34.0,0.0,1.0,49.7,46.9,21579.0,0.5,0.2,0.4,0,0,4748,26007000100,12.4,98.2
0.4,2.32,,,13.3,0.6,9.4,5.1,33.6,13.5,38.5,0.0,0.3,52.1,45.7,21625.0,0.6,0.0,0.0,0,0,4293,26007000200,9.6,98.4
0.3,2.23,45.079881945,-83.4487666233333,8.1,0.8,8.0,5.7,34.2,10.9,41.2,0.0,1.1,53.6,47.9,24150.0,0.4,0.0,0.0,18,5.4380664652568,3310,26007000300,12.0,98.5
0.8,2.27,45.06719,-83.43924,36.0,1.3,5.2,4.4,36.8,11.6,42.1,0.0,0.0,47.1,34.6,15088.0,0.7,0.4,0.0,1,0.329055610398157,3039,26007000400,14.5,96.8
0.0,2.6,,,35.7,0.0,9.6,7.2,30.1,6.9,46.2,0.0,2.1,44.7,33.1,20826.0,0.8,2.4,0.7,0,0,2387,26007000500,14.0,96.1
2.2,2.06,45.07780873,-83.45188644,18.6,0.9,11.3,11.0,31.5,12.7,33.5,0.0,1.2,44.0,46.2,20290.0,1.6,1.4,0.4,6,1.9411193788418,3091,26007000600,14.4,93.5
0.0,1.87,,,12.3,0.1,10.8,10.2,33.3,10.5,35.2,0.0,2.5,44.7,52.3,21569.0,0.5,0.0,0.7,0,0,2611,26007000700,10.5,98.8
0.0,2.18,,,13.1,0.3,16.8,7.9,28.7,10.1,36.6,0.0,0.8,49.4,42.9,23923.0,1.5,0.0,0.0,0,0,3311,26007000800,8.8,98.2
1.0,2.09,,,11.2,0.3,8.2,5.5,36.7,9.4,40.1,0.0,1.7,51.7,50.4,20214.0,0.8,0.5,1.1,0,0,3007,26007000900,8.3,96.3
,,,,,,,,,,,,,,,,,,,0,0,0,26007990000,,
0.3,2.29,,,7.1,0.0,16.9,12.4,37.1,7.9,25.7,0.0,2.0,47.4,49.4,25483.0,1.0,0.1,1.5,0,0,2601,26009960100,7.5,97.0
