county,PC#1,PC#2,PC#3,PC#4,PC#5,PC#6,PC#7,PC#8,PC#9,PC#10,PC#11,PC#12,PC#13,PC#14,PC#15,PC#16,PC#17
54001,39.09,68.18,42.73,93.64,93.64,0.91,6.36,90.00,51.82,8.18,11.82,53.64,0.91,10.00,68.18,42.73,93.64
54003,95.45,84.55,84.55,33.64,0.91,17.27,24.55,8.18,86.36,15.45,0.91,39.09,46.36,82.73,44.55,15.45,75.45
54005,11.82,66.36,24.55,75.45,13.64,64.55,88.18,77.27,70.00,53.64,20.91,10.00,20.91,88.18,53.64,17.27,37.27
54007,13.64,59.09,71.82,73.64,6.36,35.45,17.27,26.36,93.64,48.18,62.73,62.73,17.27,40.91,95.45,6.36,30.00
54009,79.09,0.91,44.55,17.27,73.64,77.27,80.91,68.18,77.27,11.82,60.91,46.36,95.45,31.82,19.09,68.18,20.91
54011,86.36,86.36,0.91,39.09,66.36,82.73,19.09,55.45,20.91,44.55,66.36,48.18,31.82,20.91,4.55,51.82,44.55
54013,8.18,64.55,90.00,46.36,11.82,48.18,0.91,10.00,30.00,42.73,97.27,93.64,71.82,8.18,51.82,26.36,26.36
54015,4.55,75.45,46.36,95.45,70.00,2.73,55.45,84.55,91.82,35.45,28.18,77.27,91.82,28.18,50.00,59.09,86.36
54017,40.91,73.64,91.82,99.09,59.09,90.00,84.55,2.73,2.73,37.27,13.64,99.09,90.00,11.82,8.18,50.00,80.91
54019,42.73,82.73,33.64,31.82,75.45,28.18,62.73,4.55,33.64,50.00,30.00,70.00,39.09,73.64,59.09,35.45,0.91
54021,82.73,99.09,82.73,79.09,97.27,97.27,93.64,11.82,99.09,62.73,95.45,71.82,13.64,30.00,46.36,84.55,68.18
54023,57.27,24.55,93.64,88.18,15.45,20.91,99.09,91.82,39.09,19.09,48.18,97.27,30.00,64.55,40.91,88.18,35.45
54025,53.64,57.27,40.91,10.00,30.00,59.09,79.09,50.00,17.27,75.45,51.82,60.91,11.82,26.36,39.09,90.00,97.27
54027,37.27,50.00,95.45,35.45,95.45,33.64,10.00,70.00,60.91,88.18,4.55,13.64,79.09,71.82,17.27,53.64,73.64
54029,75.45,8.18,68.18,22.73,68.18,73.64,39.09,66.36,64.55,0.91,93.64,26.36,93.64,68.18,15.45,40.91,84.55
54031,93.64,93.64,99.09,42.73,8.18,13.64,75.45,97.27,0.91,73.64,99.09,0.91,62.73,59.09,13.64,24.55,42.73
54033,77.27,20.91,37.27,57.27,50.00,42.73,35.45,40.91,68.18,39.09,44.55,35.45,19.09,53.64,22.73,91.82,57.27
54035,62.73,10.00,15.45,90.00,86.36,10.00,64.55,35.45,40.91,64.55,70.00,50.00,75.45,22.73,84.55,82.73,33.64
54037,99.09,79.09,86.36,30.00,2.73,4.55,40.91,13.64,80.91,59.09,10.00,2.73,37.27,0.91,62.73,70.00,53.64
54039,88.18,55.45,2.73,8.18,55.45,39.09,53.64,20.91,24.55,55.45,46.36,80.91,99.09,44.55,88.18,8.18,99.09
54041,55.45,40.91,59.09,80.91,60.91,55.45,48.18,86.36,26.36,70.00,82.73,22.73,24.55,95.45,99.09,62.73,90.00
54043,24.55,60.91,26.36,91.82,20.91,53.64,90.00,60.91,13.64,33.64,40.91,6.36,42.73,48.18,90.00,97.27,31.82
54045,19.09,77.27,28.18,59.09,24.55,30.00,13.64,15.45,44.55,79.09,73.64,57.27,70.00,46.36,26.36,66.36,6.36
54047,2.73,97.27,39.09,4.55,44.55,70.00,60.91,53.64,22.73,2.73,2.73,8.18,97.27,37.27,86.36,48.18,10.00
54049,84.55,33.64,35.45,50.00,51.82,66.36,66.36,46.36,57.27,10.00,22.73,66.36,28.18,90.00,42.73,71.82,50.00
54051,68.18,6.36,53.64,62.73,90.00,26.36,33.64,59.09,71.82,20.91,86.36,19.09,59.09,62.73,77.27,39.09,19.09
54053,28.18,19.09,20.91,55.45,19.09,46.36,70.00,51.82,90.00,26.36,91.82,51.82,35.45,84.55,57.27,4.55,79.09
54055,66.36,90.00,6.36,24.55,64.55,11.82,86.36,73.64,4.55,40.91,39.09,84.55,15.45,77.27,71.82,86.36,64.55
54057,64.55,42.73,80.91,19.09,57.27,91.82,22.73,64.55,28.18,31.82,15.45,86.36,8.18,99.09,60.91,22.73,51.82
54059,6.36,88.18,8.18,40.91,4.55,50.00,11.82,39.09,95.45,66.36,57.27,55.45,77.27,93.64,28.18,93.64,91.82
54061,97.27,91.82,4.55,97.27,35.45,99.09,4.55,99.09,31.82,97.27,26.36,75.45,53.64,39.09,66.36,11.82,24.55
54063,17.27,44.55,50.00,13.64,80.91,8.18,46.36,37.27,55.45,99.09,50.00,20.91,26.36,19.09,64.55,28.18,48.18
54065,60.91,22.73,97.27,20.91,26.36,40.91,2.73,48.18,59.09,77.27,59.09,88.18,82.73,80.91,70.00,99.09,70.00
54067,44.55,26.36,30.00,44.55,48.18,22.73,71.82,82.73,50.00,86.36,53.64,59.09,51.82,60.91,75.45,60.91,71.82
54069,91.82,13.64,22.73,11.82,84.55,79.09,26.36,80.91,82.73,4.55,71.82,73.64,57.27,35.45,37.27,80.91,15.45
54071,35.45,37.27,75.45,2.73,71.82,62.73,97.27,93.64,37.27,57.27,6.36,68.18,80.91,6.36,55.45,33.64,28.18
54073,59.09,15.45,62.73,77.27,28.18,88.18,95.45,24.55,97.27,80.91,80.91,4.55,44.55,55.45,79.09,31.82,82.73
54075,26.36,39.09,79.09,6.36,82.73,95.45,82.73,33.64,8.18,93.64,24.55,37.27,10.00,2.73,73.64,57.27,95.45
54077,73.64,80.91,88.18,64.55,88.18,19.09,50.00,42.73,62.73,28.18,64.55,42.73,68.18,97.27,48.18,46.36,55.45
54079,90.00,2.73,10.00,82.73,31.82,44.55,91.82,0.91,19.09,82.73,37.27,15.45,64.55,66.36,30.00,77.27,4.55
54081,80.91,95.45,19.09,28.18,79.09,15.45,59.09,19.09,10.00,68.18,84.55,90.00,88.18,86.36,91.82,37.27,39.09
54083,50.00,48.18,60.91,51.82,91.82,31.82,20.91,57.27,66.36,95.45,17.27,40.91,66.36,79.09,31.82,64.55,11.82
54085,20.91,35.45,73.64,53.64,40.91,93.64,28.18,17.27,11.82,17.27,42.73,11.82,40.91,57.27,33.64,20.91,77.27
54087,15.45,51.82,48.18,84.55,37.27,24.55,57.27,79.09,84.55,24.55,68.18,64.55,33.64,4.55,0.91,0.91,88.18
54089,46.36,71.82,13.64,0.91,33.64,6.36,68.18,62.73,73.64,22.73,77.27,91.82,2.73,15.45,24.55,30.00,8.18
54091,70.00,30.00,55.45,68.18,39.09,75.45,31.82,75.45,88.18,84.55,33.64,82.73,84.55,13.64,80.91,55.45,2.73
54093,51.82,4.55,70.00,15.45,42.73,68.18,73.64,88.18,75.45,90.00,55.45,95.45,60.91,33.64,82.73,2.73,17.27
54095,30.00,28.18,77.27,60.91,77.27,86.36,8.18,6.36,6.36,13.64,90.00,30.00,6.36,24.55,97.27,73.64,22.73
54097,48.18,46.36,66.36,86.36,62.73,51.82,44.55,22.73,46.36,46.36,8.18,31.82,4.55,75.45,2.73,13.64,13.64
54099,22.73,53.64,17.27,71.82,17.27,57.27,37.27,31.82,15.45,51.82,79.09,17.27,55.45,51.82,6.36,75.45,60.91
54101,0.91,62.73,51.82,26.36,53.64,71.82,30.00,95.45,79.09,60.91,19.09,24.55,50.00,42.73,20.91,95.45,40.91
54103,33.64,17.27,64.55,66.36,22.73,84.55,51.82,71.82,48.18,6.36,31.82,33.64,73.64,50.00,93.64,44.55,46.36
54105,31.82,31.82,57.27,70.00,99.09,37.27,77.27,28.18,42.73,71.82,75.45,28.18,86.36,70.00,11.82,10.00,59.09
54107,71.82,11.82,11.82,37.27,46.36,80.91,15.45,44.55,53.64,30.00,88.18,44.55,22.73,17.27,35.45,79.09,62.73
54109,10.00,70.00,31.82,48.18,10.00,60.91,42.73,30.00,35.45,91.82,35.45,79.09,48.18,91.82,10.00,19.09,66.36
