tract,State,County,Latitude,Longitude,RUCA Urbanicity,% Insured,Population,Population Density,Avg Household Size,Unemployment,Median Age,% Male,% White,% Black,% Native,% Asian,% Hawaiian/PI,% Other Race,% Multi-race,% Hispanic/Latino,% Ed. < HS,% Ed. HS Grad.,% Ed. College Grad.,Median Income,% Poverty,MH Provider Count,MH Provider per 1000 Pop.
24001000100,MD,Allegany County,,,2,89.9,3590,19.1059073975519,2.37,12.6,47.8,49.3,96.2,2.5,0.0,0.9,0.0,0.0,0.4,1.8,10.7,50.0,39.2,23665.0,9.8,0,0
24001000200,MD,Allegany County,,,2,94.6,4069,84.5945945945946,2.33,5.9,42.7,66.9,71.4,22.6,0.8,1.1,0.5,2.4,1.4,6.0,13.2,47.8,39.0,20246.0,14.9,0,0
24001000300,MD,Allegany County,,,1,93.7,2596,298.390804597701,2.35,16.3,45.9,52.8,96.4,1.8,0.2,0.0,0.0,1.0,0.6,2.5,11.6,40.3,48.1,22173.0,24.1,0,0
24001000400,MD,Allegany County,39.6537676,-78.7587199,1,91.6,2798,756.216216216216,2.4,6.1,42.5,48.2,89.9,7.2,0.0,0.3,0.0,0.0,2.7,1.0,7.1,37.9,55.0,24327.0,11.9,1,0.357398141529664
24001000500,MD,Allegany County,39.6544666125,-78.7356488875,1,87.9,2401,545.681818181818,2.11,19.9,47.4,53.2,77.1,14.9,0.3,0.0,0.0,0.0,7.7,0.7,9.8,44.3,46.0,16741.0,30.6,8,3.33194502290712
24001000600,MD,Allegany County,39.64109036,-78.75515112,1,97.1,2921,1825.625,2.27,9.0,38.9,47.9,95.0,3.7,0.3,0.7,0.0,0.0,0.3,0.8,6.0,43.9,50.1,19576.0,17.3,5,1.71174255391989
24001000700,MD,Allegany County,,,1,92.3,3514,5020.0,2.25,19.4,37.6,45.3,90.1,6.7,0.0,0.0,0.0,0.0,3.2,3.6,10.2,50.7,39.1,15931.0,32.5,0,0
24001000800,MD,Allegany County,,,1,92.5,2366,1820.0,2.62,10.6,32.4,49.0,87.0,4.5,0.0,0.4,0.0,1.2,6.8,3.9,18.7,45.8,35.6,17724.0,37.3,0,0
24001001000,MD,Allegany County,39.653285792,-78.762963031,1,86.4,2411,6027.5,1.94,7.2,49.2,52.2,90.8,8.0,0.1,0.4,0.0,0.0,0.7,3.2,16.4,41.2,42.4,16596.0,18.0,10,4.14765657403567
24001001100,MD,Allegany County,39.6508887666667,-78.7708390666667,1,88.7,1367,4556.66666666667,1.93,5.4,49.1,46.6,91.1,6.9,0.3,0.6,0.0,0.0,1.0,0.0,8.8,35.8,55.4,21265.0,18.9,3,2.1945866861741
24001001200,MD,Allegany County,39.6486542444444,-78.7980633111111,1,94.6,3116,1112.85714285714,2.43,2.3,45.7,43.5,91.8,2.5,0.0,3.4,0.1,0.0,2.1,0.2,5.7,26.2,68.1,29701.0,9.8,9,2.88831835686778
24001001300,MD,Allegany County,,,1,95.6,5134,1387.56756756757,2.19,5.0,40.0,80.9,53.4,41.9,0.6,0.0,0.0,0.0,4.0,3.1,23.1,40.6,36.4,18023.0,16.1,0,0
24001001401,MD,Allegany County,,,1,92.9,3859,262.517006802721,2.4,4.9,49.0,52.1,97.2,0.3,0.1,1.1,0.0,0.2,1.1,0.8,8.4,24.7,67.0,30954.0,8.2,0,0
24001001402,MD,Allegany County,,,1,95.1,1517,1379.09090909091,2.22,7.2,44.0,54.1,94.3,4.4,0.0,0.0,0.0,0.0,1.3,1.3,8.3,35.4,56.3,25568.0,10.9,0,0
24001001502,MD,Allegany County,,,1,94.6,2000,219.78021978022,2.44,10.7,47.4,48.7,96.3,2.4,0.1,0.0,0.0,0.0,1.2,1.2,15.2,54.2,30.6,21845.0,12.1,0,0
24001001503,MD,Allegany County,,,2,89.2,1965,170.869565217391,2.56,12.5,40.8,48.8,98.2,1.0,0.0,0.0,0.0,0.4,0.4,0.4,10.3,47.7,42.0,23685.0,5.9,0,0
24001001600,MD,Allegany County,39.6748678,-78.9281453,1,93.2,1726,215.75,2.38,5.7,46.6,51.7,98.6,0.6,0.2,0.0,0.0,0.0,0.6,0.7,9.9,43.2,46.9,25552.0,16.6,1,0.579374275782155
24001001700,MD,Allegany County,,,1,94.1,4987,392.677165354331,2.25,5.7,40.4,46.6,94.3,1.0,0.0,1.3,0.0,0.0,3.3,2.1,10.6,38.7,50.7,24219.0,18.6,0,0
24001001800,MD,Allegany County,39.64833,-78.93252,1,95.2,4900,1361.11111111111,1.95,13.3,21.6,48.6,70.2,23.9,0.2,3.4,0.0,0.0,2.4,1.8,9.7,31.0,59.3,8388.0,32.1,1,0.204081632653061
24001001900,MD,Allegany County,,,2,95.6,3010,120.883534136546,2.59,9.8,40.5,48.6,98.0,0.4,0.0,0.1,0.3,0.0,1.1,0.0,5.7,50.3,44.0,26510.0,12.5,0,0
24001002000,MD,Allegany County,,,1,95.1,5780,215.671641791045,2.56,8.8,45.6,47.4,97.6,0.7,0.0,1.1,0.0,0.0,0.6,0.0,5.2,39.9,54.9,21267.0,16.1,0,0
24001002100,MD,Allegany County,,,2,92.6,3305,134.349593495935,2.4,15.4,44.5,52.0,99.1,0.0,0.2,0.1,0.0,0.0,0.7,1.2,9.1,51.1,39.9,22458.0,18.5,0,0
24001002200,MD,Allegany County,,,2,94.5,3728,158.63829787234,2.33,6.8,45.6,46.9,98.7,0.2,0.1,0.0,0.0,0.0,1.0,0.1,11.0,47.7,41.2,22448.0,10.2,0,0
24003701101,MD,Anne Arundel County,38.941291,-76.5771275,1,98.0,4000,1428.57142857143,2.74,5.2,45.6,50.6,97.5,1.7,0.0,0.6,0.0,0.0,0.3,3.5,4.6,18.4,77.0,49228.0,5.1,2,0.5
24003701102,MD,Anne Arundel County,,,1,92.9,7734,4070.52631578947,2.48,4.7,38.4,50.8,91.6,1.4,0.2,2.2,0.0,0.0,4.6,7.8,4.8,25.3,69.9,45343.0,6.0,0,0
24003701200,MD,Anne Arundel County,38.883413,-76.507052,1,93.4,9048,1615.71428571429,2.93,3.7,42.3,49.8,94.6,1.5,0.0,0.0,0.0,0.0,4.0,2.4,3.3,28.4,68.3,50349.0,1.3,2,0.2210433244916
24003701300,MD,Anne Arundel County,38.864628,-76.63904,2,97.4,7833,200.846153846154,2.9,4.9,45.4,50.0,86.7,7.0,0.0,1.3,0.0,0.4,4.6,3.1,5.7,26.3,67.9,44301.0,6.6,1,0.127665007021575
24003701400,MD,Anne Arundel County,,,1,97.0,3444,161.69014084507,2.61,4.0,50.3,51.4,88.0,10.5,0.0,0.0,0.0,0.0,1.5,0.9,6.9,27.5,65.6,49493.0,5.7,0,0
24003702100,MD,Anne Arundel County,39.0398743333333,-76.5726733333333,1,96.3,7308,840.0,2.8,7.0,41.9,48.9,88.1,6.2,0.0,1.3,0.0,0.0,4.4,6.6,3.8,20.2,76.0,52889.0,7.3,3,0.410509031198686
24003702204,MD,Anne Arundel County,38.996916,-76.692075,1,98.8,4217,4217.0,2.72,5.5,40.5,51.4,84.3,4.9,0.0,6.8,0.0,0.8,3.3,6.8,2.2,13.0,84.9,64214.0,2.2,2,0.474270808631729
24003702205,MD,Anne Arundel County,39.0108099545455,-76.6979242090909,1,95.4,5584,3102.22222222222,2.36,3.7,39.7,47.9,78.8,14.7,0.3,0.6,0.0,0.0,5.6,0.7,2.2,15.9,82.0,60587.0,2.9,11,1.96991404011461
24003702206,MD,Anne Arundel County,39.013134,-76.66781,1,96.9,6503,4645.0,2.71,4.3,36.8,48.8,69.7,15.8,0.0,1.6,0.0,1.9,11.1,5.5,5.3,19.3,75.4,51507.0,2.3,1,0.153775180685837
24003702208,MD,Anne Arundel County,39.0333035,-76.679005,1,96.9,6865,4290.625,2.61,2.5,34.3,47.5,70.1,19.2,0.0,8.8,0.0,0.8,1.2,4.7,2.4,14.8,82.8,56452.0,2.7,2,0.291332847778587
