tract,PC#1,PC#2,PC#3,PC#4,PC#5,PC#6,PC#7,PC#8,PC#9,PC#10,PC#11,PC#12,PC#13,PC#14,PC#15,PC#16,PC#17,PC#18,PC#19
16001000100,73.57,74.24,96.46,3.87,46.63,88.72,46.30,2.86,1.52,25.76,96.13,89.73,22.39,87.71,70.20,66.50,8.25,2.86,10.61
16001000201,1.85,55.72,49.33,70.20,19.36,75.59,51.01,21.04,89.73,58.75,96.46,97.14,35.19,72.56,18.01,41.25,42.93,7.24,56.73
16001000202,0.84,63.13,27.44,87.37,2.86,73.23,68.52,17.00,71.21,68.52,89.39,98.15,39.56,68.18,74.58,96.46,83.33,28.45,46.63
16001000302,25.08,80.30,59.43,27.10,19.02,46.63,29.80,19.70,5.56,79.63,49.33,19.02,60.44,8.92,18.35,2.86,26.43,80.98,93.43
16001000303,12.29,63.80,60.77,15.66,44.61,27.10,2.86,25.08,53.70,9.60,87.37,89.39,97.81,18.35,41.25,20.03,80.64,15.99,47.64
16001000304,17.34,94.44,71.21,11.62,4.55,94.78,11.62,55.72,98.48,45.96,40.57,49.33,43.60,69.19,65.82,33.84,30.81,3.20,28.79
16001000400,41.58,91.75,80.98,13.30,28.45,70.88,27.10,24.75,5.22,46.63,35.52,39.56,35.52,85.35,27.78,24.75,69.19,89.06,97.47
16001000500,17.00,82.66,60.10,17.68,44.95,7.24,9.26,15.66,53.37,84.34,47.64,68.18,51.01,67.51,20.71,65.15,39.23,88.72,80.98
16001000600,5.89,85.02,45.62,16.33,24.75,30.13,13.30,1.85,24.41,79.97,10.61,40.91,80.30,30.47,4.55,72.90,52.02,23.40,10.27
16001000701,2.19,71.21,45.96,28.45,23.74,62.46,21.72,2.19,59.43,58.08,32.15,83.67,81.65,34.85,15.99,48.65,51.35,4.55,50.34
16001000702,0.17,74.58,17.68,96.13,1.18,51.68,64.81,31.48,25.42,81.31,87.71,95.45,44.95,48.65,93.77,99.49,53.03,69.19,68.18
16001000802,8.25,91.08,44.95,31.48,20.03,21.38,14.65,24.41,8.92,80.30,14.65,31.48,62.46,57.07,26.43,67.51,36.53,13.64,70.20
16001000803,5.56,81.31,45.29,39.56,21.38,8.59,8.59,18.35,38.89,84.01,44.95,65.82,71.55,27.10,33.50,67.85,48.99,79.63,94.11
16001000804,24.41,98.82,92.76,4.88,6.57,98.15,25.42,37.54,17.34,69.87,42.26,44.95,29.80,34.18,21.72,40.24,42.26,24.07,69.53
16001000805,0.51,76.60,25.42,81.99,3.20,39.23,56.40,12.96,10.27,96.13,79.63,85.35,55.72,22.39,91.41,97.81,23.74,76.60,13.97
16001000900,72.22,98.15,86.70,1.52,85.02,92.42,75.25,10.94,3.54,25.08,13.97,87.71,99.16,35.86,30.81,37.21,36.87,11.28,20.37
16001001000,36.87,84.34,66.16,15.32,64.81,20.71,17.68,20.71,7.91,36.87,32.83,68.52,53.70,93.43,3.54,31.82,60.77,81.99,44.61
16001001100,93.10,55.39,92.42,9.93,58.75,22.39,61.78,20.03,36.53,60.44,98.82,64.14,21.04,72.90,39.23,54.04,97.14,37.88,93.10
16001001201,13.64,67.85,71.89,38.22,57.41,7.91,21.04,13.97,87.71,95.45,93.43,87.37,24.75,36.53,0.84,17.34,20.37,73.91,90.40
16001001202,38.89,93.77,90.40,3.20,30.81,79.97,6.57,41.25,92.09,63.80,78.62,20.03,34.18,71.89,22.05,51.35,85.02,26.09,20.71
16001001400,57.07,79.97,79.97,7.24,25.42,40.57,4.55,3.20,2.53,10.61,16.67,49.66,74.58,85.69,72.56,69.53,67.17,68.52,17.68
16001001500,18.01,73.91,51.01,30.13,55.05,61.78,66.84,1.52,21.72,37.54,27.10,95.79,94.11,54.71,8.25,50.67,39.90,44.95,86.03
16001001600,66.16,83.33,72.56,25.42,13.97,49.66,45.62,17.34,2.86,76.94,42.59,22.39,40.91,53.37,87.71,35.86,70.20,57.74,99.16
16001001700,76.60,99.16,95.79,0.84,3.87,97.14,38.55,40.57,78.62,97.14,11.28,7.91,0.17,97.47,97.14,60.77,89.39,62.12,5.89
16001001800,28.11,64.14,60.44,28.79,41.92,34.51,14.98,11.95,58.08,41.58,45.62,75.25,78.96,83.67,82.66,18.69,37.21,51.35,91.41
16001001900,41.92,81.99,53.03,12.29,25.08,27.44,19.02,26.77,55.05,71.21,60.10,59.76,60.10,29.80,43.27,73.23,4.88,15.32,83.67
16001002000,83.33,97.47,72.90,0.17,1.52,99.16,1.18,98.48,99.83,0.51,69.53,95.12,26.09,28.79,51.35,6.90,0.84,99.83,79.97
16001002100,9.93,42.26,50.34,77.61,7.24,35.19,57.74,46.63,10.94,73.57,97.47,11.62,26.43,73.91,73.91,39.23,40.57,47.31,62.46
16001002221,25.42,75.93,42.26,43.27,12.96,78.96,57.07,41.92,84.34,53.03,36.87,45.62,68.18,57.41,72.90,3.87,7.91,52.69,85.69
16001002222,13.97,94.78,39.90,59.43,3.54,56.40,60.10,72.22,8.59,76.26,35.86,58.08,59.09,57.74,85.02,88.38,65.49,54.38,70.88
16001002223,6.90,86.36,34.85,66.50,12.29,36.87,41.92,80.64,95.12,81.65,40.24,22.05,63.47,76.26,60.77,54.71,31.82,43.60,63.47
16001002224,24.07,81.65,42.93,88.72,4.88,57.07,80.64,33.16,81.31,67.85,21.38,43.60,75.93,83.00,71.89,83.67,71.21,27.10,58.42
16001002302,79.63,89.73,50.00,6.90,5.22,62.12,50.34,39.90,26.09,77.27,9.60,46.97,3.20,82.32,31.14,3.20,29.12,88.05,19.36
16001002310,52.69,91.41,46.30,47.64,9.26,19.36,54.04,53.03,4.55,90.07,17.34,21.04,44.61,26.09,16.67,6.23,26.09,35.19,81.99
16001002312,42.26,93.10,41.92,5.89,18.35,8.92,1.52,74.92,90.40,38.22,9.93,8.92,88.05,37.54,23.74,43.27,50.00,20.71,47.31
16001002313,38.22,94.11,56.06,36.87,1.85,66.84,30.47,91.75,1.18,77.95,53.03,0.17,27.44,11.95,39.56,1.18,19.02,99.49,11.62
16001002410,15.32,68.86,36.87,53.70,31.82,29.46,60.77,7.91,64.14,83.33,12.96,55.39,93.43,48.32,54.38,11.95,72.56,60.10,55.05
16001002411,16.33,85.35,52.36,53.37,30.47,72.56,90.40,4.55,36.87,93.77,12.63,28.79,94.44,10.94,13.97,14.31,45.62,14.98,67.51
16001002412,10.61,45.29,47.31,26.09,38.55,11.28,8.92,32.49,15.99,15.32,86.03,51.35,61.78,79.29,19.36,19.70,21.38,85.35,57.07
16001002413,47.31,97.14,63.80,14.31,13.30,82.32,22.05,94.11,99.49,88.72,19.02,52.36,21.72,90.40,79.97,4.21,78.28,38.55,52.02
16001010100,1.18,62.12,12.63,95.12,2.53,14.65,63.13,46.97,83.67,78.62,88.72,96.80,16.67,95.79,89.06,99.83,37.88,81.65,80.30
16001010201,8.92,48.65,22.73,82.32,29.12,31.14,74.24,49.66,56.40,19.70,50.67,89.06,94.78,84.34,24.07,58.75,62.46,61.78,51.35
16001010221,2.86,36.20,30.47,84.01,6.23,47.31,81.99,6.90,68.86,82.66,90.07,91.08,56.06,65.15,87.04,85.35,33.84,30.47,48.32
16001010223,7.91,46.63,38.89,38.55,15.32,43.94,15.99,6.23,76.26,45.29,52.69,88.38,59.43,51.35,43.60,6.57,65.82,19.70,68.86
16001010224,1.52,60.44,14.31,84.68,8.59,18.69,70.88,14.98,72.90,91.41,37.21,92.09,77.27,55.05,86.36,84.34,14.98,63.80,77.27
16001010225,8.59,47.98,47.64,58.42,52.02,26.77,66.16,9.60,73.23,76.60,86.36,91.75,70.88,48.99,18.69,17.68,50.34,28.79,65.49
16001010313,4.21,69.19,15.99,76.26,8.92,18.35,48.99,79.29,70.54,49.33,66.16,76.26,76.26,76.94,67.85,83.00,11.28,6.90,56.06
16001010321,33.84,75.25,41.25,32.83,10.61,25.08,20.03,76.26,4.21,22.73,65.15,25.76,58.42,61.78,58.75,18.01,68.52,72.90,35.52
16001010322,61.45,73.23,59.76,14.65,69.87,15.66,68.86,25.76,91.08,85.69,71.89,30.47,54.71,78.96,3.87,62.12,56.06,92.76,5.22
16001010331,3.54,89.06,32.49,67.17,18.69,23.74,64.48,85.69,14.98,87.71,57.07,66.84,58.08,75.25,62.12,63.47,12.63,39.23,31.14
16001010332,15.66,89.39,39.56,54.71,29.46,17.00,65.15,23.06,27.44,89.73,8.59,66.50,73.23,81.65,34.85,72.22,71.89,73.57,71.21
16001010333,19.36,87.04,46.63,20.37,24.41,41.92,10.61,67.17,99.16,52.69,31.48,50.34,46.63,96.13,38.89,78.96,61.78,83.33,37.54
16001010334,20.37,54.71,33.16,60.10,27.10,54.04,86.70,10.61,93.77,33.50,59.09,88.05,81.99,89.73,30.13,95.45,49.66,67.85,51.01
16001010335,20.71,59.09,31.14,71.21,35.52,49.33,93.77,48.65,43.27,50.34,33.50,28.11,91.08,87.04,53.03,9.60,15.32,95.79,60.10
16001010401,38.55,63.47,36.53,75.59,70.20,26.09,95.79,67.85,45.62,58.42,53.37,87.04,70.54,99.83,60.44,76.60,56.73,93.10,90.07
16001010402,37.21,78.28,29.80,74.58,21.72,43.27,94.78,36.87,17.00,66.84,15.66,30.13,78.62,79.97,48.32,37.88,22.73,91.08,96.46
16001010501,83.00,19.70,70.54,88.05,11.62,99.49,99.83,0.17,97.14,87.37,58.42,4.88,89.73,33.84,46.63,4.55,56.40,98.48,4.55
16001010503,3.20,97.81,35.52,94.44,0.17,54.38,55.72,99.16,0.17,85.02,88.05,0.51,36.20,14.65,95.45,50.34,46.63,54.71,60.77
16001010504,5.22,98.48,52.69,64.81,0.84,91.75,42.26,96.13,25.76,86.70,73.57,13.64,27.10,37.88,89.39,93.77,92.42,24.41,9.26
16003950100,53.37,4.55,76.60,64.48,43.60,86.03,39.23,49.33,45.29,93.43,71.21,65.15,48.32,54.38,2.53,56.06,38.55,99.16,49.33
16003950200,56.06,1.85,89.06,39.90,71.21,85.69,33.50,61.45,59.09,96.80,93.10,35.86,45.96,91.41,67.51,28.45,54.38,36.20,67.85
16005000200,7.58,48.32,11.62,95.45,67.85,81.65,63.47,15.99,84.01,35.52,85.02,83.00,37.54,52.02,92.09,63.13,60.44,45.62,24.75
16005000300,47.64,77.27,28.11,82.66,72.22,53.03,65.82,21.38,30.47,50.67,78.28,18.69,26.77,15.66,44.61,73.91,43.60,23.06,72.56
16005000400,30.13,80.98,13.64,92.09,73.23,28.79,57.41,55.39,32.15,39.56,57.41,44.61,34.51,64.48,80.30,84.01,40.91,82.32,64.14
16005000500,22.39,41.58,6.90,96.80,74.58,37.21,69.87,27.44,88.72,30.81,74.58,36.87,52.02,53.70,96.13,45.96,26.77,5.22,29.80
16005000600,65.49,82.32,48.65,73.23,60.44,96.13,89.06,34.51,1.85,9.26,90.40,2.53,43.94,22.73,99.16,42.59,1.18,96.13,30.81
16005000700,54.04,95.45,54.38,29.80,65.15,96.80,23.74,38.55,36.20,5.22,75.25,11.95,15.99,3.87,2.86,8.25,3.54,66.50,29.12
16005000800,82.66,96.46,74.24,10.61,82.66,98.48,46.63,28.11,6.57,0.17,55.05,78.28,82.66,63.47,99.49,77.27,22.39,2.53,87.71
16005000900,85.69,95.79,95.12,4.21,98.48,90.07,51.68,3.87,96.80,87.04,89.06,44.28,19.36,40.57,71.55,97.47,1.85,10.61,52.69
16005001000,51.35,92.76,57.74,64.14,94.44,85.35,87.04,0.84,11.95,84.68,22.73,26.77,39.90,28.45,22.39,45.62,46.97,87.04,17.00
16005001101,15.99,84.68,11.95,91.41,79.97,29.12,50.67,44.61,24.75,60.77,49.66,76.60,15.32,44.61,20.37,7.58,75.25,10.27,26.43
16005001102,53.03,88.05,40.24,68.52,91.75,72.22,33.84,42.26,87.04,6.23,79.29,90.07,30.47,39.56,11.62,25.76,85.35,18.35,65.82
16005001200,44.61,88.72,33.84,57.41,94.78,23.40,11.28,83.33,97.81,24.75,84.01,23.40,62.12,22.05,50.00,65.82,9.60,40.91,36.87
16005001300,74.58,84.01,48.32,70.54,92.09,36.53,67.17,4.21,74.92,86.03,45.29,2.86,55.05,4.55,17.68,62.79,96.80,44.61,15.32
16005001400,63.47,83.00,56.73,71.55,93.10,17.68,2.53,45.29,59.76,1.52,80.98,7.24,59.76,34.51,14.98,70.20,42.59,54.04,15.66
16005001500,69.53,66.16,53.70,72.90,96.13,45.96,72.56,25.42,57.74,63.13,93.77,9.26,19.70,43.60,46.97,37.54,34.18,86.70,79.29
16005001601,63.80,86.03,61.11,8.25,97.14,51.35,3.87,11.62,13.97,2.53,74.92,33.16,28.79,84.68,36.53,57.07,78.62,97.14,2.53
16005001602,55.39,78.62,46.97,76.60,91.08,58.75,54.71,9.26,21.38,20.37,83.33,53.37,36.87,59.43,66.50,92.09,32.15,96.80,83.33
16005001603,56.40,66.84,54.71,59.76,96.80,16.33,7.24,29.12,27.10,2.19,91.75,30.81,12.96,92.76,8.59,49.33,51.01,74.24,41.25
16005001700,6.23,47.31,18.35,86.70,58.08,69.87,30.81,8.92,47.64,35.19,92.42,68.86,34.85,31.14,97.47,34.51,52.36,9.93,18.35
16005001900,42.93,35.86,25.76,78.62,90.40,44.61,16.33,35.19,71.55,17.34,95.45,7.58,19.02,88.72,93.10,25.08,43.94,56.73,53.70
16005940000,98.15,90.74,99.49,99.49,26.77,38.55,22.39,4.88,81.65,57.74,18.01,77.61,42.59,59.09,12.29,5.22,7.24,34.51,14.98
16005981800,10.27,54.04,1.85,93.43,83.00,68.18,78.96,23.40,62.79,7.91,50.34,84.34,62.79,91.08,88.05,89.06,18.69,55.05,18.69
16007950100,50.67,29.80,19.70,79.63,95.12,95.79,4.88,69.53,29.12,32.49,65.49,16.33,73.57,74.58,49.66,88.72,68.86,91.41,34.18
16007950200,32.49,17.68,19.02,87.04,90.74,93.77,3.20,64.48,67.85,68.18,85.69,15.66,67.17,47.64,42.59,69.87,79.97,95.45,11.28
