% Asian,Avg Household Size,Latitude,Longitude,% Poverty,% Black,% Ed. Bachelors,% Ed. Grad. Degree,% Ed. HS Grad.,% Ed. < HS,% Ed. Some College,% Hawaiian/PI,% Hispanic/Latino,% Male,Median Age,Median Income,% Multi-race,% Native,% Other Race,MH Provider Count,MH Provider per 1000 Pop.,Population,tract,Unemployment,% White
0.5,3.18,,,7.8,19.7,11.1,3.8,40.7,19.4,24.9,0.0,8.2,55.2,42.0,20113.0,0.2,1.2,5.0,0,0,5966,48001950100,9.2,73.4
0.2,4.51,,,3.6,38.0,1.2,0.5,34.9,36.4,27.0,0.0,28.2,97.9,35.8,9771.0,0.2,0.1,0.4,0,0,7272,48001950401,17.0,61.1
0.4,2.65,,,10.2,39.8,1.3,0.0,25.7,43.2,29.8,0.0,26.2,93.3,38.5,40556.0,0.5,0.5,0.0,0,0,1944,48001950402,0.0,58.8
0.2,3.07,,,23.3,29.3,5.9,4.6,46.0,22.1,21.5,0.0,24.6,46.5,34.3,17689.0,0.8,0.4,6.7,0,0,4285,48001950500,12.9,62.6
2.0,3.11,,,20.6,26.4,8.0,0.5,37.0,24.0,30.4,0.0,19.9,50.2,31.1,19113.0,3.6,2.6,0.6,0,0,5715,48001950600,7.4,64.9
0.6,4.51,31.74467665,-95.63056155,38.1,51.5,10.5,2.1,41.9,19.9,25.5,0.0,16.9,53.9,32.2,15331.0,4.5,0.4,6.0,2,0.526870389884089,3796,48001950700,15.4,37.0
2.8,2.33,,,21.6,19.9,17.7,6.5,34.0,8.1,33.6,0.0,6.5,44.5,40.6,28087.0,0.8,0.0,0.0,0,0,4163,48001950800,7.2,76.5
0.4,3.22,31.735418,-95.631,13.4,7.7,7.4,2.3,47.1,15.9,27.1,0.0,15.8,56.4,44.6,27786.0,1.9,0.5,1.6,1,0.160230732254446,6241,48001950901,1.0,88.0
0.0,2.82,31.73456279,-95.53314845,22.1,10.6,11.1,4.8,33.7,15.0,35.4,0.1,17.4,50.1,45.2,22337.0,0.9,0.3,2.9,1,0.176991150442478,5650,48001950902,3.5,85.2
0.1,2.89,,,15.0,7.0,8.7,3.7,40.1,18.8,28.6,0.0,4.6,50.7,39.7,20068.0,1.1,1.4,0.7,0,0,7442,48001951000,9.3,89.7
0.0,3.01,,,19.1,9.6,13.5,3.6,36.9,13.1,32.9,1.1,10.2,51.6,40.5,27757.0,0.8,0.0,1.6,0,0,5718,48001951100,6.9,86.8
0.4,2.77,,,14.3,1.5,23.3,3.4,17.2,14.7,41.4,0.0,32.1,52.5,39.9,28602.0,0.7,0.0,4.5,0,0,1697,48003950100,5.8,92.9
1.6,2.59,,,13.0,1.4,10.6,4.4,30.3,22.9,31.8,0.0,46.6,49.3,34.7,30179.0,2.3,0.5,9.2,0,0,6354,48003950200,2.0,85.1
0.0,2.88,,,28.1,2.1,4.7,0.0,28.7,38.0,28.6,0.0,58.7,47.2,27.6,19308.0,1.5,8.2,7.1,0,0,4010,48003950300,8.4,81.1
0.0,3.19,,,11.3,0.4,12.5,2.1,29.9,30.7,24.7,0.0,46.7,54.4,37.1,25756.0,5.0,0.6,1.1,0,0,2439,48003950400,6.6,92.9
0.0,2.67,,,21.8,7.8,7.3,2.0,32.8,22.7,35.3,0.0,13.8,51.5,38.6,22277.0,1.5,0.5,1.2,0,0,5984,48005000101,3.2,88.9
7.0,3.15,31.3396745,-94.82172651,9.3,3.4,18.9,6.9,26.7,12.7,34.9,0.0,14.0,43.9,29.6,25479.0,0.8,1.4,3.2,2,0.387822377351173,5157,48005000102,2.8,84.2
0.0,2.67,,,20.8,8.5,7.5,3.8,30.3,29.9,28.5,0.0,18.0,49.5,35.6,18239.0,1.6,0.0,5.7,0,0,6568,48005000200,5.2,84.2
0.0,2.71,,,13.3,13.7,13.3,3.0,32.7,14.0,37.0,0.0,15.4,49.3,39.7,25419.0,2.6,0.0,2.5,0,0,5509,48005000301,8.5,81.3
0.0,2.85,,,6.5,7.4,13.7,9.8,21.5,13.1,41.9,0.0,15.1,43.0,33.6,24471.0,0.0,0.0,2.5,0,0,4454,48005000302,4.2,90.1
0.1,2.38,31.3425666409091,-94.7526717045455,26.4,25.4,6.3,3.4,29.5,28.8,32.0,0.0,19.1,49.9,36.9,17638.0,2.6,0.0,5.5,11,2.06262891430714,5333,48005000400,10.2,66.4
0.2,2.31,,,32.5,65.8,1.4,5.2,35.7,33.0,24.7,0.0,22.2,49.8,39.8,16748.0,0.0,0.0,5.0,0,0,4065,48005000500,8.2,29.1
0.6,3.28,31.352013,-94.69788,33.6,27.3,3.5,1.1,28.7,43.4,23.4,0.0,46.4,52.0,30.6,17478.0,1.6,0.1,15.6,5,0.736485491235823,6789,48005000600,10.7,54.7
