tract,PC#1,PC#2,PC#3,PC#4,PC#5,PC#6,PC#7,PC#8,PC#9,PC#10,PC#11,PC#12,PC#13,PC#14,PC#15,PC#16,PC#17,PC#18,PC#19
12001000200,78.96,11.27,27.14,58.66,96.25,1.97,90.63,85.42,51.76,97.75,99.89,66.54,0.88,7.63,99.92,99.82,50.84,95.62,84.53
12001000301,68.01,8.55,11.80,57.26,79.18,45.15,93.26,75.80,40.38,74.14,98.71,66.20,42.50,7.73,40.88,78.45,84.15,32.16,61.12
12001000302,62.37,8.81,24.03,71.27,92.56,79.49,79.80,79.47,97.58,96.30,63.60,34.42,81.52,52.99,7.10,38.28,25.57,12.38,83.66
12001000400,74.98,6.91,10.86,78.62,50.94,33.41,36.88,66.23,7.73,41.66,83.23,74.93,11.85,19.33,37.46,90.25,19.21,61.26,92.01
12001000500,48.79,13.68,31.46,71.05,82.17,9.85,92.20,69.10,27.45,96.93,99.60,79.68,59.65,25.52,34.06,84.39,92.61,25.11,35.51
12001000600,88.41,1.39,1.87,95.99,47.11,57.76,10.96,82.41,25.74,88.78,41.75,68.81,43.54,53.01,13.18,43.37,11.42,66.78,60.88
12001000700,83.81,3.05,14.48,89.93,30.85,47.13,37.77,44.07,24.87,24.49,19.42,58.22,33.92,32.69,7.25,86.10,18.07,25.52,11.90
12001000806,60.01,18.89,10.21,5.03,87.59,2.62,99.58,76.21,98.59,57.55,99.10,62.44,50.10,5.87,68.40,91.21,77.25,33.96,15.01
12001000808,55.45,31.26,0.25,2.95,97.48,4.26,96.06,96.01,99.67,25.62,95.84,48.36,72.88,13.25,73.85,99.65,60.59,64.40,56.66
12001000809,43.18,13.97,12.14,41.87,96.32,87.93,92.92,91.69,96.93,22.17,89.93,86.39,21.96,10.67,26.18,30.03,92.99,17.06,1.31
12001000901,56.17,13.44,5.53,23.04,96.49,3.29,99.00,92.56,99.00,98.64,98.78,78.16,0.28,0.04,93.60,13.59,99.96,25.77,8.23
12001001000,50.48,21.18,44.72,9.10,85.64,14.31,93.98,29.24,14.43,76.26,99.96,91.43,2.62,0.59,98.78,99.67,99.60,45.20,18.24
12001001100,7.54,42.55,19.06,35.44,77.03,49.66,46.48,82.99,45.59,23.33,54.41,66.49,25.19,82.19,20.12,89.59,68.54,24.39,50.00
12001001201,14.34,46.41,6.50,14.82,91.57,61.31,37.97,92.27,90.22,12.29,40.28,39.80,18.17,61.24,29.07,47.32,80.36,14.02,70.18
12001001202,19.98,33.48,21.50,18.53,90.13,92.68,78.19,80.14,57.76,27.94,66.25,55.47,30.95,53.59,9.15,49.59,36.91,69.05,70.11
12001001203,47.83,19.30,4.91,13.47,95.04,84.99,87.35,90.85,96.01,39.39,95.60,50.05,52.36,51.88,58.01,81.61,66.42,52.15,39.90
12001001400,83.30,3.63,32.73,22.44,5.65,80.29,93.77,0.98,9.87,8.43,33.58,79.42,0.66,23.33,45.83,63.46,67.41,34.13,32.61
12001001514,63.96,12.84,9.44,43.18,95.60,38.86,91.36,89.98,89.67,70.76,99.72,63.55,86.15,4.11,38.40,90.75,93.86,16.24,6.76
12001001515,77.27,15.13,4.33,13.68,99.63,73.66,97.41,95.82,99.22,49.45,99.55,77.20,15.18,45.15,99.19,98.95,37.99,55.84,36.52
