tract,PC#1,PC#2,PC#3,PC#4,PC#5,PC#6,PC#7,PC#8,PC#9,PC#10,PC#11,PC#12,PC#13,PC#14,PC#15,PC#16,PC#17,PC#18,PC#19
15001020100,64.10,87.70,5.08,27.38,5.08,39.84,72.95,56.89,23.77,40.82,4.75,66.07,43.77,21.15,3.11,29.67,61.15,18.20,19.51
15001020202,77.87,94.92,9.02,38.20,1.48,80.82,8.03,97.21,40.82,57.21,20.82,40.49,81.15,55.90,47.38,42.79,11.31,53.28,70.33
15001020300,71.64,94.59,4.75,51.31,4.75,56.56,46.07,88.36,5.41,67.05,41.80,40.82,37.21,34.92,38.85,38.20,57.54,83.77,25.08
15001020400,81.15,97.21,17.21,28.69,2.79,6.72,76.56,95.57,32.30,97.21,1.15,96.89,34.92,72.30,16.23,14.26,32.30,14.92,10.98
15001020500,89.34,98.20,11.31,79.84,9.02,23.77,33.61,94.59,30.00,90.66,67.05,99.18,1.48,87.38,82.79,19.84,0.49,19.18,9.34
15001020600,63.44,90.98,13.28,2.13,7.38,19.84,78.52,80.16,75.25,72.62,90.33,55.25,52.62,23.77,76.23,71.64,88.36,96.23,46.72
15001020701,55.25,73.93,2.46,12.62,2.46,21.80,80.49,85.74,79.84,79.51,67.70,41.15,6.39,37.54,49.02,85.41,53.93,33.61,56.89
15001020702,38.52,73.28,7.38,3.77,0.82,65.74,87.70,37.54,9.67,51.97,62.79,7.05,23.77,58.20,29.67,62.79,29.67,95.90,20.82
15001020801,38.85,70.98,3.77,1.80,1.80,55.57,93.28,39.51,69.02,67.70,29.02,70.00,28.03,34.26,52.30,85.08,46.72,91.64,44.43
15001020802,42.79,79.84,5.41,7.70,3.77,24.43,64.75,56.23,72.62,69.34,62.13,44.75,35.90,14.92,61.15,84.10,35.25,29.67,74.59
15001020900,40.82,76.23,2.13,11.97,3.44,51.97,79.84,44.75,59.18,65.74,50.00,87.05,19.51,25.41,73.28,28.69,35.90,78.52,58.20
15001021003,75.90,99.84,14.92,79.51,77.54,90.33,99.51,60.49,3.44,9.34,95.25,92.62,10.66,63.77,78.20,7.70,79.18,12.95,30.66
15001021005,75.57,96.56,6.07,42.46,7.05,22.46,23.44,24.10,1.15,45.08,28.03,81.15,9.02,85.08,46.72,0.49,22.46,21.48,22.46
15001021010,69.67,98.52,6.39,63.77,12.62,69.67,59.51,82.13,11.97,37.87,40.49,57.54,77.54,29.02,19.18,31.31,25.74,40.82,87.70
15001021011,50.66,93.93,1.15,34.59,14.26,9.02,57.21,43.11,7.05,73.61,13.28,68.03,16.89,14.59,0.49,8.36,69.02,57.87,92.95
15001021013,75.25,85.08,9.67,7.38,3.11,48.69,34.92,71.64,82.79,42.13,87.70,49.02,39.18,52.95,54.59,94.26,30.33,61.80,78.20
15001021101,40.49,99.18,0.16,89.02,36.56,96.56,95.25,86.07,96.89,48.69,21.15,19.51,94.26,93.28,9.02,21.48,29.02,22.79,13.28
15001021106,69.34,99.51,19.18,64.10,36.89,61.48,99.18,96.89,18.85,21.15,50.33,63.44,56.56,91.64,17.54,29.34,81.80,41.48,39.51
15001021202,79.51,98.85,2.79,35.57,33.93,51.64,89.67,49.34,86.39,86.07,2.79,5.74,66.39,96.56,33.93,8.69,50.66,11.64,97.54
15001021300,62.13,96.89,0.82,54.59,73.93,94.26,90.33,1.80,98.52,69.67,91.64,51.64,22.79,65.08,61.80,14.59,41.48,91.97,99.18
15001021402,57.54,86.39,4.43,5.08,10.33,50.98,42.13,10.98,51.31,75.57,29.67,4.10,31.97,50.00,60.82,32.62,52.95,94.92,98.52
15001021502,47.05,97.54,3.11,52.30,74.59,79.84,90.66,21.15,96.23,42.46,88.69,1.48,58.85,89.67,65.74,45.74,34.92,91.31,96.23
15001021504,82.79,90.33,23.44,8.03,18.52,68.36,72.62,23.77,80.16,19.51,83.11,85.08,59.84,16.23,97.87,47.05,18.20,97.87,98.85
15001021507,33.28,89.67,10.98,42.13,15.90,46.07,21.48,22.79,37.21,39.84,66.07,88.69,73.93,39.84,50.33,54.92,66.39,26.39,98.20
15001021509,43.77,88.36,1.48,67.05,25.74,16.23,13.28,44.10,46.72,8.03,40.82,87.70,78.20,22.79,52.95,1.80,14.92,63.11,99.51
15001021601,56.23,86.72,8.69,37.21,10.66,62.79,40.82,52.62,36.89,14.59,45.08,17.21,79.18,9.02,70.00,91.64,29.34,57.21,99.84
15001021604,35.57,92.95,14.59,53.61,12.95,74.59,97.21,24.75,28.36,6.39,43.77,51.97,73.61,51.97,32.62,66.07,18.85,87.38,97.87
