county,PC#1,PC#2,PC#3,PC#4,PC#5,PC#6,PC#7,PC#8,PC#9,PC#10,PC#11,PC#12,PC#13,PC#14,PC#15,PC#16,PC#17
48001,45.08,86.81,46.26,98.62,2.56,87.60,46.26,79.33,69.88,87.99,57.28,75.39,58.86,89.57,12.40,12.80,39.57
48003,76.97,16.34,94.69,42.72,15.94,49.80,1.77,26.97,26.18,15.55,4.53,60.04,16.34,1.77,1.77,84.06,54.92
48005,54.53,90.75,30.91,52.95,75.39,55.71,23.43,30.91,62.40,60.43,36.42,64.76,66.73,43.90,86.02,38.39,81.69
48007,41.54,53.74,10.83,7.68,31.30,86.42,95.08,40.75,50.98,47.83,39.57,34.45,71.46,87.60,74.21,39.57,90.35
48009,4.53,6.89,60.04,46.26,65.94,80.12,34.84,31.30,77.36,48.23,12.40,57.28,25.79,49.80,58.86,64.76,10.04
48011,1.38,1.77,71.85,63.19,58.07,78.15,45.08,22.64,25.79,80.91,2.56,67.52,18.70,95.47,19.49,9.65,63.58
48013,83.66,48.62,65.55,11.22,17.13,79.33,26.57,21.46,44.29,40.35,15.94,41.14,52.17,5.31,47.05,45.87,9.25
48015,25.79,66.73,53.35,24.21,13.58,45.08,59.65,13.19,49.80,41.93,70.67,89.96,6.89,43.11,56.50,30.12,83.66
48017,90.35,12.80,80.91,84.45,38.78,1.38,49.80,45.47,82.48,63.58,82.87,31.30,89.57,82.48,28.54,13.19,37.99
48019,9.65,17.91,19.88,21.46,49.80,88.39,93.90,12.40,57.28,76.97,25.00,37.60,42.72,86.42,11.61,56.50,79.72
48021,56.89,71.46,68.70,36.81,39.57,80.91,39.57,32.09,48.62,8.07,66.73,50.20,25.00,82.87,41.54,44.69,80.51
48023,4.92,4.92,17.52,47.83,45.08,7.68,87.20,27.36,65.55,78.94,76.18,65.55,76.18,39.96,82.48,21.06,45.47
48025,86.42,62.80,46.65,88.39,4.92,96.65,68.70,77.76,65.16,89.96,94.69,10.43,84.84,26.97,6.10,2.56,90.75
48027,10.04,97.05,88.39,69.88,83.66,74.21,24.61,25.79,4.92,44.29,59.65,93.11,87.60,85.24,21.85,86.02,44.69
48029,62.80,75.39,89.96,20.67,74.21,78.54,74.61,19.09,17.52,72.64,52.56,61.61,73.82,59.65,53.74,12.40,10.43
