county,PC#1,PC#2,PC#3,PC#4,PC#5,PC#6,PC#7,PC#8,PC#9,PC#10,PC#11,PC#12,PC#13,PC#14,PC#15,PC#16,PC#17
20001,55.71,81.43,12.86,45.24,25.24,15.71,48.10,48.10,39.52,80.48,22.38,40.48,29.05,11.90,17.62,30.00,70.00
20003,50.00,68.10,7.14,71.90,72.86,59.52,31.90,32.86,4.29,52.86,66.19,34.76,58.57,38.57,39.52,52.86,9.05
20005,70.00,92.86,10.95,24.29,56.67,44.29,98.57,1.43,51.90,90.95,49.05,71.90,59.52,25.24,82.38,60.48,21.43
20007,52.86,39.52,27.14,35.71,30.00,17.62,7.14,74.76,30.00,60.48,38.57,47.14,88.10,89.05,98.57,88.10,24.29
20009,75.71,45.24,21.43,32.86,30.95,43.33,75.71,43.33,65.24,36.67,92.86,83.33,45.24,41.43,30.00,16.67,92.86
20011,63.33,86.19,26.19,48.10,14.76,46.19,15.71,23.33,1.43,94.76,4.29,58.57,31.90,82.38,33.81,70.00,36.67
20013,53.81,90.00,9.05,96.67,97.62,99.52,14.76,7.14,21.43,50.00,84.29,63.33,47.14,50.00,58.57,75.71,84.29
20015,58.57,69.05,85.24,91.90,38.57,7.14,24.29,60.48,56.67,74.76,77.62,42.38,22.38,70.00,51.90,37.62,61.43
20017,27.14,53.81,46.19,74.76,76.67,36.67,27.14,49.05,50.95,47.14,9.05,82.38,0.48,81.43,43.33,58.57,20.48
20019,68.10,79.52,0.48,93.81,95.71,94.76,2.38,89.05,87.14,28.10,43.33,51.90,62.38,76.67,48.10,41.43,33.81
20021,78.57,84.29,4.29,92.86,75.71,39.52,20.48,55.71,41.43,59.52,59.52,13.81,55.71,87.14,56.67,5.24,78.57
20023,4.29,22.38,89.05,10.00,31.90,95.71,57.62,66.19,71.90,23.33,72.86,29.05,60.48,64.29,92.86,11.90,85.24
20025,59.52,29.05,66.19,70.95,27.14,72.86,3.33,94.76,20.48,21.43,70.00,96.67,23.33,58.57,90.95,33.81,91.90
20027,15.71,60.48,75.71,66.19,39.52,68.10,64.29,14.76,32.86,87.14,33.81,15.71,20.48,50.95,31.90,51.90,35.71
20029,37.62,72.86,38.57,21.43,43.33,52.86,81.43,20.48,84.29,35.71,94.76,10.95,41.43,26.19,8.10,14.76,22.38
20031,30.95,65.24,39.52,78.57,70.00,22.38,62.38,71.90,34.76,15.71,39.52,26.19,75.71,20.48,50.95,82.38,52.86
