tract,PC#1,PC#2,PC#3,PC#4,PC#5,PC#6,PC#7,PC#8,PC#9,PC#10,PC#11,PC#12,PC#13,PC#14,PC#15,PC#16,PC#17,PC#18,PC#19
47001020100,64.82,55.39,36.06,96.57,84.16,29.75,40.06,83.55,94.47,45.15,34.36,1.66,74.32,36.40,48.74,94.88,87.01,61.02,97.32
47001020201,4.04,85.04,71.47,83.28,74.46,10.35,48.88,95.08,98.74,19.84,52.34,15.16,64.42,3.77,28.60,86.80,79.21,68.15,73.58
47001020202,14.35,67.27,88.03,88.57,85.04,9.40,4.24,35.99,95.62,8.38,47.93,48.61,39.52,19.37,45.35,88.50,5.94,83.48,21.88
47001020300,26.22,71.95,70.45,81.92,29.00,71.40,59.80,25.68,10.75,76.76,42.91,61.09,74.39,9.12,14.08,39.86,16.04,72.22,85.99
47001020400,68.28,43.86,71.07,89.93,81.85,56.00,93.05,52.48,89.79,78.93,0.31,34.70,68.01,51.53,47.52,99.36,65.03,89.52,74.53
47001020500,73.44,51.59,77.31,90.13,44.20,64.76,38.91,49.76,46.44,75.75,55.66,36.26,44.95,39.11,63.47,63.60,95.69,32.19,91.96
47001020600,14.76,65.91,48.34,57.70,11.50,73.44,67.33,26.29,77.37,48.20,17.94,91.62,87.14,57.36,35.11,94.13,10.07,70.59,75.34
47001020700,66.11,1.53,79.55,57.84,39.45,66.59,74.19,41.55,89.52,41.42,98.47,76.36,1.26,79.41,63.06,7.97,37.75,55.60,34.16
47001020800,63.06,4.04,63.67,75.95,30.02,62.18,53.97,48.41,89.72,40.26,87.55,75.20,5.80,78.73,42.30,33.28,41.15,62.38,47.46
47001020901,17.40,26.29,57.97,65.37,18.15,60.28,83.89,33.48,63.26,41.82,77.10,78.73,29.48,21.61,38.03,62.38,92.71,89.38,67.94
47001020902,23.71,27.04,38.36,70.59,39.38,78.80,53.22,47.25,74.46,57.90,22.63,69.57,42.37,32.73,2.54,54.58,90.26,52.95,62.38
47001021000,46.98,27.24,41.82,77.85,2.82,92.50,25.27,55.05,64.69,78.19,95.49,47.18,6.14,46.98,95.69,92.77,92.16,22.29,48.61
47001021100,4.92,49.15,25.27,77.37,73.24,55.46,39.65,8.31,76.83,21.13,19.50,82.19,40.60,13.13,29.68,57.56,85.04,14.08,74.86
47001021201,38.23,28.19,71.40,50.31,6.21,79.48,94.34,24.25,73.58,54.04,67.74,38.23,55.33,86.13,48.68,35.31,65.98,81.78,66.66
47001021202,32.06,34.63,43.32,95.22,42.30,14.69,37.89,13.87,57.56,31.17,67.88,57.50,16.93,44.74,67.06,60.62,32.06,33.34,86.74
47001021301,24.80,26.83,51.93,65.57,9.60,69.30,72.83,24.80,73.85,54.58,88.23,73.17,13.06,36.94,39.38,38.50,83.89,64.21,38.16
47001021302,29.68,31.72,80.16,45.22,74.86,83.75,88.98,27.99,80.83,63.26,95.22,45.49,36.60,81.17,35.52,24.53,40.67,51.93,70.93
47003950100,18.55,41.55,30.70,20.32,85.11,43.79,26.70,59.46,45.01,60.35,76.56,52.48,75.88,26.63,22.15,41.55,74.80,40.33,62.52
47003950200,41.49,29.61,51.53,16.72,40.26,49.49,54.51,66.93,13.20,86.26,89.52,22.01,53.49,61.77,39.79,6.95,49.02,45.49,61.09
47003950300,44.74,24.12,49.63,9.67,43.93,28.53,75.20,65.98,51.80,79.88,79.68,53.02,37.96,40.47,22.96,16.72,15.57,67.61,89.52
47003950401,79.61,51.12,96.85,5.05,12.31,28.05,34.16,18.69,23.64,79.21,22.49,10.21,72.08,13.81,45.96,61.57,6.21,61.50,52.14
47003950402,78.26,41.15,93.32,31.31,99.42,92.10,0.71,26.70,69.71,79.14,51.53,41.55,10.55,1.53,64.01,20.39,53.56,29.95,70.39
47003950500,78.46,43.18,90.40,22.83,16.86,57.09,0.78,28.26,20.52,77.92,57.56,19.78,43.72,20.86,62.72,38.09,1.46,47.73,95.62
47003950600,81.78,50.78,94.67,10.96,21.88,42.98,15.57,33.68,26.56,76.36,48.68,39.65,54.04,1.12,6.75,43.86,98.07,25.41,90.26
47003950700,65.03,32.80,60.89,15.71,18.28,54.38,19.84,76.42,62.86,83.68,8.72,45.28,56.21,52.00,79.88,17.61,19.03,3.15,58.65
47003950800,21.61,25.75,33.21,19.17,53.70,15.03,30.83,33.01,24.80,72.63,93.45,34.36,55.53,59.67,19.64,5.05,49.83,8.92,37.42
47005963000,54.31,4.10,45.08,46.17,89.86,16.32,50.71,71.13,35.72,8.79,29.34,69.23,12.18,78.66,60.75,95.08,57.63,59.06,33.55
47005963100,36.60,14.82,16.72,26.63,58.99,18.83,7.36,89.79,27.92,5.80,9.33,89.31,55.60,34.02,38.70,43.79,35.11,36.33,31.38
47005963200,71.40,6.61,51.66,11.64,46.03,36.19,35.11,90.67,16.93,57.84,15.91,48.34,70.73,92.84,76.97,73.24,21.13,50.51,56.21
47005963300,59.33,20.66,79.21,42.71,86.80,6.28,22.69,91.49,20.18,19.50,62.65,52.27,29.61,47.80,52.54,95.49,96.85,17.47,13.74
47005963400,68.55,2.34,37.96,24.73,81.38,10.48,34.50,90.13,22.90,23.51,2.20,65.57,77.78,89.86,37.48,82.53,44.00,34.84,29.14
