county,Latitude,Longitude,% Insured,Population,Avg. Household Size,Unemployment,Median Age,% Male,% White,% Black,% Native,% Asian,% Hawaiian/PI,% Other Race,% Multi-Race,% Hispanic/Latino,% Education < HS,% HS Grad or Higher,% Some College or Higher,Median Income,% Poverty,MH Provider Count, MH Providers per 1000 Pop.
38031,,,92.5,3345,2.18,1.2,46.7,49.7,97.3,0.1,1.1,0.4,0,0.1,1.1,1.2,11.3,28.6,60.1,33244,9.4,0,0
38033,,,82.7,1895,2.18,0.4,41,49.1,96,0,0.5,0,0,0.1,3.5,1.8,7.6,24.7,67.7,25949,9.5,0,0
38035,47.90512929,-97.07123867,92.4,69793,2.24,3.5,29.5,51.7,88.4,2.9,2.5,2.4,0.1,0.8,3,3.8,6.3,25.1,68.6,26268,17.7,86,1.232215265
38037,,,92,2369,2.1,2.7,53.6,49.6,96.8,0.3,1.6,0.2,0,0.4,0.7,0.6,11.3,37.1,51.6,26271,13.6,0,0
38039,,,93.1,2311,2.12,1.6,51.9,50.4,96.5,1.2,1,0,0,0.2,1.1,0.4,12.4,32.8,54.9,28720,7.3,0,0
38041,,,92.2,2639,2.24,2.5,48.6,47.4,94.9,0.3,1.7,0,0.4,0,2.7,2.8,12.1,36.1,51.8,26218,8.3,0,0
38043,,,91.7,2419,2.23,1.6,45.9,53.1,97.6,0,0.1,0.2,0,1.9,0.2,5.1,9,35.7,55.2,31294,7,0,0
38045,,,93.9,4111,2.23,1.8,48.2,51.4,98.2,0.1,0.3,0,0,0.1,1.2,0.9,13.7,30.4,55.8,31327,9.6,0,0
38047,,,95.5,1939,2.12,1.8,52.6,50.9,98.2,0.1,0.4,0.3,0,0.1,1,1.5,15.6,41.6,42.8,27574,7,0,0
38049,,,92.9,5912,2.23,2.6,42.4,52.1,97.1,0.2,0.7,0.1,0,0.2,1.8,2.4,10,34.7,55.3,34678,10,0,0
38051,,,96.4,2737,2.02,1.1,52.6,49.9,96.6,0.1,0.1,1.1,0,0,2,1.5,18.4,31.4,50.2,26250,9.6,0,0
38053,,,82,10718,2.91,3.7,31.3,52.3,81.4,1,14.3,0.3,0,0.8,2.2,6.2,7.6,31.1,61.3,37112,12.8,0,0
38055,,,92.1,9576,2.19,1.5,46.6,51.3,90.6,0.1,7.1,0.1,0,0.6,1.5,2.2,8.5,35.4,56.1,30963,9.8,0,0
38057,,,87.8,8671,2.32,2.6,44.5,51.6,95.2,0.9,2.4,0.4,0,0.6,0.4,2.4,9.4,29.2,61.3,32132,7.5,0,0
38059,46.955173,-100.957146,94.4,29633,2.29,2.2,37.5,51.6,93,0.7,3.4,0.1,0,0.5,2.3,2.4,7.9,31.2,60.9,32893,8.7,1,0.033746161
38061,,,80.7,9675,3.01,4.2,35.2,54.2,65.7,0.2,28.8,0.7,0,1.3,3.3,6.4,8.1,29.5,62.4,32391,11.8,0,0
38063,,,93.3,3032,1.95,0.8,52.6,50.3,98.2,0.8,0.6,0,0,0,0.4,2.4,8.3,32.4,59.2,29645,8.6,0,0
38065,,,88.5,1768,2.33,2.2,49.2,52.7,92.8,0.5,4.9,0.1,0,0.2,1.6,1.6,12.1,32.5,55.4,36515,4.1,0,0
38067,,,91.4,7136,2.12,3.1,48.1,51.7,94.6,0.3,2.5,0.2,0,0.9,1.6,3.3,11.1,35.2,53.7,30051,6,0,0
38069,,,90.3,4373,2.06,1.6,46.9,50.7,97.2,1.2,0.9,0,0,0.1,0.6,0.8,11.7,35.4,52.9,23044,18.3,0,0
38071,48.12922988,-98.86806242,90.3,11578,2.21,1.1,42.7,50.9,86.2,0,10.5,0.5,0,0.3,2.5,2.3,9.1,31.3,59.6,26480,11,11,0.950077734
38073,,,95.2,5457,2.26,2.3,44.8,50.9,97,0.5,0.4,0.4,0,0,1.8,1.7,10,36.6,53.5,30825,9.2,0,0
38075,,,95,2573,2.49,0.9,39.2,49.8,96,0.7,0.5,0.9,0,0.5,1.4,3.8,7.8,31,61.2,32500,6.7,0,0
38077,46.265594,-96.603297,95.2,16329,2.25,2.8,38.2,51.8,93.7,0.5,2.7,0.2,0,0.7,2.1,2.5,8.6,29.1,62.4,28362,9.9,2,0.122481475
38079,48.8422348,-99.74932608,70.8,14607,3.02,5.1,30.3,49.4,19.3,0.6,77.8,0.3,0,0.1,2,0.4,16,22.3,61.7,24699,31.6,4,0.273841309
38081,,,95.1,3889,2.17,0.9,45.3,52.8,95.5,1.7,0.7,0.2,0,1,0.9,3,8.3,31.3,60.4,33493,5.8,0,0
38083,,,93.1,1395,2.03,3.9,51.3,50.7,97.6,0,0.2,0,0,0.8,1.4,1.1,13.1,36.5,50.3,26875,16.9,0,0
