tract,State,County,Latitude,Longitude,RUCA Urbanicity,% Insured,Population,Population Density,Avg Household Size,Unemployment,Median Age,% Male,% White,% Black,% Native,% Asian,% Hawaiian/PI,% Other Race,% Multi-race,% Hispanic/Latino,% Ed. < HS,% Ed. HS Grad.,% Ed. College Grad.,Median Income,% Poverty,MH Provider Count,MH Provider per 1000 Pop.
38001965600,ND,Adams County,,,10,93.2,2348,2.37748076144188,2.22,2.0,45.1,50.6,93.8,1.0,2.3,1.6,0.0,0.6,0.6,0.9,4.0,34.0,62.0,29551.0,10.5,0,0
38003967900,ND,Barnes County,,,8,94.4,1658,2.66174345801894,2.21,1.2,46.8,54.3,97.8,0.0,0.3,0.0,0.0,0.0,1.9,0.4,4.4,32.1,63.5,30484.0,8.3,0,0
38003968000,ND,Barnes County,,,8,95.2,2800,3.2569500988717,2.36,1.6,44.0,49.8,94.8,0.0,3.4,0.1,0.0,1.5,0.2,3.1,8.3,34.1,57.5,33302.0,9.9,0,0
38003968200,ND,Barnes County,,,7,90.1,2884,472.786885245902,1.87,3.3,33.5,45.8,93.1,2.3,0.3,1.2,0.5,1.5,1.1,1.8,10.4,41.1,48.5,26585.0,11.7,0,0
38003968300,ND,Barnes County,,,7,93.7,3691,1272.75862068966,1.94,3.9,49.6,49.1,93.4,0.6,3.0,0.0,0.0,0.0,3.1,1.5,10.8,26.2,62.9,31916.0,9.0,0,0
38005940100,ND,Benson County,,,10,77.5,2530,10.0676482292081,3.69,10.4,23.5,49.1,16.0,0.0,83.2,0.0,0.0,0.0,0.8,1.1,17.3,31.8,50.9,20115.0,51.2,0,0
38005940200,ND,Benson County,,,10,79.2,2139,12.6868327402135,3.47,7.2,27.4,54.0,18.2,0.0,76.4,0.3,0.2,0.0,5.0,5.5,23.1,29.4,47.6,19967.0,36.3,0,0
38005956500,ND,Benson County,,,10,93.8,1221,2.10808011049724,2.31,2.7,46.0,53.4,97.2,0.0,0.9,0.1,0.0,0.0,1.8,1.2,7.4,36.1,56.4,30865.0,10.5,0,0
38005956600,ND,Benson County,,,10,92.1,912,2.34086242299795,2.12,2.6,54.0,48.8,99.2,0.0,0.7,0.0,0.0,0.0,0.1,0.4,7.5,33.6,59.0,29100.0,8.8,0,0
38007963100,ND,Billings County,,,10,91.3,936,936,2.23,3.0,45.8,56.9,95.2,0.9,1.2,0.0,0.0,0.9,1.9,3.2,9.9,32.9,57.2,38405.0,11.0,0,0
38009952300,ND,Bottineau County,,,10,91.2,2432,623.589743589744,1.97,4.1,38.4,46.3,87.5,1.9,5.8,0.3,0.0,0.7,3.8,3.0,8.3,32.7,59.0,24037.0,8.1,0,0
38009952400,ND,Bottineau County,,,10,92.7,2298,2.63925577121856,2.1,1.5,50.8,54.0,97.9,0.0,0.9,0.4,0.0,0.0,0.8,0.0,10.2,30.0,59.7,31531.0,9.0,0,0
38009952500,ND,Bottineau County,,,10,95.9,1920,2.41874527588813,2.2,1.2,43.4,58.4,97.0,0.5,1.4,0.0,0.0,0.6,0.5,3.5,8.8,34.0,57.2,35000.0,10.1,0,0
38011965200,ND,Bowman County,,,10,90.4,1930,136.879432624113,2.18,3.3,42.2,47.8,94.9,0.1,1.4,0.0,0.0,3.5,0.1,7.1,13.2,34.4,52.4,31719.0,9.3,0,0
38011965300,ND,Bowman County,,,10,96.3,1308,1308,2.37,0.7,43.4,49.6,96.2,0.2,1.1,0.0,0.0,0.6,1.9,1.3,6.0,30.0,64.0,36763.0,5.2,0,0
38013953300,ND,Burke County,,,10,89.2,2239,2239,2.23,1.9,38.6,54.0,96.7,0.4,1.5,0.0,0.0,0.3,0.9,3.5,11.1,28.6,60.4,36235.0,11.8,0,0
38015010100,ND,Burleigh County,46.8077347595454,-100.785027927273,1,91.9,3336,4170.0,1.69,2.0,38.2,50.4,87.4,1.9,6.6,1.3,0.0,0.3,2.5,5.0,10.1,30.4,59.5,27163.0,16.8,22,6.5947242206235
38015010200,ND,Burleigh County,46.80665873,-100.77820866,1,87.1,5081,4619.09090909091,1.96,3.6,40.4,47.5,92.0,2.0,5.4,0.5,0.0,0.0,0.1,1.5,9.4,37.1,53.5,27405.0,12.6,20,3.93623302499508
38015010300,ND,Burleigh County,46.828335,-100.76991,1,92.1,6606,6606.0,2.23,1.8,33.3,48.3,95.2,2.6,0.7,1.2,0.0,0.0,0.2,0.7,8.4,25.3,66.3,34657.0,7.7,5,0.756887677868604
