tract,PC#1,PC#2,PC#3,PC#4,PC#5,PC#6,PC#7,PC#8,PC#9,PC#10,PC#11,PC#12,PC#13,PC#14,PC#15,PC#16,PC#17,PC#18,PC#19
44009050102,3.96,66.46,60.21,69.38,65.62,33.12,60.62,77.29,28.54,37.29,78.54,37.71,20.21,26.88,28.54,70.62,74.79,61.88,10.62
44009050103,56.04,71.46,92.71,57.71,58.54,10.62,26.88,72.29,38.96,89.38,27.71,68.96,84.38,16.46,88.54,34.38,27.29,27.29,94.38
44009050104,7.29,74.79,22.71,84.38,80.62,25.21,76.88,75.21,27.29,31.46,44.38,47.29,28.54,35.62,18.12,25.63,88.54,73.12,17.71
44009050301,25.63,81.88,76.88,62.71,74.38,6.46,22.29,51.88,55.62,16.46,14.79,16.46,19.38,36.04,64.79,26.04,89.38,58.54,56.88
44009050302,6.88,72.29,74.38,73.96,59.79,21.04,61.04,52.29,16.46,72.71,81.04,48.54,31.04,58.12,18.54,74.38,76.04,45.62,20.21
44009050401,8.96,85.21,29.37,88.54,93.12,8.96,58.54,84.79,34.38,20.21,38.96,36.46,13.54,32.29,88.12,51.88,81.88,17.71,49.38
44009050402,1.46,80.62,60.62,91.46,63.96,37.29,58.12,31.04,16.87,16.04,90.62,62.71,56.88,13.54,61.46,85.21,21.04,41.04,20.63
44009050500,30.21,96.46,38.96,38.96,76.04,87.71,39.79,73.96,19.38,79.79,65.21,67.71,38.12,27.71,78.12,54.79,68.54,71.88,81.46
44009050600,8.54,96.04,41.88,18.96,81.04,61.04,65.62,84.38,32.29,29.79,60.62,13.13,49.38,73.96,86.88,69.79,55.62,39.79,27.71
44009050700,11.46,98.12,43.12,10.21,71.88,75.62,31.88,83.54,13.54,35.21,73.96,28.54,71.88,78.96,79.38,87.29,29.37,19.79,43.54
44009050801,46.88,96.88,89.38,3.13,34.38,16.87,2.71,92.71,3.54,13.54,86.04,73.54,65.21,81.88,84.79,46.88,64.79,12.71,38.96
44009050802,22.29,90.62,82.29,1.04,69.38,23.54,35.62,71.04,0.63,12.71,88.54,11.46,87.71,94.79,75.62,67.71,56.88,20.21,23.54
44009050901,24.38,90.21,73.54,0.21,54.79,12.29,35.21,90.62,1.46,8.54,70.62,5.21,73.12,73.12,90.62,32.71,87.29,48.96,31.46
44009050902,38.12,98.54,83.54,32.29,76.88,2.29,0.63,34.38,8.96,16.87,29.79,60.21,59.79,81.04,98.54,49.38,66.46,31.46,36.46
44009051000,0.21,97.29,79.38,16.04,39.38,11.46,7.29,44.79,2.29,39.38,99.38,52.29,18.54,88.96,1.46,41.04,59.79,88.12,13.13
44009051101,17.71,98.96,67.29,62.29,91.04,78.96,10.21,57.29,14.38,63.54,53.12,33.96,12.71,80.21,46.46,85.62,32.71,30.63,61.46
44009051102,18.54,99.38,92.29,45.62,54.38,4.37,7.71,13.96,65.62,48.54,41.46,75.62,14.38,51.04,43.54,43.96,78.12,45.21,52.71
44009051201,53.54,93.12,83.12,82.71,75.21,6.04,8.96,88.12,31.04,45.62,16.04,58.96,16.04,36.88,72.71,30.21,58.12,56.46,24.79
44009051202,26.04,92.29,93.12,71.88,28.96,3.13,6.46,37.29,40.21,60.21,23.54,73.12,20.63,76.04,10.62,10.62,57.29,34.79,50.21
44009051302,1.88,87.71,64.79,61.04,36.04,14.38,53.54,66.04,3.13,71.88,92.71,38.54,11.04,69.79,19.79,57.29,62.29,70.62,8.54
44009051304,2.71,94.79,71.04,20.63,40.62,25.63,95.21,85.21,21.46,32.29,51.46,11.88,16.46,66.88,21.46,21.46,56.04,69.38,12.29
44009051305,34.79,91.88,96.04,78.96,52.71,2.71,3.13,5.63,61.04,26.88,12.71,43.54,53.96,57.71,33.12,9.38,92.71,92.71,28.96
44009051306,12.71,87.29,63.54,75.21,80.21,13.96,38.54,64.38,10.21,7.29,78.96,33.12,63.96,29.37,87.71,40.21,27.71,54.79,49.79
44009051400,71.88,59.38,98.12,14.79,38.54,78.54,9.79,99.79,48.12,60.62,18.54,23.96,3.96,0.21,38.96,8.54,74.38,0.63,95.21
44009051502,11.88,74.38,78.54,86.46,74.79,60.62,53.12,94.79,26.04,9.38,46.88,17.29,14.79,33.12,28.12,53.12,73.12,23.96,41.04
44009051503,7.71,84.38,86.88,83.54,25.63,76.46,22.71,60.21,5.63,15.63,85.62,36.88,32.71,18.96,30.63,38.96,45.62,52.29,15.21
44009051504,13.13,82.71,91.04,41.88,7.29,18.96,47.71,97.29,7.29,45.21,71.46,30.63,10.21,15.21,18.96,36.88,86.88,34.38,18.12
