county,PC#1,PC#2,PC#3,PC#4,PC#5,PC#6,PC#7,PC#8,PC#9,PC#10,PC#11,PC#12,PC#13,PC#14,PC#15,PC#16,PC#17
17001,54.41,29.90,87.75,61.27,94.61,15.20,85.78,68.14,86.76,63.24,70.10,51.47,56.37,25.00,25.00,21.08,59.31
17003,35.78,99.51,63.24,75.98,59.31,8.33,20.10,3.43,95.59,8.33,64.22,0.49,43.63,34.80,98.53,45.59,17.16
17005,45.59,56.37,56.37,84.80,35.78,39.71,35.78,80.88,57.35,12.25,94.61,5.39,30.88,84.80,57.35,52.45,78.92
17007,90.69,63.24,2.45,26.96,76.96,16.18,36.76,95.59,39.71,2.45,42.65,40.69,70.10,67.16,54.41,88.73,61.27
17009,51.47,62.25,18.14,99.51,9.31,48.53,60.29,96.57,14.22,88.73,6.37,35.78,20.10,78.92,50.49,25.00,63.24
17011,66.18,27.94,26.96,32.84,83.82,65.20,55.39,49.51,30.88,37.75,44.61,49.51,74.02,83.82,55.39,95.59,10.29
17013,4.41,10.29,62.25,86.76,63.24,35.78,5.39,75.98,78.92,54.41,96.57,9.31,44.61,93.63,49.51,18.14,80.88
17015,27.94,17.16,25.98,70.10,93.63,88.73,41.67,4.41,20.10,72.06,40.69,26.96,64.22,73.04,23.04,35.78,66.18
17017,81.86,75.00,1.47,83.82,84.80,95.59,6.37,93.63,90.69,49.51,98.53,99.51,2.45,97.55,52.45,0.49,3.43
17019,93.63,76.96,99.51,78.92,24.02,96.57,95.59,61.27,0.49,83.82,95.59,4.41,4.41,72.06,31.86,47.55,75.98
17021,13.24,39.71,30.88,67.16,55.39,31.86,92.65,40.69,17.16,14.22,76.96,44.61,13.24,70.10,58.33,76.96,56.37
17023,26.96,44.61,60.29,8.33,13.24,94.61,4.41,48.53,40.69,45.59,30.88,46.57,19.12,76.96,72.06,69.12,90.69
17025,25.98,41.67,34.80,18.14,31.86,57.35,82.84,25.00,48.53,36.76,75.00,74.02,38.73,75.00,70.10,9.31,49.51
17027,67.16,22.06,59.31,82.84,19.12,0.49,91.67,69.12,69.12,53.43,47.55,81.86,62.25,25.98,91.67,28.92,29.90
17029,64.22,81.86,92.65,9.31,39.71,97.55,90.69,86.76,50.49,1.47,28.92,75.00,77.94,54.41,21.08,22.06,31.86
17031,99.51,96.57,8.33,48.53,77.94,81.86,44.61,0.49,25.00,89.71,74.02,97.55,29.90,92.65,37.75,2.45,71.08
