county,PC#1,PC#2,PC#3,PC#4,PC#5,PC#6,PC#7,PC#8,PC#9,PC#10,PC#11,PC#12,PC#13,PC#14,PC#15,PC#16,PC#17
5001,26.00,27.33,80.67,42.00,54.00,26.00,90.00,91.33,80.67,82.00,24.67,83.33,30.00,56.67,68.67,58.00,84.67
5003,28.67,52.67,82.00,58.00,74.00,4.67,52.67,60.67,50.00,59.33,19.33,82.00,47.33,3.33,48.67,35.33,94.00
5005,82.00,0.67,38.00,79.33,28.67,74.00,47.33,90.00,66.00,98.00,0.67,16.67,7.33,47.33,64.67,42.00,38.00
5007,99.33,88.67,78.00,31.33,68.67,95.33,54.00,71.33,59.33,10.00,11.33,32.67,83.33,82.00,76.67,99.33,86.00
5009,78.00,14.00,39.33,54.00,36.67,66.00,70.00,8.67,35.33,75.33,32.67,44.67,10.00,95.33,55.33,90.00,43.33
5011,19.33,92.67,43.33,78.00,60.67,19.33,43.33,26.00,98.00,83.33,14.00,95.33,98.00,12.67,30.00,98.00,40.67
5013,24.67,36.67,46.00,59.33,96.67,11.33,30.00,95.33,39.33,38.00,74.00,35.33,46.00,10.00,11.33,94.00,50.00
5015,88.67,80.67,19.33,48.67,6.00,35.33,2.00,66.00,15.33,72.67,7.33,22.00,38.00,75.33,15.33,87.33,99.33
5017,4.67,79.33,71.33,80.67,46.00,51.33,72.67,70.00,82.00,64.67,36.67,11.33,87.33,2.00,14.00,84.67,72.67
5019,44.67,48.67,90.00,90.00,23.33,78.00,32.67,27.33,36.67,99.33,99.33,88.67,6.00,54.00,52.67,95.33,27.33
5021,34.00,10.00,11.33,11.33,15.33,67.33,71.33,83.33,83.33,70.00,70.00,64.67,64.67,36.67,75.33,23.33,58.00
5023,59.33,15.33,32.67,43.33,51.33,38.00,18.00,56.67,24.67,14.00,3.33,71.33,40.67,32.67,86.00,48.67,78.00
5025,48.67,18.00,72.67,47.33,92.67,12.67,84.67,64.67,46.00,78.00,35.33,70.00,96.67,22.00,63.33,15.33,35.33
5027,23.33,67.33,91.33,94.00,62.00,72.67,68.67,51.33,32.67,79.33,98.00,79.33,26.00,43.33,19.33,12.67,16.67
5029,55.33,31.33,54.00,46.00,63.33,28.67,76.67,52.67,58.00,80.67,63.33,28.67,88.67,92.67,23.33,32.67,75.33
5031,80.67,46.00,83.33,15.33,8.67,82.00,12.67,15.33,78.00,35.33,79.33,51.33,44.67,4.67,4.67,19.33,71.33
5033,92.67,78.00,35.33,82.00,71.33,83.33,86.00,6.00,88.67,18.00,56.67,59.33,56.67,87.33,3.33,7.33,83.33
5035,22.00,68.67,98.00,8.67,12.67,76.67,88.67,38.00,91.33,6.00,44.67,3.33,43.33,71.33,42.00,36.67,12.67
5037,31.33,30.00,66.00,10.00,47.33,43.33,91.33,88.67,76.67,20.67,62.00,31.33,31.33,51.33,34.00,66.00,59.33
